Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/16/2026 	_x86_64_	(64 CPU)

01:16:09 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:16:10 AM  1000   3859001  275.00    4.00    0.00    0.00  279.00     0  java
01:16:11 AM  1000   3859001  278.00    8.00    0.00    0.00  286.00     0  java
01:16:12 AM  1000   3859001  262.00    7.00    0.00    0.00  269.00     0  java
01:16:13 AM  1000   3859001  161.00    8.00    0.00    0.00  169.00     0  java
01:16:14 AM  1000   3859001  253.00    4.00    0.00    0.00  257.00     0  java
01:16:15 AM  1000   3859001   26.00    0.00    0.00    0.00   26.00     0  java
01:16:16 AM  1000   3859001    0.00    0.00    0.00    0.00    0.00     0  java
01:16:17 AM  1000   3859001    0.00    0.00    0.00    0.00    0.00     0  java
01:16:18 AM  1000   3859001   21.00    2.00    0.00    0.00   23.00     0  java
01:16:19 AM  1000   3859001  358.00   16.00    0.00    0.00  374.00     0  java
01:16:20 AM  1000   3859001  372.00   21.00    0.00    0.00  393.00     0  java
01:16:21 AM  1000   3859001  376.00   18.00    0.00    0.00  394.00     0  java
01:16:22 AM  1000   3859001  371.00   23.00    0.00    0.00  394.00     0  java
01:16:23 AM  1000   3859001  372.00   21.00    0.00    0.00  393.00     0  java
01:16:24 AM  1000   3859001  368.00   22.00    0.00    0.00  390.00     0  java
01:16:25 AM  1000   3859001  374.00   19.00    0.00    0.00  393.00     0  java
01:16:26 AM  1000   3859001  371.00   22.00    0.00    0.00  393.00     0  java
01:16:27 AM  1000   3859001  371.00   21.00    0.00    0.00  392.00     0  java
01:16:28 AM  1000   3859001  371.00   21.00    0.00    0.00  392.00     0  java
01:16:29 AM  1000   3859001  368.00   24.00    0.00    0.00  392.00     0  java
01:16:30 AM  1000   3859001  367.00   25.00    0.00    0.00  392.00     0  java
01:16:31 AM  1000   3859001  365.00   27.00    0.00    0.00  392.00     0  java
01:16:32 AM  1000   3859001  359.00   33.00    0.00    0.00  392.00     0  java
01:16:33 AM  1000   3859001  359.00   33.00    0.00    0.00  392.00     0  java
01:16:34 AM  1000   3859001  359.00   32.00    0.00    0.00  391.00     0  java
01:16:35 AM  1000   3859001  356.00   35.00    0.00    0.00  391.00     0  java
01:16:36 AM  1000   3859001  356.00   36.00    0.00    0.00  392.00     0  java
01:16:37 AM  1000   3859001  356.00   35.00    0.00    0.00  391.00     0  java
