Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/16/2026 	_x86_64_	(64 CPU)

12:23:54 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:23:55 AM 100998   3822345    0.00    0.00    0.00    0.00    0.00     6  postgres
12:23:55 AM 100998   3822346    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:55 AM 100998   3822348    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:55 AM 100998   3822349    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:55 AM 100998   3822997    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:55 AM 100998   3823260    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:55 AM 100998   3823261    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:55 AM 100998   3823262    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:55 AM 100998   3823264    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:55 AM 100998   3823265    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:55 AM 100998   3823271    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:55 AM 100998   3823277    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:55 AM 100998   3823278    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:55 AM 100998   3823279    0.00    0.00    0.00    0.00    0.00     5  postgres

12:23:55 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:23:56 AM 100998   3822345    0.00    0.00    0.00    0.00    0.00     6  postgres
12:23:56 AM 100998   3822346    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:56 AM 100998   3822348    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:56 AM 100998   3822349    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:56 AM 100998   3822997    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:56 AM 100998   3823260    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:56 AM 100998   3823261    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:56 AM 100998   3823262    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:56 AM 100998   3823264    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:56 AM 100998   3823265    0.00    0.00    0.00    0.00    0.00     5  postgres
12:23:56 AM 100998   3823271    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:56 AM 100998   3823277    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:56 AM 100998   3823278    0.00    0.00    0.00    0.00    0.00     4  postgres
12:23:56 AM 100998   3823279    0.00    0.00    0.00    0.00    0.00     5  postgres

12:23:56 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
