Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/16/2026 	_x86_64_	(64 CPU)

02:29:28 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:29:29 AM 100998   3914367    0.00    0.00    0.00    0.00    0.00     4  postgres
02:29:29 AM 100998   3914368    0.00    0.00    0.00    0.00    0.00     5  postgres
02:29:29 AM 100998   3914370    0.00    0.00    0.00    0.00    0.00     4  postgres
02:29:29 AM 100998   3914371    0.00    0.00    0.00    0.00    0.00     5  postgres
02:29:29 AM 100998   3914443    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:29 AM 100998   3914448    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:29 AM 100998   3914449    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:29 AM 100998   3914450    0.00    0.00    0.00    0.00    0.00     5  postgres
02:29:29 AM 100998   3914451    0.00    0.00    0.00    0.00    0.00     5  postgres
02:29:29 AM 100998   3914452    0.00    0.00    0.00    0.00    0.00     5  postgres
02:29:29 AM 100998   3914465    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:29 AM 100998   3914466    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:29 AM 100998   3914467    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:29 AM 100998   3914468    0.00    0.00    0.00    0.00    0.00     6  postgres

02:29:29 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:29:30 AM 100998   3914367    0.00    0.00    0.00    0.00    0.00     4  postgres
02:29:30 AM 100998   3914368    0.00    0.00    0.00    0.00    0.00     5  postgres
02:29:30 AM 100998   3914370    0.00    0.00    0.00    0.00    0.00     4  postgres
02:29:30 AM 100998   3914371    0.00    0.00    0.00    0.00    0.00     5  postgres
02:29:30 AM 100998   3914443    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:30 AM 100998   3914448    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:30 AM 100998   3914449    0.00    0.00    0.00    0.00    0.00     6  postgres
02:29:30 AM 100998   3914450    0.00    0.00    0.00    0.00    0.00     5  postgres
