Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

11:42:46 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:42:47 AM  all    1.11    0.00    0.59    0.34    0.05    0.05    0.00    0.00    0.00   97.86
11:42:47 AM    0    3.96    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   94.06
11:42:47 AM    1   13.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   85.00
11:42:47 AM    2   11.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   89.00
11:42:47 AM    3   19.61    0.00    1.96    1.96    0.98    0.98    0.00    0.00    0.00   74.51
11:42:47 AM    4    1.98    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   96.04
11:42:47 AM    5    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
11:42:47 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM    7    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
11:42:47 AM    8    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM    9    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:42:47 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   11    2.02    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   96.97
11:42:47 AM   12    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   15    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:42:47 AM   16    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
11:42:47 AM   17    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
11:42:47 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   23    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
11:42:47 AM   24    2.97    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   95.05
11:42:47 AM   25    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
11:42:47 AM   26    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   27    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:42:47 AM   28    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   29    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:42:47 AM   31    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
