Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

02:53:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:53:58 PM  all    5.10    0.00    0.64    0.48    0.03    0.02    0.00    0.00    0.00   93.73
02:53:58 PM    0   58.42    0.00    3.96    6.93    0.00    0.99    0.00    0.00    0.00   29.70
02:53:58 PM    1   63.64    0.00    3.03    2.02    0.00    0.00    0.00    0.00    0.00   31.31
02:53:58 PM    2   90.10    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00    8.91
02:53:58 PM    3   97.03    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00    0.99
02:53:58 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:53:58 PM    5    3.03    0.00    2.02    2.02    0.00    0.00    0.00    0.00    0.00   92.93
02:53:58 PM    6    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
02:53:58 PM    7    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:53:58 PM    8    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:53:58 PM    9    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:53:58 PM   10    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:53:58 PM   11    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:53:58 PM   12    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:53:58 PM   13    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:53:58 PM   14    2.00    0.00    3.00   18.00    0.00    0.00    0.00    0.00    0.00   77.00
02:53:58 PM   15    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:53:58 PM   16    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:53:58 PM   17    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
02:53:58 PM   18    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
02:53:58 PM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:53:58 PM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
