Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

12:06:27 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:06:28 PM  1000    277893  213.00    8.00    0.00    0.00  221.00     0  java
12:06:29 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:06:30 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:06:31 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:06:32 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:06:33 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:06:34 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:06:35 PM  1000    277893    0.00    0.00    0.00    0.00    0.00     0  java
12:06:36 PM  1000    277893  306.00   10.00    0.00    0.00  316.00     0  java
12:06:37 PM  1000    277893  372.00   12.00    0.00    0.00  384.00     0  java
12:06:38 PM  1000    277893  373.00   18.00    0.00    0.00  391.00     0  java
12:06:39 PM  1000    277893  371.00   22.00    0.00    0.00  393.00     0  java
12:06:40 PM  1000    277893  361.00   29.00    0.00    0.00  390.00     0  java
12:06:41 PM  1000    277893  343.00   43.00    0.00    0.00  386.00     0  java
12:06:42 PM  1000    277893  346.00   39.00    0.00    0.00  385.00     0  java
12:06:43 PM  1000    277893  345.00   40.00    0.00    0.00  385.00     0  java
12:06:44 PM  1000    277893  338.00   46.00    0.00    0.00  384.00     0  java
12:06:45 PM  1000    277893  333.00   51.00    0.00    0.00  384.00     0  java
12:06:46 PM  1000    277893  324.00   59.00    0.00    0.00  383.00     0  java
12:06:47 PM  1000    277893  324.00   58.00    0.00    0.00  382.00     0  java
12:06:48 PM  1000    277893  317.00   63.00    0.00    0.00  380.00     0  java
12:06:49 PM  1000    277893  308.00   68.00    0.00    0.00  376.00     0  java
12:06:50 PM  1000    277893  307.00   72.00    0.00    0.00  379.00     0  java
