Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

12:51:41 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:42 PM  1000    310147  292.00    4.00    0.00    0.00  296.00     0  java
12:51:43 PM  1000    310147  290.00    6.00    0.00    0.00  296.00     0  java
12:51:44 PM  1000    310147  200.00    6.00    0.00    0.00  206.00     0  java
12:51:45 PM  1000    310147  251.00    4.00    0.00    0.00  255.00     0  java
12:51:46 PM  1000    310147  102.00    1.00    0.00    0.00  103.00     0  java
12:51:47 PM  1000    310147    0.00    0.00    0.00    0.00    0.00     0  java
12:51:48 PM  1000    310147    0.00    0.00    0.00    0.00    0.00     0  java
12:51:49 PM  1000    310147    0.00    0.00    0.00    0.00    0.00     0  java
12:51:50 PM  1000    310147  271.00   15.00    0.00    0.00  286.00     0  java
12:51:51 PM  1000    310147  371.00   23.00    0.00    0.00  394.00     0  java
12:51:52 PM  1000    310147  369.00   24.00    0.00    0.00  393.00     0  java
12:51:53 PM  1000    310147  373.00   20.00    0.00    0.00  393.00     0  java
12:51:54 PM  1000    310147  370.00   23.00    0.00    0.00  393.00     0  java
12:51:55 PM  1000    310147  370.00   24.00    0.00    0.00  394.00     0  java
12:51:56 PM  1000    310147  368.00   24.00    0.00    0.00  392.00     0  java
12:51:57 PM  1000    310147  365.00   27.00    0.00    0.00  392.00     0  java
12:51:58 PM  1000    310147  362.00   30.00    0.00    0.00  392.00     0  java
12:51:59 PM  1000    310147  364.00   28.00    0.00    0.00  392.00     0  java
12:52:00 PM  1000    310147  360.00   32.00    0.00    0.00  392.00     0  java
12:52:01 PM  1000    310147  359.00   33.00    0.00    0.00  392.00     0  java
12:52:02 PM  1000    310147  355.00   35.00    0.00    0.00  390.00     0  java
12:52:03 PM  1000    310147  355.00   36.00    0.00    0.00  391.00     0  java
12:52:04 PM  1000    310147  350.00   41.00    0.00    0.00  391.00     0  java
12:52:05 PM  1000    310147  353.00   37.00    0.00    0.00  390.00     0  java
12:52:06 PM  1000    310147  347.00   44.00    0.00    0.00  391.00     0  java
12:52:07 PM  1000    310147  350.00   39.00    0.00    0.00  389.00     0  java
12:52:08 PM  1000    310147  346.00   45.00    0.00    0.00  391.00     0  java
12:52:09 PM  1000    310147  348.00   40.00    0.00    0.00  388.00     0  java
12:52:10 PM  1000    310147  348.00   42.00    0.00    0.00  390.00     0  java
12:52:11 PM  1000    310147  344.00   45.00    0.00    0.00  389.00     0  java
12:52:12 PM  1000    310147  340.00   49.00    0.00    0.00  389.00     0  java
12:52:13 PM  1000    310147  336.00   54.00    0.00    0.00  390.00     0  java
12:52:14 PM  1000    310147  334.00   55.00    0.00    0.00  389.00     0  java
12:52:15 PM  1000    310147  334.00   54.00    0.00    0.00  388.00     0  java
12:52:16 PM  1000    310147  328.00   59.00    0.00    0.00  387.00     0  java
12:52:17 PM  1000    310147  330.00   58.00    0.00    0.00  388.00     0  java
12:52:18 PM  1000    310147  325.74   56.44    0.00    0.00  382.18     0  java
12:52:19 PM  1000    310147  326.00   61.00    0.00    0.00  387.00     0  java
12:52:20 PM  1000    310147  324.00   62.00    0.00    0.00  386.00     0  java
12:52:21 PM  1000    310147  327.00   61.00    0.00    0.00  388.00     0  java
12:52:22 PM  1000    310147  323.00   64.00    0.00    0.00  387.00     0  java
12:52:23 PM  1000    310147  317.00   68.00    0.00    0.00  385.00     0  java
12:52:24 PM  1000    310147  315.00   72.00    0.00    0.00  387.00     0  java
12:52:25 PM  1000    310147  309.00   76.00    0.00    0.00  385.00     0  java
12:52:26 PM  1000    310147  308.00   76.00    0.00    0.00  384.00     0  java
12:52:27 PM  1000    310147  298.00   86.00    0.00    0.00  384.00     0  java
12:52:28 PM  1000    310147  292.00   91.00    0.00    0.00  383.00     0  java
12:52:29 PM  1000    310147  289.00   94.00    0.00    0.00  383.00     0  java
12:52:30 PM  1000    310147  292.00   91.00    0.00    0.00  383.00     0  java
12:52:31 PM  1000    310147  286.00   98.00    0.00    0.00  384.00     0  java
12:52:32 PM  1000    310147  291.00   91.00    0.00    0.00  382.00     0  java
12:52:33 PM  1000    310147  282.00  100.00    0.00    0.00  382.00     0  java
12:52:34 PM  1000    310147  280.00  102.00    0.00    0.00  382.00     0  java
12:52:35 PM  1000    310147  281.00  102.00    0.00    0.00  383.00     0  java
12:52:36 PM  1000    310147  274.00  109.00    0.00    0.00  383.00     0  java
12:52:37 PM  1000    310147  277.00  104.00    0.00    0.00  381.00     0  java
12:52:38 PM  1000    310147  278.00   96.00    0.00    0.00  374.00     0  java
12:52:39 PM  1000    310147  279.00  103.00    0.00    0.00  382.00     0  java
12:52:40 PM  1000    310147  279.00  105.00    0.00    0.00  384.00     0  java
12:52:41 PM  1000    310147  269.00  114.00    0.00    0.00  383.00     0  java
12:52:42 PM  1000    310147  276.00  108.00    0.00    0.00  384.00     0  java
12:52:43 PM  1000    310147  276.00  107.00    0.00    0.00  383.00     0  java
12:52:44 PM  1000    310147  271.00  108.00    0.00    0.00  379.00     0  java
12:52:45 PM  1000    310147  266.00  116.00    0.00    0.00  382.00     0  java
12:52:46 PM  1000    310147  262.00  119.00    0.00    0.00  381.00     0  java
12:52:47 PM  1000    310147  262.00  121.00    0.00    0.00  383.00     0  java
12:52:48 PM  1000    310147  253.00  128.00    0.00    0.00  381.00     0  java
12:52:49 PM  1000    310147  255.00  122.00    0.00    0.00  377.00     0  java
12:52:50 PM  1000    310147  259.00  123.00    0.00    0.00  382.00     0  java
12:52:51 PM  1000    310147  255.00  124.00    0.00    0.00  379.00     0  java
12:52:52 PM  1000    310147  245.00  135.00    0.00    0.00  380.00     0  java
12:52:53 PM  1000    310147  241.00  139.00    0.00    0.00  380.00     0  java
12:52:54 PM  1000    310147  243.00  137.00    0.00    0.00  380.00     0  java
12:52:55 PM  1000    310147  245.00  136.00    0.00    0.00  381.00     0  java
12:52:56 PM  1000    310147  239.00  142.00    0.00    0.00  381.00     0  java
12:52:57 PM  1000    310147  234.00  145.00    0.00    0.00  379.00     0  java
