Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

12:51:44 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:45 PM 100998    310080    0.00    0.00    0.00    0.00    0.00     4  postgres
12:51:45 PM 100998    310081    0.00    0.00    0.00    0.00    0.00     5  postgres
12:51:45 PM 100998    310083    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:45 PM 100998    310084    0.00    0.00    0.00    0.00    0.00     5  postgres
12:51:45 PM 100998    311004    0.00    0.00    0.00    0.00    0.00     4  postgres
12:51:45 PM 100998    311025    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:45 PM 100998    311026    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:45 PM 100998    311027    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:45 PM 100998    311028    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:45 PM 100998    311030    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:45 PM 100998    311031    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:45 PM 100998    311032    0.00    0.00    0.00    0.00    0.00     5  postgres
12:51:45 PM 100998    311034    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:45 PM 100998    311035    0.00    0.00    0.00    0.00    0.00     5  postgres

12:51:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:51:46 PM 100998    310080    0.00    0.00    0.00    0.00    0.00     4  postgres
12:51:46 PM 100998    310081    0.00    0.00    0.00    0.00    0.00     5  postgres
12:51:46 PM 100998    310083    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:46 PM 100998    310084    0.00    0.00    0.00    0.00    0.00     5  postgres
12:51:46 PM 100998    311004    0.00    0.00    0.00    0.00    0.00     4  postgres
12:51:46 PM 100998    311025    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:46 PM 100998    311026    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:46 PM 100998    311027    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:46 PM 100998    311028    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:46 PM 100998    311030    0.00    0.00    0.00    0.00    0.00     6  postgres
12:51:46 PM 100998    311031    0.00    0.00    0.00    0.00    0.00     6  postgres
