Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

01:02:36 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:02:37 PM 100998    323850    0.00    0.00    0.00    0.00    0.00     4  postgres
01:02:37 PM 100998    323851    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    323853    0.00    0.00    0.00    0.00    0.00     4  postgres
01:02:37 PM 100998    323854    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324776    0.00    0.00    0.00    0.00    0.00     6  postgres
01:02:37 PM 100998    324797    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324798    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324799    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324801    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324802    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324803    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324805    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324806    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:37 PM 100998    324807    0.00    0.00    0.00    0.00    0.00     5  postgres

01:02:37 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:02:38 PM 100998    323850    0.00    0.00    0.00    0.00    0.00     4  postgres
01:02:38 PM 100998    323851    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:38 PM 100998    323853    0.00    0.00    0.00    0.00    0.00     4  postgres
01:02:38 PM 100998    323854    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:38 PM 100998    324776    0.00    0.00    0.00    0.00    0.00     6  postgres
01:02:38 PM 100998    324797    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:38 PM 100998    324798    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:38 PM 100998    324799    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:38 PM 100998    324801    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:38 PM 100998    324802    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:38 PM 100998    324803    0.00    0.00    0.00    0.00    0.00     5  postgres
01:02:38 PM 100998    324805    0.00    0.00    0.00    0.00    0.00     5  postgres
