Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

02:53:59 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:54:00 PM 100998    413742    0.00    0.00    0.00    0.00    0.00     4  postgres
02:54:00 PM 100998    413743    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    413745    0.00    0.00    0.00    0.00    0.00     6  postgres
02:54:00 PM 100998    413746    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    414454    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    414660    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    414662    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    414668    0.00    0.00    0.00    0.00    0.00     6  postgres
02:54:00 PM 100998    414675    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    414676    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    414682    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    414692    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:00 PM 100998    414693    0.00    0.00    0.00    0.00    0.00     6  postgres
02:54:00 PM 100998    414696    0.00    0.00    0.00    0.00    0.00     6  postgres

02:54:00 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:54:01 PM 100998    413742    0.00    0.00    0.00    0.00    0.00     4  postgres
02:54:01 PM 100998    413743    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:01 PM 100998    413745    0.00    0.00    0.00    0.00    0.00     6  postgres
02:54:01 PM 100998    413746    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:01 PM 100998    414454    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:01 PM 100998    414660    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:01 PM 100998    414662    0.00    0.00    0.00    0.00    0.00     5  postgres
02:54:01 PM 100998    414668    0.00    0.00    0.00    0.00    0.00     6  postgres
