Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	01/20/2026 	_x86_64_	(64 CPU)

03:23:50 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:23:51 PM 100998    429996    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    429997    0.00    0.00    0.00    0.00    0.00     5  postgres
03:23:51 PM 100998    429999    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430000    0.00    0.00    0.00    0.00    0.00     5  postgres
03:23:51 PM 100998    430068    0.00    0.00    0.00    0.00    0.00     6  postgres
03:23:51 PM 100998    430073    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430074    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430075    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430076    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430077    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430090    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430091    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430092    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:51 PM 100998    430093    0.00    0.00    0.00    0.00    0.00     4  postgres

03:23:51 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:23:52 PM 100998    429996    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    429997    0.00    0.00    0.00    0.00    0.00     5  postgres
03:23:52 PM 100998    429999    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430000    0.00    0.00    0.00    0.00    0.00     5  postgres
03:23:52 PM 100998    430068    0.00    0.00    0.00    0.00    0.00     6  postgres
03:23:52 PM 100998    430073    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430074    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430075    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430076    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430077    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430090    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430091    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430092    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:52 PM 100998    430093    0.00    0.00    0.00    0.00    0.00     4  postgres

03:23:52 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:23:53 PM 100998    429996    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    429997    0.00    0.00    0.00    0.00    0.00     5  postgres
03:23:53 PM 100998    429999    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430000    0.00    0.00    0.00    0.00    0.00     5  postgres
03:23:53 PM 100998    430068    0.00    0.00    0.00    0.00    0.00     6  postgres
03:23:53 PM 100998    430073    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430074    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430075    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430076    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430077    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430090    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430091    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430092    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:53 PM 100998    430093    0.00    0.00    0.00    0.00    0.00     4  postgres

03:23:53 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:23:54 PM 100998    429996    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    429997    0.00    0.00    0.00    0.00    0.00     5  postgres
03:23:54 PM 100998    429999    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430000    0.00    0.00    0.00    0.00    0.00     5  postgres
03:23:54 PM 100998    430068    0.00    0.00    0.00    0.00    0.00     6  postgres
03:23:54 PM 100998    430073    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430074    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430075    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430076    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430077    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430090    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430091    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430092    0.00    0.00    0.00    0.00    0.00     4  postgres
03:23:54 PM 100998    430093    0.00    0.00    0.00    0.00    0.00     4  postgres

03:23:54 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
