Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/05/2026 	_x86_64_	(64 CPU)

03:58:00 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
03:58:01 AM  1000   1616494  194.00    5.00    0.00    0.00  199.00     2  java
03:58:02 AM  1000   1616494   44.00    1.00    0.00    0.00   45.00     2  java
03:58:03 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
03:58:04 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
03:58:05 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
03:58:06 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
03:58:07 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
03:58:08 AM  1000   1616494   64.00    4.00    0.00    0.00   68.00     2  java
03:58:09 AM  1000   1616494  346.00   14.00    0.00    0.00  360.00     2  java
03:58:10 AM  1000   1616494  377.00   13.00    0.00    0.00  390.00     2  java
03:58:11 AM  1000   1616494  375.00   17.00    0.00    0.00  392.00     2  java
03:58:12 AM  1000   1616494  371.00   20.00    0.00    0.00  391.00     2  java
03:58:13 AM  1000   1616494  361.00   29.00    0.00    0.00  390.00     2  java
03:58:14 AM  1000   1616494  344.00   39.00    0.00    0.00  383.00     2  java
03:58:15 AM  1000   1616494  346.00   40.00    0.00    0.00  386.00     2  java
03:58:16 AM  1000   1616494  336.00   46.00    0.00    0.00  382.00     2  java
03:58:17 AM  1000   1616494  346.00   39.00    0.00    0.00  385.00     2  java
03:58:18 AM  1000   1616494  340.00   43.00    0.00    0.00  383.00     2  java
03:58:19 AM  1000   1616494  329.00   53.00    0.00    0.00  382.00     2  java
03:58:20 AM  1000   1616494  324.00   57.00    0.00    0.00  381.00     2  java
03:58:21 AM  1000   1616494  320.00   56.00    0.00    0.00  376.00     2  java
03:58:22 AM  1000   1616494  308.00   66.00    0.00    0.00  374.00     2  java
03:58:23 AM  1000   1616494  307.00   68.00    0.00    0.00  375.00     2  java
03:58:24 AM  1000   1616494  301.00   75.00    0.00    0.00  376.00     2  java
03:58:25 AM  1000   1616494  279.00   91.00    0.00    0.00  370.00     2  java
03:58:26 AM  1000   1616494  246.00  117.00    0.00    0.00  363.00     2  java
03:58:27 AM  1000   1616494  237.00  125.00    0.00    0.00  362.00     2  java
03:58:28 AM  1000   1616494  242.00  119.00    0.00    0.00  361.00     2  java
03:58:29 AM  1000   1616494  245.00  117.00    0.00    0.00  362.00     2  java
03:58:30 AM  1000   1616494  240.00  120.00    0.00    0.00  360.00     2  java
03:58:31 AM  1000   1616494  243.00  120.00    0.00    0.00  363.00     2  java
03:58:32 AM  1000   1616494  240.00  119.00    0.00    0.00  359.00     2  java
03:58:33 AM  1000   1616494  245.00  118.00    0.00    0.00  363.00     2  java
03:58:34 AM  1000   1616494  248.00  113.00    0.00    0.00  361.00     2  java
03:58:35 AM  1000   1616494  243.00  119.00    0.00    0.00  362.00     2  java
03:58:36 AM  1000   1616494  247.00  116.00    0.00    0.00  363.00     2  java
03:58:37 AM  1000   1616494  245.00  116.00    0.00    0.00  361.00     2  java
03:58:38 AM  1000   1616494  250.00  113.00    0.00    0.00  363.00     2  java
03:58:39 AM  1000   1616494  241.00  120.00    0.00    0.00  361.00     2  java
03:58:40 AM  1000   1616494  241.00  121.00    0.00    0.00  362.00     2  java
03:58:41 AM  1000   1616494  247.00  116.00    0.00    0.00  363.00     2  java
03:58:42 AM  1000   1616494  245.00  116.00    0.00    0.00  361.00     2  java
03:58:43 AM  1000   1616494  242.00  119.00    0.00    0.00  361.00     2  java
03:58:44 AM  1000   1616494  238.00  123.00    0.00    0.00  361.00     2  java
03:58:45 AM  1000   1616494  243.00  119.00    0.00    0.00  362.00     2  java
03:58:46 AM  1000   1616494  237.00  124.00    0.00    0.00  361.00     2  java
03:58:47 AM  1000   1616494  241.00  121.00    0.00    0.00  362.00     2  java
03:58:48 AM  1000   1616494  238.00  124.00    0.00    0.00  362.00     2  java
03:58:49 AM  1000   1616494  246.00  116.00    0.00    0.00  362.00     2  java
03:58:50 AM  1000   1616494  245.00  114.00    0.00    0.00  359.00     2  java
03:58:51 AM  1000   1616494  242.00  120.00    0.00    0.00  362.00     2  java
03:58:52 AM  1000   1616494  243.00  119.00    0.00    0.00  362.00     2  java
03:58:53 AM  1000   1616494  242.00  120.00    0.00    0.00  362.00     2  java
03:58:54 AM  1000   1616494  242.00  119.00    0.00    0.00  361.00     2  java
03:58:55 AM  1000   1616494  243.00  119.00    0.00    0.00  362.00     2  java
03:58:56 AM  1000   1616494  242.00  119.00    0.00    0.00  361.00     2  java
03:58:57 AM  1000   1616494  245.00  117.00    0.00    0.00  362.00     2  java
03:58:58 AM  1000   1616494  241.00  121.00    0.00    0.00  362.00     2  java
03:58:59 AM  1000   1616494  238.00  125.00    0.00    0.00  363.00     2  java
03:59:00 AM  1000   1616494  243.00  119.00    0.00    0.00  362.00     2  java
03:59:01 AM  1000   1616494  247.00  116.00    0.00    0.00  363.00     2  java
03:59:02 AM  1000   1616494  247.00  115.00    0.00    0.00  362.00     2  java
03:59:03 AM  1000   1616494  246.00  117.00    0.00    0.00  363.00     2  java
03:59:04 AM  1000   1616494  252.00  111.00    0.00    0.00  363.00     2  java
03:59:05 AM  1000   1616494  250.00  112.00    0.00    0.00  362.00     2  java
03:59:06 AM  1000   1616494  243.00  120.00    0.00    0.00  363.00     2  java
03:59:07 AM  1000   1616494  241.00  121.00    0.00    0.00  362.00     2  java
03:59:08 AM  1000   1616494  248.00  114.00    0.00    0.00  362.00     2  java
03:59:09 AM  1000   1616494  246.00  116.00    0.00    0.00  362.00     2  java
03:59:10 AM  1000   1616494  240.00  122.00    0.00    0.00  362.00     2  java
03:59:11 AM  1000   1616494  244.00  118.00    0.00    0.00  362.00     2  java
03:59:12 AM  1000   1616494  241.00  121.00    0.00    0.00  362.00     2  java
03:59:13 AM  1000   1616494  241.00  121.00    0.00    0.00  362.00     2  java
03:59:14 AM  1000   1616494  244.00  119.00    0.00    0.00  363.00     2  java
03:59:15 AM  1000   1616494  245.00  118.00    0.00    0.00  363.00     2  java
03:59:16 AM  1000   1616494  247.00  114.00    0.00    0.00  361.00     2  java
03:59:17 AM  1000   1616494  247.00  115.00    0.00    0.00  362.00     2  java
03:59:18 AM  1000   1616494  248.00  115.00    0.00    0.00  363.00     2  java
03:59:19 AM  1000   1616494  242.00  121.00    0.00    0.00  363.00     2  java
03:59:20 AM  1000   1616494  243.00  118.00    0.00    0.00  361.00     2  java
03:59:21 AM  1000   1616494  242.00  119.00    0.00    0.00  361.00     2  java
03:59:22 AM  1000   1616494  242.00  120.00    0.00    0.00  362.00     2  java
03:59:23 AM  1000   1616494  242.00  118.00    0.00    0.00  360.00     2  java
03:59:24 AM  1000   1616494  248.00  113.00    0.00    0.00  361.00     2  java
03:59:25 AM  1000   1616494  241.00  122.00    0.00    0.00  363.00     2  java
03:59:26 AM  1000   1616494  244.00  117.00    0.00    0.00  361.00     2  java
03:59:27 AM  1000   1616494  243.00  120.00    0.00    0.00  363.00     2  java
03:59:28 AM  1000   1616494  244.00  118.00    0.00    0.00  362.00     2  java
03:59:29 AM  1000   1616494  247.00  117.00    0.00    0.00  364.00     2  java
03:59:30 AM  1000   1616494  248.00  114.00    0.00    0.00  362.00     2  java
03:59:31 AM  1000   1616494  243.00  118.00    0.00    0.00  361.00     2  java
03:59:32 AM  1000   1616494  242.00  120.00    0.00    0.00  362.00     2  java
03:59:33 AM  1000   1616494  246.00  117.00    0.00    0.00  363.00     2  java
03:59:34 AM  1000   1616494  247.00  116.00    0.00    0.00  363.00     2  java
03:59:35 AM  1000   1616494  240.00  119.00    0.00    0.00  359.00     2  java
03:59:36 AM  1000   1616494  245.00  116.00    0.00    0.00  361.00     2  java
03:59:37 AM  1000   1616494  245.00  116.00    0.00    0.00  361.00     2  java
03:59:38 AM  1000   1616494  248.00  114.00    0.00    0.00  362.00     2  java
03:59:39 AM  1000   1616494  244.00  119.00    0.00    0.00  363.00     2  java
03:59:40 AM  1000   1616494  245.00  118.00    0.00    0.00  363.00     2  java
03:59:41 AM  1000   1616494  243.00  119.00    0.00    0.00  362.00     2  java
03:59:42 AM  1000   1616494  247.00  117.00    0.00    0.00  364.00     2  java
03:59:43 AM  1000   1616494  248.00  115.00    0.00    0.00  363.00     2  java
03:59:44 AM  1000   1616494  240.00  121.00    0.00    0.00  361.00     2  java
03:59:45 AM  1000   1616494  248.00  114.00    0.00    0.00  362.00     2  java
03:59:46 AM  1000   1616494  246.00  115.00    0.00    0.00  361.00     2  java
03:59:47 AM  1000   1616494  236.00  126.00    0.00    0.00  362.00     2  java
03:59:48 AM  1000   1616494  245.00  116.00    0.00    0.00  361.00     2  java
03:59:49 AM  1000   1616494  241.00  121.00    0.00    0.00  362.00     2  java
03:59:50 AM  1000   1616494  249.00  113.00    0.00    0.00  362.00     2  java
03:59:51 AM  1000   1616494  242.00  120.00    0.00    0.00  362.00     2  java
03:59:52 AM  1000   1616494  247.00  113.00    0.00    0.00  360.00     2  java
03:59:53 AM  1000   1616494  242.00  121.00    0.00    0.00  363.00     2  java
03:59:54 AM  1000   1616494  240.00  121.00    0.00    0.00  361.00     2  java
03:59:55 AM  1000   1616494  238.00  123.00    0.00    0.00  361.00     2  java
03:59:56 AM  1000   1616494  247.00  113.00    0.00    0.00  360.00     2  java
03:59:57 AM  1000   1616494  245.00  117.00    0.00    0.00  362.00     2  java
03:59:58 AM  1000   1616494  245.00  117.00    0.00    0.00  362.00     2  java
03:59:59 AM  1000   1616494  241.00  121.00    0.00    0.00  362.00     2  java
04:00:00 AM  1000   1616494  239.00  121.00    0.00    0.00  360.00     2  java
04:00:01 AM  1000   1616494  257.00  108.00    0.00    0.00  365.00     2  java
04:00:02 AM  1000   1616494  242.00  120.00    0.00    0.00  362.00     2  java
04:00:03 AM  1000   1616494  249.00  113.00    0.00    0.00  362.00     2  java
04:00:04 AM  1000   1616494  243.00  119.00    0.00    0.00  362.00     2  java
04:00:05 AM  1000   1616494  240.00  121.00    0.00    0.00  361.00     2  java
04:00:06 AM  1000   1616494  253.00  110.00    0.00    0.00  363.00     2  java
04:00:07 AM  1000   1616494  243.00  120.00    0.00    0.00  363.00     2  java
04:00:08 AM  1000   1616494  243.00  118.00    0.00    0.00  361.00     2  java
04:00:09 AM  1000   1616494  240.00  122.00    0.00    0.00  362.00     2  java
04:00:10 AM  1000   1616494  238.00  124.00    0.00    0.00  362.00     2  java
04:00:11 AM  1000   1616494  238.00  125.00    0.00    0.00  363.00     2  java
04:00:12 AM  1000   1616494  243.00  118.00    0.00    0.00  361.00     2  java
04:00:13 AM  1000   1616494  246.00  117.00    0.00    0.00  363.00     2  java
04:00:14 AM  1000   1616494  207.00   91.00    0.00    0.00  298.00     2  java
04:00:15 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:16 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:17 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:18 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:19 AM  1000   1616494    1.00    0.00    0.00    0.00    1.00     2  java
04:00:20 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:21 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:22 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:23 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:24 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:25 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:26 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:27 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:28 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:29 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:30 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:31 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:32 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:33 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:34 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:35 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:36 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:37 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:38 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:39 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:40 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:41 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:42 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:43 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:44 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:45 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:46 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:47 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:48 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:00:49 AM  1000   1616494  109.00   18.00    0.00    0.00  127.00     2  java
04:00:50 AM  1000   1616494  273.00   95.00    0.00    0.00  368.00     2  java
04:00:51 AM  1000   1616494  248.00  114.00    0.00    0.00  362.00     2  java
04:00:52 AM  1000   1616494  248.00  115.00    0.00    0.00  363.00     2  java
04:00:53 AM  1000   1616494  243.00  118.00    0.00    0.00  361.00     2  java
04:00:54 AM  1000   1616494  237.00  123.00    0.00    0.00  360.00     2  java
04:00:55 AM  1000   1616494  241.00  114.00    0.00    0.00  355.00     2  java
04:00:56 AM  1000   1616494  244.00  117.00    0.00    0.00  361.00     2  java
04:00:57 AM  1000   1616494  244.00  119.00    0.00    0.00  363.00     2  java
04:00:58 AM  1000   1616494  239.00  122.00    0.00    0.00  361.00     2  java
04:00:59 AM  1000   1616494  243.00  119.00    0.00    0.00  362.00     2  java
04:01:00 AM  1000   1616494  243.00  117.00    0.00    0.00  360.00     2  java
04:01:01 AM  1000   1616494  250.00  111.00    0.00    0.00  361.00     2  java
04:01:02 AM  1000   1616494  239.00  123.00    0.00    0.00  362.00     2  java
04:01:03 AM  1000   1616494  245.00  117.00    0.00    0.00  362.00     2  java
04:01:04 AM  1000   1616494  242.00  120.00    0.00    0.00  362.00     2  java
04:01:05 AM  1000   1616494  239.00  123.00    0.00    0.00  362.00     2  java
04:01:06 AM  1000   1616494  245.00  117.00    0.00    0.00  362.00     2  java
04:01:07 AM  1000   1616494  246.00  116.00    0.00    0.00  362.00     2  java
04:01:08 AM  1000   1616494  245.00  116.00    0.00    0.00  361.00     2  java
04:01:09 AM  1000   1616494  241.00  120.00    0.00    0.00  361.00     2  java
04:01:10 AM  1000   1616494  248.00  114.00    0.00    0.00  362.00     2  java
04:01:11 AM  1000   1616494  240.00  122.00    0.00    0.00  362.00     2  java
04:01:12 AM  1000   1616494  244.00  117.00    0.00    0.00  361.00     2  java
04:01:13 AM  1000   1616494  239.00  124.00    0.00    0.00  363.00     2  java
04:01:14 AM  1000   1616494  250.00  112.00    0.00    0.00  362.00     2  java
04:01:15 AM  1000   1616494  245.00  114.00    0.00    0.00  359.00     2  java
04:01:16 AM  1000   1616494  243.00  118.00    0.00    0.00  361.00     2  java
04:01:17 AM  1000   1616494  237.00  124.00    0.00    0.00  361.00     2  java
04:01:18 AM  1000   1616494  241.00  119.00    0.00    0.00  360.00     2  java
04:01:19 AM  1000   1616494  244.00  116.00    0.00    0.00  360.00     2  java
04:01:20 AM  1000   1616494  245.00  116.00    0.00    0.00  361.00     2  java
04:01:21 AM  1000   1616494  237.00  123.00    0.00    0.00  360.00     2  java
04:01:22 AM  1000   1616494  244.00  118.00    0.00    0.00  362.00     2  java
04:01:23 AM  1000   1616494  246.00  114.00    0.00    0.00  360.00     2  java
04:01:24 AM  1000   1616494  241.00  120.00    0.00    0.00  361.00     2  java
04:01:25 AM  1000   1616494  164.00   80.00    0.00    0.00  244.00     2  java
04:01:26 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:01:27 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
04:01:28 AM  1000   1616494    0.00    0.00    0.00    0.00    0.00     2  java
