procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 391337664      0 304656    0    0     1     1    0    0  0  0 100  0  0
 1  0      0 391221376      0 366884    0    0 62128     0 8826 7155  4  0 95  1  0
 3  0      0 391160352      0 371392    0    0  4412   868 10915 6843  3  1 96  0  0
 2  0      0 391104384      0 375764    0    0  4112     8 10868 5837  5  1 95  0  0
 1  1      0 391096320      0 388476    0    0 14788    16 5236 6438  3  0 96  0  0
 2  0      0 391006880      0 399696    0    0 11032    32 3841 4030  3  0 97  0  0
 0  0      0 390984704      0 400640    0    0   948     4 1004  876  1  0 99  0  0
 7  0      0 390928800      0 403244    0    0  2244   484 5347 8746  4  0 96  0  0
 8  0      0 390919488      0 403260    0    0     8    72 8549 25207  6  0 93  0  0
 9  0      0 390856000      0 403504    0    0    48     0 8257 26018  6  1 93  0  0
 7  0      0 390842624      0 403548    0    0    40     4 10016 31241  7  1 92  0  0
 9  0      0 390832640      0 403556    0    0     0    44 10330 34504  7  1 92  0  0
 7  0      0 390817408      0 406108    0    0    72   376 11241 41431  7  1 93  0  0
 8  0      0 390790464      0 406204    0    0    88    44 13322 52563  7  1 92  0  0
 6  0      0 390787936      0 406148    0    0     0     0 18926 83221  7  1 92  0  0
 6  0      0 390780384      0 406172    0    0     0     0 19670 94866  6  2 92  0  0
 6  0      0 390779872      0 406192    0    0    16   192 20034 100082  6  2 92  0  0
 6  0      0 390778144      0 406200    0    0     0    40 18462 100624  6  2 92  0  0
 8  0      0 390777120      0 406220    0    0     4   516 18646 101449  6  2 92  0  0
 6  0      0 390775360      0 406232    0    0     0     0 16968 102478  6  2 92  0  0
 6  0      0 390775168      0 406252    0    0     0    12 22411 122685  6  2 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390776224      0 406268    0    0    16     0 22624 120958  6  2 92  0  0
 6  0      0 390775552      0 406360    0    0     0     4 24702 130904  6  2 92  0  0
 9  0      0 390776352      0 406376    0    0     0    40 27344 138089  6  2 92  0  0
 8  0      0 390775840      0 406428    0    0     0     4 28988 148957  7  3 91  0  0
 6  0      0 390775680      0 406456    0    0     0     0 30773 170619  6  3 91  0  0
10  0      0 390775328      0 406476    0    0     0    16 30085 167996  6  3 91  0  0
 7  0      0 390759680      0 406508    0    0     0    72 42137 214753  6  4 90  0  0
 7  0      0 390758336      0 406540    0    0    24    36 43491 225515  5  5 90  0  0
 5  0      0 390760864      0 406576    0    0     0    44 41037 233648  5  5 90  0  0
 8  0      0 390762272      0 406636    0    0     0     4 44779 240007  5  5 90  0  0
 7  0      0 390765312      0 406708    0    0     0    12 48747 224374  5  5 90  0  0
 6  0      0 390765280      0 406740    0    0     0     0 48073 236239  5  5 90  0  0
 3  0      0 390764672      0 406772    0    0     0     0 45692 235923  5  5 90  0  0
 8  0      0 390768576      0 406808    0    0     0     4 47197 233507  5  5 90  0  0
 8  0      0 390771488      0 406840    0    0     0    40 51325 228443  5  5 90  0  0
 7  0      0 390771008      0 406872    0    0     0     4 47562 236016  6  5 89  0  0
 6  0      0 390771072      0 406908    0    0     0     0 45647 240722  5  5 90  0  0
 7  0      0 390770560      0 406948    0    0    16   840 47084 233436  5  5 90  0  0
 6  0      0 390771232      0 406976    0    0     0     0 45812 232683  5  5 90  0  0
 6  0      0 390773952      0 407056    0    0     0     4 46271 236554  5  5 90  0  0
 7  0      0 390776064      0 407060    0    0     0    44 47589 228427  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390774048      0 407320    0    0     0     4 43075 233023  5  5 90  0  0
 8  0      0 390773824      0 407360    0    0     0    64 46900 234243  5  5 90  0  0
 7  0      0 390774208      0 407392    0    0     0   412 50107 231990  5  5 90  0  0
 7  0      0 390774400      0 407396    0    0     4     0 45765 235121  5  5 90  0  0
10  0      0 390775072      0 407424    0    0     0     4 51198 227553  5  5 90  0  0
 7  0      0 390774144      0 407432    0    0     0   112 49866 225356  5  5 90  0  0
 8  0      0 390775104      0 407468    0    0     0     8 48353 230817  5  5 90  0  0
 5  0      0 390777408      0 407340    0    0     0     0 45002 227055  5  5 90  0  0
 7  0      0 390776768      0 407564    0    0     0    12 51693 232494  5  5 90  0  0
 6  0      0 390780704      0 407484    0    0     0     0 45201 241680  5  5 90  0  0
 7  0      0 390780480      0 407588    0    0     0     8 47576 238679  5  5 90  0  0
 7  0      0 390783200      0 407584    0    0     0    40 44349 234015  5  5 90  0  0
 9  0      0 390783296      0 407624    0    0     0     4 45778 242424  5  5 90  0  0
 6  0      0 390786272      0 407628    0    0     0    12 47350 236125  5  5 90  0  0
 9  0      0 390785632      0 407624    0    0     0     0 44493 233712  5  5 90  0  0
 7  0      0 390784832      0 407664    0    0     0     0 49886 229187  5  5 90  0  0
 6  0      0 390782688      0 407692    0    0     0    80 47164 233563  5  5 90  0  0
 6  0      0 390784096      0 407720    0    0     0    56 47566 228666  5  5 90  0  0
 8  0      0 390785504      0 407796    0    0     0     4 43776 232640  5  4 90  0  0
 7  0      0 390790272      0 407896    0    0     4     0 44311 236775  5  5 90  0  0
 6  0      0 390789568      0 407968    0    0     0    12 47228 242668  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 390789504      0 407880    0    0     0     0 45035 241451  5  5 90  0  0
 3  0      0 390790272      0 407916    0    0     0     4 47128 229232  5  5 90  0  0
 7  0      0 390791424      0 407944    0    0     0    40 47197 234794  5  5 90  0  0
 5  0      0 390790208      0 407980    0    0     0     4 46164 230076  5  5 90  0  0
 9  0      0 390790912      0 408048    0    0     0     0 44629 232320  5  5 90  0  0
 7  0      0 390790080      0 408084    0    0     0    88 45042 241550  5  4 90  0  0
 8  0      0 390792128      0 408112    0    0     0   836 43537 233204  5  5 90  0  0
 6  0      0 390792416      0 408120    0    0     0     4 44297 241746  5  5 90  0  0
 5  0      0 390794752      0 408156    0    0     0    44 48213 237442  5  5 90  0  0
 7  0      0 390803904      0 408316    0    0     0     4 44113 231851  5  5 90  0  0
 7  0      0 390804992      0 408356    0    0     0   120 46450 234880  5  5 90  0  0
 9  0      0 390803200      0 408384    0    0     0    36 47987 232798  6  5 89  0  0
 7  0      0 390804416      0 408420    0    0     0     0 47219 235779  5  5 90  0  0
 7  0      0 390806656      0 408456    0    0     0     4 49502 236229  5  5 90  0  0
 6  0      0 390806944      0 408488    0    0     0   544 48855 234631  5  5 90  0  0
 7  0      0 390805568      0 408420    0    0     0     4 47100 232080  5  5 90  0  0
 9  0      0 390807136      0 408460    0    0     0     0 42297 231033  5  5 90  0  0
 6  0      0 390805888      0 408500    0    0     0     8 45173 235073  5  5 90  0  0
 7  0      0 390808512      0 408528    0    0     0     0 45845 233713  5  5 90  0  0
 7  0      0 390813504      0 409124    0    0     0     4 44680 228573  5  5 90  0  0
 6  0      0 390813568      0 409160    0    0     0    40 48870 235779  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390812704      0 409228    0    0     0     4 49850 231441  5  5 90  0  0
 2  0      0 390814208      0 409260    0    0     0     0 50962 228909  5  5 90  0  0
 6  0      0 390813664      0 409300    0    0     0    12 48221 229656  5  5 90  0  0
 5  0      0 390814240      0 409336    0    0     0     0 44668 241942  5  5 90  0  0
 7  0      0 390816256      0 409368    0    0     0    80 46152 236794  5  5 90  0  0
 5  0      0 390817536      0 409404    0    0     0    56 48912 228043  5  5 90  0  0
 8  0      0 390816192      0 409440    0    0     0     8 47356 232408  5  5 90  0  0
 6  0      0 390816768      0 409472    0    0     0     0 45577 233409  5  5 90  0  0
 8  0      0 390816704      0 409576    0    0     0    12 39375 231362  5  5 90  0  0
 7  0      0 390822368      0 409548    0    0     0     0 44064 234891  5  5 90  0  0
 5  0      0 390820864      0 409612    0    0     0     4 48647 230612  5  5 90  0  0
 5  0      0 390823744      0 409644    0    0     0    40 47450 228878  5  5 90  0  0
 7  0      0 390822656      0 409684    0    0     0     4 46330 232127  5  5 90  0  0
 6  0      0 390823488      0 409716    0    0     0    88 46985 232804  5  5 90  0  0
 6  0      0 390822400      0 409748    0    0     0     0 43941 236114  5  5 90  0  0
 7  0      0 390820512      0 409788    0    0     0   840 46375 233390  5  5 90  0  0
 6  0      0 390819808      0 409824    0    0     0     8 46231 239999  5  5 90  0  0
 7  0      0 390818432      0 409884    0    0     0    40 47457 238282  5  5 90  0  0
 6  0      0 390817568      0 409860    0    0     0     4 45763 226396  5  5 90  0  0
 7  0      0 390822816      0 409964    0    0     0    56 44280 233877  5  5 90  0  0
 7  0      0 390821952      0 410024    0    0     0    32 41377 228602  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0      0 390821792      0 410064    0    0     0     0 44703 236294  5  5 90  0  0
 7  0      0 390821920      0 410092    0    0     0     4 48513 231725  5  5 90  0  0
 7  0      0 390821760      0 410160    0    0     0    44 47845 232134  5  5 90  0  0
 6  0      0 390820192      0 410188    0    0     0    76 48700 233824  5  5 90  0  0
 8  0      0 390822400      0 410228    0    0     0     0 47588 228197  5  5 90  0  0
 8  0      0 390821120      0 410260    0    0     0    12 47472 230554  5  5 90  0  0
 8  0      0 390820832      0 410296    0    0     0     4 47154 234221  5  5 90  0  0
 7  0      0 390820352      0 410408    0    0     0     4 40737 234538  5  5 90  0  0
 9  0      0 390822080      0 410440    0    0     0    40 45188 243894  5  5 90  0  0
 8  0      0 390824416      0 410376    0    0     0     4 47828 234688  5  5 90  0  0
 6  0      0 390821920      0 410412    0    0     0    12 46695 240294  5  5 90  0  0
 7  0      0 390819648      0 410416    0    0     0     0 50142 238308  5  5 90  0  0
 5  0      0 390816736      0 410448    0    0     0    80 49009 236049  5  5 90  0  0
 6  0      0 390813472      0 410484    0    0     0     4 47387 238757  5  5 90  0  0
 8  0      0 390814560      0 410520    0    0     0    44 46197 244811  5  5 90  0  0
 7  0      0 390812544      0 410552    0    0     0    16 47761 242036  5  5 90  0  0
 4  0      0 390810528      0 410560    0    0     0    12 46853 226932  5  5 90  0  0
 8  0      0 390809152      0 410656    0    0     0     0 44265 239396  5  5 90  0  0
 8  0      0 390807424      0 410688    0    0     0     0 42470 233011  5  5 90  0  0
 7  0      0 390809088      0 410720    0    0     0     4 45861 242030  5  5 90  0  0
 7  0      0 390805888      0 410760    0    0     0    40 46916 230197  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390803936      0 410920    0    0     0     4 48360 227943  5  5 90  0  0
 6  0      0 390804192      0 410956    0    0     0     0 46412 237057  5  5 90  0  0
 7  0      0 390804224      0 410992    0    0     0    80 51469 229867  5  5 90  0  0
 7  0      0 390799680      0 411028    0    0     0     0 45656 237755  5  5 90  0  0
 8  0      0 390797824      0 411064    0    0     0   840 46703 233342  5  5 90  0  0
 7  0      0 390797152      0 411096    0    0     0    40 45052 235897  5  5 90  0  0
 7  0      0 390796608      0 411628    0    0     0     8 48414 238567  5  5 90  0  0
 0  0      0 390778368      0 412064    0    0   112    28 22478 103933  3  2 94  0  0
 0  0      0 391098560      0 411944    0    0    32    24  465  515  0  0 100  0  0
 0  0      0 391101504      0 411952    0    0     0     0  275  400  0  0 100  0  0
 0  0      0 391101504      0 411956    0    0     0     4  186  237  0  0 100  0  0
 0  0      0 391101920      0 411968    0    0     0   552  216  257  0  0 100  0  0
 0  0      0 391102176      0 411972    0    0     0     8  229  269  0  0 100  0  0
 0  0      0 391102912      0 411980    0    0     0    12  278  364  0  0 100  0  0
 0  0      0 391102912      0 411984    0    0     0     0  205  236  0  0 100  0  0
 0  0      0 391102912      0 411996    0    0     0     0  216  298  0  0 100  0  0
 0  0      0 391102240      0 412004    0    0     0     4  480  448  0  0 100  0  0
 0  0      0 391102720      0 412008    0    0     0    44  254  368  0  0 100  0  0
 0  0      0 391103136      0 412020    0    0     0     0  197  240  0  0 100  0  0
 0  0      0 391104160      0 412024    0    0     0     0  179  225  0  0 100  0  0
 0  0      0 391103936      0 412100    0    0     0    16  175  255  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0      0 391104128      0 412108    0    0     0     0  278  366  0  0 100  0  0
 0  0      0 391104128      0 412116    0    0     0    76  221  248  0  0 100  0  0
 0  0      0 391104128      0 412120    0    0     0    44  227  257  0  0 100  0  0
 0  0      0 391104128      0 412132    0    0     0     0  186  240  0  0 100  0  0
 0  0      0 391104320      0 412144    0    0     0    12  268  366  0  0 100  0  0
 0  0      0 391104064      0 412216    0    0     0    12  336  296  0  0 100  0  0
 0  0      0 391104064      0 412224    0    0     0     0  166  224  0  0 100  0  0
 0  0      0 391104832      0 412232    0    0     0     8  185  238  0  0 100  0  0
 0  0      0 391105504      0 412240    0    0     0    48  283  388  0  0 100  0  0
 0  0      0 391105504      0 412244    0    0     0     0  163  223  0  0 100  0  0
 0  0      0 391105344      0 412256    0    0     0    88  202  261  0  0 100  0  0
 0  0      0 391105344      0 412264    0    0     0     0  162  226  0  0 100  0  0
 0  0      0 391105344      0 412268    0    0     0     0  240  350  0  0 100  0  0
 0  0      0 391105824      0 412280    0    0     0     4  166  248  0  0 100  0  0
 0  0      0 391106336      0 412284    0    0     0   132  176  236  0  0 100  0  0
 0  0      0 391106336      0 412292    0    0     0     0  475  418  0  0 100  0  0
 0  0      0 391106368      0 412300    0    0     0   180  306  430  0  0 100  0  0
 2  0      0 391080192      0 412308    0    0     0     8  584 1008  0  0 100  0  0
 3  0      0 391024128      0 412824    0    0   600     4 3676 4866  4  0 96  0  0
 2  0      0 390998976      0 413164    0    0   128   452 3176 3116  3  0 97  0  0
 0  0      0 390977088      0 413108    0    0     0    48  909  686  1  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 9  0      0 390957920      0 413284    0    0     0    76 22442 101350  5  2 93  0  0
 8  0      0 390955264      0 413316    0    0     0     0 58477 222404  7  5 88  0  0
 6  0      0 390951936      0 413328    0    0     0     8 53957 228941  7  5 88  0  0
 9  0      0 390947904      0 413352    0    0     0     0 46682 241457  6  5 89  0  0
 4  0      0 390943616      0 413448    0    0     0     4 45138 244981  6  5 90  0  0
 6  0      0 390940224      0 413428    0    0     0    48 43191 246288  5  5 90  0  0
 7  0      0 390934880      0 413460    0    0     0     4 45933 237694  6  5 90  0  0
 4  0      0 390932768      0 413492    0    0     0     0 47303 243529  5  5 90  0  0
 7  0      0 390932928      0 413468    0    0     4    12 48953 238933  5  5 90  0  0
 8  0      0 390931040      0 413528    0    0     0    76 47809 238031  5  5 90  0  0
 7  0      0 390933056      0 413660    0    0     0     4 48343 236312  5  5 90  0  0
 7  0      0 390932768      0 413696    0    0     0    44 49735 225811  5  5 90  0  0
 6  0      0 390932448      0 413728    0    0     0     0 52309 224442  5  5 90  0  0
 8  0      0 390930336      0 413760    0    0     0    24 47171 227199  5  5 90  0  0
 7  0      0 390928544      0 413864    0    0     0     0 46586 233657  5  5 90  0  0
 7  0      0 390928000      0 413900    0    0     0     0 49753 233825  5  5 90  0  0
 7  0      0 390926976      0 413932    0    0     0     4 48533 232734  5  5 90  0  0
 7  0      0 390925536      0 413964    0    0     0    48 47006 232942  5  5 90  0  0
 8  0      0 390923488      0 414096    0    0     0     0 46853 225173  5  5 90  0  0
 7  0      0 390924064      0 414128    0    0     0     0 49531 229880  5  5 90  0  0
 7  0      0 390925888      0 414160    0    0     0    84 47117 227825  5  5 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 7  0      0 390925184      0 414196    0    0     0     0 46069 233128  5  5 90  0  0
 6  0      0 390922720      0 414232    0    0     0     4 44303 231805  5  5 90  0  0
 7  0      0 390924224      0 414264    0    0     0    44 44848 232382  5  5 90  0  0
 5  0      0 390922368      0 414300    0    0     0     0 45355 225909  5  5 90  0  0
 8  0      0 390921504      0 414232    0    0     0     0 50457 224757  5  5 90  0  0
 7  0      0 390917664      0 414268    0    0     0    80 46268 235308  5  5 90  0  0
 6  0      0 390915616      0 414304    0    0     0    60 48952 229770  5  5 90  0  0
 8  0      0 390913696      0 414336    0    0     0     4 41906 229408  5  5 90  0  0
 6  0      0 390911616      0 414364    0    0     4  1488 48859 227376  5  5 90  0  0
 6  0      0 390909376      0 414404    0    0     0     0 46302 240623  5  5 90  0  0
 6  0      0 390911232      0 414940    0    0     0     0 49127 240082  5  5 90  0  0
 8  0      0 390910400      0 414972    0    0     0    12 44050 237033  5  5 90  0  0
 8  0      0 390908992      0 415004    0    0     0     0 45492 237422  5  5 90  0  0
 5  0      0 390905184      0 415112    0    0     0   108 47806 232565  5  5 90  0  0
 5  0      0 390902560      0 415244    0    0     0    48 46654 236215  5  5 90  0  0
 0  0      0 390890944      0 415340    0    0    44     0 20248 93591  3  2 95  0  0
 0  0      0 391015648      0 415056    0    0     0    12  910 1004  0  0 100  0  0
 0  0      0 391016416      0 415064    0    0     0     0  558  512  0  0 100  0  0
