Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/05/2026 	_x86_64_	(64 CPU)

08:29:09 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:29:10 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:29:11 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:29:12 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:29:13 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:29:14 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:29:15 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:29:16 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:29:17 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:29:18 AM  1000   1905492  214.00  110.00    0.00    0.00  324.00     1  quarkus3-runner
08:29:19 AM  1000   1905492  235.00  124.00    0.00    0.00  359.00     1  quarkus3-runner
08:29:20 AM  1000   1905492  242.00  134.00    0.00    0.00  376.00     1  quarkus3-runner
08:29:21 AM  1000   1905492  245.00  133.00    0.00    0.00  378.00     1  quarkus3-runner
08:29:22 AM  1000   1905492  238.00  131.00    0.00    0.00  369.00     1  quarkus3-runner
08:29:23 AM  1000   1905492  247.00  131.00    0.00    0.00  378.00     1  quarkus3-runner
08:29:24 AM  1000   1905492  243.00  126.00    0.00    0.00  369.00     1  quarkus3-runner
08:29:25 AM  1000   1905492  243.00  127.00    0.00    0.00  370.00     1  quarkus3-runner
08:29:26 AM  1000   1905492  247.00  129.00    0.00    0.00  376.00     1  quarkus3-runner
08:29:27 AM  1000   1905492  247.00  129.00    0.00    0.00  376.00     1  quarkus3-runner
08:29:28 AM  1000   1905492  242.00  127.00    0.00    0.00  369.00     1  quarkus3-runner
08:29:29 AM  1000   1905492  244.00  129.00    0.00    0.00  373.00     1  quarkus3-runner
08:29:30 AM  1000   1905492  238.00  132.00    0.00    0.00  370.00     1  quarkus3-runner
08:29:31 AM  1000   1905492  245.00  127.00    0.00    0.00  372.00     1  quarkus3-runner
08:29:32 AM  1000   1905492  238.00  128.00    0.00    0.00  366.00     1  quarkus3-runner
08:29:33 AM  1000   1905492  246.00  125.00    0.00    0.00  371.00     1  quarkus3-runner
08:29:34 AM  1000   1905492  235.00  130.00    0.00    0.00  365.00     1  quarkus3-runner
08:29:35 AM  1000   1905492  246.00  123.00    0.00    0.00  369.00     1  quarkus3-runner
08:29:36 AM  1000   1905492  235.00  126.00    0.00    0.00  361.00     1  quarkus3-runner
08:29:37 AM  1000   1905492  239.00  126.00    0.00    0.00  365.00     1  quarkus3-runner
08:29:38 AM  1000   1905492  239.00  123.00    0.00    0.00  362.00     1  quarkus3-runner
08:29:39 AM  1000   1905492  238.00  131.00    0.00    0.00  369.00     1  quarkus3-runner
08:29:40 AM  1000   1905492  244.00  121.00    0.00    0.00  365.00     1  quarkus3-runner
08:29:41 AM  1000   1905492  238.00  125.00    0.00    0.00  363.00     1  quarkus3-runner
08:29:42 AM  1000   1905492  236.00  127.00    0.00    0.00  363.00     1  quarkus3-runner
08:29:43 AM  1000   1905492  236.00  132.00    0.00    0.00  368.00     1  quarkus3-runner
08:29:44 AM  1000   1905492  239.00  126.00    0.00    0.00  365.00     1  quarkus3-runner
08:29:45 AM  1000   1905492  236.00  128.00    0.00    0.00  364.00     1  quarkus3-runner
08:29:46 AM  1000   1905492  246.00  124.00    0.00    0.00  370.00     1  quarkus3-runner
08:29:47 AM  1000   1905492  240.00  124.00    0.00    0.00  364.00     1  quarkus3-runner
08:29:48 AM  1000   1905492  242.00  123.00    0.00    0.00  365.00     1  quarkus3-runner
08:29:49 AM  1000   1905492  243.00  128.00    0.00    0.00  371.00     1  quarkus3-runner
08:29:50 AM  1000   1905492  241.00  123.00    0.00    0.00  364.00     1  quarkus3-runner
08:29:51 AM  1000   1905492  240.00  124.00    0.00    0.00  364.00     1  quarkus3-runner
08:29:52 AM  1000   1905492  239.00  126.00    0.00    0.00  365.00     1  quarkus3-runner
08:29:53 AM  1000   1905492  245.00  126.00    0.00    0.00  371.00     1  quarkus3-runner
08:29:54 AM  1000   1905492  241.00  124.00    0.00    0.00  365.00     1  quarkus3-runner
08:29:55 AM  1000   1905492  239.00  127.00    0.00    0.00  366.00     1  quarkus3-runner
08:29:56 AM  1000   1905492  240.00  124.00    0.00    0.00  364.00     1  quarkus3-runner
08:29:57 AM  1000   1905492  239.00  127.00    0.00    0.00  366.00     1  quarkus3-runner
08:29:58 AM  1000   1905492  240.00  123.00    0.00    0.00  363.00     1  quarkus3-runner
08:29:59 AM  1000   1905492  247.00  123.00    0.00    0.00  370.00     1  quarkus3-runner
08:30:00 AM  1000   1905492  236.00  127.00    0.00    0.00  363.00     1  quarkus3-runner
08:30:01 AM  1000   1905492  238.00  128.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:02 AM  1000   1905492  243.00  123.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:03 AM  1000   1905492  242.00  124.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:04 AM  1000   1905492  243.00  121.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:05 AM  1000   1905492  242.00  124.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:06 AM  1000   1905492  241.00  128.00    0.00    0.00  369.00     1  quarkus3-runner
08:30:07 AM  1000   1905492  241.00  126.00    0.00    0.00  367.00     1  quarkus3-runner
08:30:08 AM  1000   1905492  241.00  124.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:09 AM  1000   1905492  240.00  126.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:10 AM  1000   1905492  244.00  122.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:11 AM  1000   1905492  240.00  124.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:12 AM  1000   1905492  240.00  124.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:13 AM  1000   1905492  246.00  123.00    0.00    0.00  369.00     1  quarkus3-runner
08:30:14 AM  1000   1905492  241.00  126.00    0.00    0.00  367.00     1  quarkus3-runner
08:30:15 AM  1000   1905492  238.00  126.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:16 AM  1000   1905492  241.00  123.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:17 AM  1000   1905492  237.00  129.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:18 AM  1000   1905492  243.00  123.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:19 AM  1000   1905492  241.00  123.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:20 AM  1000   1905492  242.00  124.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:21 AM  1000   1905492  240.00  130.00    0.00    0.00  370.00     1  quarkus3-runner
08:30:22 AM  1000   1905492  239.00  127.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:23 AM  1000   1905492  239.00  124.00    0.00    0.00  363.00     1  quarkus3-runner
08:30:24 AM  1000   1905492  239.00  127.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:25 AM  1000   1905492  237.00  128.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:26 AM  1000   1905492  235.00  132.00    0.00    0.00  367.00     1  quarkus3-runner
08:30:27 AM  1000   1905492  244.00  122.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:28 AM  1000   1905492  243.00  127.00    0.00    0.00  370.00     1  quarkus3-runner
08:30:29 AM  1000   1905492  237.00  129.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:30 AM  1000   1905492  236.00  127.00    0.00    0.00  363.00     1  quarkus3-runner
08:30:31 AM  1000   1905492  240.00  126.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:32 AM  1000   1905492  240.00  125.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:33 AM  1000   1905492  237.00  127.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:34 AM  1000   1905492  237.00  129.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:35 AM  1000   1905492  241.00  125.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:36 AM  1000   1905492  241.00  125.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:37 AM  1000   1905492  234.00  128.00    0.00    0.00  362.00     1  quarkus3-runner
08:30:38 AM  1000   1905492  246.00  124.00    0.00    0.00  370.00     1  quarkus3-runner
08:30:39 AM  1000   1905492  239.00  127.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:40 AM  1000   1905492  237.00  127.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:41 AM  1000   1905492  243.00  122.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:42 AM  1000   1905492  238.00  128.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:43 AM  1000   1905492  237.00  128.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:44 AM  1000   1905492  241.00  124.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:45 AM  1000   1905492  245.00  124.00    0.00    0.00  369.00     1  quarkus3-runner
08:30:46 AM  1000   1905492  238.00  127.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:47 AM  1000   1905492  237.00  128.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:48 AM  1000   1905492  236.00  130.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:49 AM  1000   1905492  235.00  130.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:50 AM  1000   1905492  242.00  124.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:51 AM  1000   1905492  236.00  127.00    0.00    0.00  363.00     1  quarkus3-runner
08:30:52 AM  1000   1905492  237.00  129.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:53 AM  1000   1905492  241.00  124.00    0.00    0.00  365.00     1  quarkus3-runner
08:30:54 AM  1000   1905492  243.00  124.00    0.00    0.00  367.00     1  quarkus3-runner
08:30:55 AM  1000   1905492  240.00  124.00    0.00    0.00  364.00     1  quarkus3-runner
08:30:56 AM  1000   1905492  243.00  123.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:57 AM  1000   1905492  240.00  126.00    0.00    0.00  366.00     1  quarkus3-runner
08:30:58 AM  1000   1905492  237.00  133.00    0.00    0.00  370.00     1  quarkus3-runner
08:30:59 AM  1000   1905492  241.00  126.00    0.00    0.00  367.00     1  quarkus3-runner
08:31:00 AM  1000   1905492  243.00  123.00    0.00    0.00  366.00     1  quarkus3-runner
08:31:01 AM  1000   1905492  242.00  124.00    0.00    0.00  366.00     1  quarkus3-runner
08:31:02 AM  1000   1905492  233.00  130.00    0.00    0.00  363.00     1  quarkus3-runner
08:31:03 AM  1000   1905492  239.00  127.00    0.00    0.00  366.00     1  quarkus3-runner
08:31:04 AM  1000   1905492  236.00  128.00    0.00    0.00  364.00     1  quarkus3-runner
08:31:05 AM  1000   1905492  244.00  123.00    0.00    0.00  367.00     1  quarkus3-runner
08:31:06 AM  1000   1905492  241.00  125.00    0.00    0.00  366.00     1  quarkus3-runner
08:31:07 AM  1000   1905492  237.00  123.00    0.00    0.00  360.00     1  quarkus3-runner
08:31:08 AM  1000   1905492  235.00  129.00    0.00    0.00  364.00     1  quarkus3-runner
08:31:09 AM  1000   1905492  240.00  124.00    0.00    0.00  364.00     1  quarkus3-runner
08:31:10 AM  1000   1905492  240.00  127.00    0.00    0.00  367.00     1  quarkus3-runner
08:31:11 AM  1000   1905492  239.00  129.00    0.00    0.00  368.00     1  quarkus3-runner
08:31:12 AM  1000   1905492  237.00  128.00    0.00    0.00  365.00     1  quarkus3-runner
08:31:13 AM  1000   1905492  236.00  128.00    0.00    0.00  364.00     1  quarkus3-runner
08:31:14 AM  1000   1905492  239.00  125.00    0.00    0.00  364.00     1  quarkus3-runner
08:31:15 AM  1000   1905492  243.00  122.00    0.00    0.00  365.00     1  quarkus3-runner
08:31:16 AM  1000   1905492  241.00  124.00    0.00    0.00  365.00     1  quarkus3-runner
08:31:17 AM  1000   1905492  238.00  128.00    0.00    0.00  366.00     1  quarkus3-runner
08:31:18 AM  1000   1905492  239.00  125.00    0.00    0.00  364.00     1  quarkus3-runner
08:31:19 AM  1000   1905492  237.00  129.00    0.00    0.00  366.00     1  quarkus3-runner
08:31:20 AM  1000   1905492  237.00  126.00    0.00    0.00  363.00     1  quarkus3-runner
08:31:21 AM  1000   1905492  240.00  125.00    0.00    0.00  365.00     1  quarkus3-runner
08:31:22 AM  1000   1905492  236.00  126.00    0.00    0.00  362.00     1  quarkus3-runner
08:31:23 AM  1000   1905492  246.00  126.00    0.00    0.00  372.00     1  quarkus3-runner
08:31:24 AM  1000   1905492   19.00   12.00    0.00    0.00   31.00     1  quarkus3-runner
08:31:25 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:26 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:27 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:28 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:29 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:30 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:31 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:32 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:33 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:34 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:35 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:36 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:37 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:38 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:39 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:40 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:41 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:42 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:43 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
08:31:44 AM  1000   1905492    0.00    0.00    0.00    0.00    0.00     1  quarkus3-runner
