Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/05/2026 	_x86_64_	(64 CPU)

10:50:34 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
10:50:35 AM  1000   2027530  263.00    4.00    0.00    0.00  267.00     2  java
10:50:36 AM  1000   2027530  304.00    5.00    0.00    0.00  309.00     2  java
10:50:37 AM  1000   2027530  237.00   14.00    0.00    0.00  251.00     2  java
10:50:38 AM  1000   2027530  220.00    4.00    0.00    0.00  224.00     2  java
10:50:39 AM  1000   2027530  126.00    1.00    0.00    0.00  127.00     2  java
10:50:40 AM  1000   2027530    0.00    0.00    0.00    0.00    0.00     2  java
10:50:41 AM  1000   2027530    0.00    0.00    0.00    0.00    0.00     2  java
10:50:42 AM  1000   2027530    0.00    0.00    0.00    0.00    0.00     2  java
10:50:43 AM  1000   2027530  317.00   17.00    0.00    0.00  334.00     2  java
10:50:44 AM  1000   2027530  382.00   12.00    0.00    0.00  394.00     2  java
10:50:45 AM  1000   2027530  376.00   18.00    0.00    0.00  394.00     2  java
10:50:46 AM  1000   2027530  378.00   15.00    0.00    0.00  393.00     2  java
10:50:47 AM  1000   2027530  376.00   18.00    0.00    0.00  394.00     2  java
10:50:48 AM  1000   2027530  380.00   13.00    0.00    0.00  393.00     2  java
10:50:49 AM  1000   2027530  372.00   18.00    0.00    0.00  390.00     2  java
10:50:50 AM  1000   2027530  376.00   17.00    0.00    0.00  393.00     2  java
10:50:51 AM  1000   2027530  376.00   18.00    0.00    0.00  394.00     2  java
10:50:52 AM  1000   2027530  375.00   18.00    0.00    0.00  393.00     2  java
10:50:53 AM  1000   2027530  374.00   19.00    0.00    0.00  393.00     2  java
10:50:54 AM  1000   2027530  374.00   17.00    0.00    0.00  391.00     2  java
10:50:55 AM  1000   2027530  371.00   22.00    0.00    0.00  393.00     2  java
10:50:56 AM  1000   2027530  369.00   24.00    0.00    0.00  393.00     2  java
10:50:57 AM  1000   2027530  373.00   20.00    0.00    0.00  393.00     2  java
10:50:58 AM  1000   2027530  372.00   21.00    0.00    0.00  393.00     2  java
10:50:59 AM  1000   2027530  373.00   19.00    0.00    0.00  392.00     2  java
10:51:00 AM  1000   2027530  366.00   27.00    0.00    0.00  393.00     2  java
10:51:01 AM  1000   2027530  371.00   22.00    0.00    0.00  393.00     2  java
10:51:02 AM  1000   2027530  366.00   26.00    0.00    0.00  392.00     2  java
10:51:03 AM  1000   2027530  367.00   25.00    0.00    0.00  392.00     2  java
10:51:04 AM  1000   2027530  367.00   26.00    0.00    0.00  393.00     2  java
10:51:05 AM  1000   2027530  366.00   26.00    0.00    0.00  392.00     2  java
10:51:06 AM  1000   2027530  367.00   26.00    0.00    0.00  393.00     2  java
10:51:07 AM  1000   2027530  367.00   25.00    0.00    0.00  392.00     2  java
10:51:08 AM  1000   2027530  363.00   29.00    0.00    0.00  392.00     2  java
10:51:09 AM  1000   2027530  363.00   29.00    0.00    0.00  392.00     2  java
10:51:10 AM  1000   2027530  367.00   26.00    0.00    0.00  393.00     2  java
10:51:11 AM  1000   2027530  365.00   27.00    0.00    0.00  392.00     2  java
10:51:12 AM  1000   2027530  364.00   27.00    0.00    0.00  391.00     2  java
10:51:13 AM  1000   2027530  365.00   26.00    0.00    0.00  391.00     2  java
10:51:14 AM  1000   2027530  363.00   29.00    0.00    0.00  392.00     2  java
10:51:15 AM  1000   2027530  364.00   28.00    0.00    0.00  392.00     2  java
10:51:16 AM  1000   2027530  361.00   31.00    0.00    0.00  392.00     2  java
10:51:17 AM  1000   2027530  362.00   30.00    0.00    0.00  392.00     2  java
10:51:18 AM  1000   2027530  363.00   29.00    0.00    0.00  392.00     2  java
10:51:19 AM  1000   2027530  362.00   29.00    0.00    0.00  391.00     2  java
10:51:20 AM  1000   2027530  361.00   31.00    0.00    0.00  392.00     2  java
10:51:21 AM  1000   2027530  357.00   34.00    0.00    0.00  391.00     2  java
10:51:22 AM  1000   2027530  356.00   36.00    0.00    0.00  392.00     2  java
10:51:23 AM  1000   2027530  359.00   32.00    0.00    0.00  391.00     2  java
10:51:24 AM  1000   2027530  358.00   32.00    0.00    0.00  390.00     2  java
10:51:25 AM  1000   2027530  357.00   34.00    0.00    0.00  391.00     2  java
10:51:26 AM  1000   2027530  358.00   34.00    0.00    0.00  392.00     2  java
10:51:27 AM  1000   2027530  356.00   35.00    0.00    0.00  391.00     2  java
10:51:28 AM  1000   2027530  356.00   35.00    0.00    0.00  391.00     2  java
10:51:29 AM  1000   2027530  357.00   34.00    0.00    0.00  391.00     2  java
10:51:30 AM  1000   2027530  353.00   38.00    0.00    0.00  391.00     2  java
10:51:31 AM  1000   2027530  357.00   33.00    0.00    0.00  390.00     2  java
10:51:32 AM  1000   2027530  355.00   35.00    0.00    0.00  390.00     2  java
10:51:33 AM  1000   2027530  352.00   39.00    0.00    0.00  391.00     2  java
10:51:34 AM  1000   2027530  356.00   35.00    0.00    0.00  391.00     2  java
10:51:35 AM  1000   2027530  350.00   40.00    0.00    0.00  390.00     2  java
10:51:36 AM  1000   2027530  353.00   38.00    0.00    0.00  391.00     2  java
10:51:37 AM  1000   2027530  349.00   42.00    0.00    0.00  391.00     2  java
10:51:38 AM  1000   2027530  352.00   38.00    0.00    0.00  390.00     2  java
10:51:39 AM  1000   2027530  349.00   41.00    0.00    0.00  390.00     2  java
10:51:40 AM  1000   2027530  347.00   44.00    0.00    0.00  391.00     2  java
10:51:41 AM  1000   2027530  351.00   39.00    0.00    0.00  390.00     2  java
10:51:42 AM  1000   2027530  347.00   44.00    0.00    0.00  391.00     2  java
10:51:43 AM  1000   2027530  350.00   40.00    0.00    0.00  390.00     2  java
10:51:44 AM  1000   2027530  347.00   42.00    0.00    0.00  389.00     2  java
10:51:45 AM  1000   2027530  350.00   40.00    0.00    0.00  390.00     2  java
10:51:46 AM  1000   2027530  343.00   47.00    0.00    0.00  390.00     2  java
10:51:47 AM  1000   2027530  347.00   43.00    0.00    0.00  390.00     2  java
10:51:48 AM  1000   2027530  346.00   43.00    0.00    0.00  389.00     2  java
10:51:49 AM  1000   2027530  344.00   45.00    0.00    0.00  389.00     2  java
10:51:50 AM  1000   2027530  344.00   46.00    0.00    0.00  390.00     2  java
10:51:51 AM  1000   2027530  348.00   41.00    0.00    0.00  389.00     2  java
10:51:52 AM  1000   2027530  344.00   46.00    0.00    0.00  390.00     2  java
