procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 391284416      0 320040    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 391232256      0 365680    0    0 45948     0 3676 3721  0  0 99  0  0
 1  0      0 391210848      0 365856    0    0    56   952 6826 4141  0  1 99  0  0
 3  0      0 391185792      0 367812    0    0  1996     8 6604 4774  2  0 98  0  0
 2  0      0 391230400      0 383468    0    0 17768     4 5090 6813  3  0 96  0  0
 3  0      0 391171200      0 393268    0    0 10420    80 4150 4081  3  0 97  0  0
 0  0      0 391166176      0 394068    0    0   412    32  691  652  0  0 100  0  0
 7  0      0 391028224      0 396828    0    0  2868   524 10522 22427  4  1 95  0  0
26  0      0 390921728      0 397912    0    0   584     0 8622 18077  6  1 93  0  0
16  0      0 390854240      0 398084    0    0     0     4 8312 20073  6  1 93  0  0
32  0      0 390789568      0 398100    0    0     8    36 8616 20765  7  1 92  0  0
34  0      0 390752544      0 398116    0    0     8    44 7870 19992  7  1 92  0  0
25  0      0 390715232      0 398180    0    0    60     4 8016 22189  7  1 92  0  0
25  0      0 390676864      0 398196    0    0     4     0 8171 25201  6  1 93  0  0
17  0      0 390676608      0 398200    0    0     0     8 8028 28465  6  1 93  0  0
27  0      0 390670912      0 398208    0    0    32   188 8541 31805  6  1 93  0  0
24  0      0 390664864      0 398216    0    0     0     4 8430 33882  6  1 93  0  0
19  0      0 390652000      0 398220    0    0     0    40 8841 36000  6  1 93  0  0
25  0      0 390638144      0 398232    0    0     0     4 10905 42769  6  1 93  0  0
25  0      0 390638176      0 398368    0    0     0     0 12937 48111  6  1 93  0  0
32  0      0 390636160      0 398376    0    0     0     8 13673 53164  6  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0      0 390629888      0 398380    0    0     0     0 15192 63175  5  2 93  0  0
19  0      0 390627168      0 398388    0    0     0     4 21038 78936  5  2 92  0  0
28  0      0 390618656      0 398392    0    0     0    40 23168 94698  5  3 92  0  0
19  0      0 390618432      0 398400    0    0     0     4 26190 104675  5  3 92  0  0
30  0      0 390617280      0 398408    0    0     0     4 25818 103480  5  3 92  0  0
24  0      0 390606496      0 398416    0    0     0     0 25962 104166  5  3 92  0  0
21  0      0 390604832      0 398424    0    0     0     0 24940 105378  5  3 92  0  0
11  0      0 390603328      0 398428    0    0     4    36 25439 107784  5  3 92  0  0
28  0      0 390586016      0 398508    0    0     4   748 24624 105502  5  3 92  0  0
25  0      0 390578304      0 398512    0    0     0     4 28290 115269  5  4 92  0  0
21  0      0 390579296      0 398520    0    0     0     4 30454 121062  5  4 91  0  0
20  0      0 390579904      0 398528    0    0    16     8 30716 124895  5  4 92  0  0
30  0      0 390580768      0 398532    0    0     0     0 29549 122133  4  4 92  0  0
17  0      0 390581760      0 398540    0    0     0     4 30886 125787  4  4 92  0  0
31  0      0 390581600      0 398540    0    0     0    40 29861 123739  5  4 92  0  0
25  0      0 390581152      0 398540    0    0     0   392 30907 125696  4  4 91  0  0
23  0      0 390579744      0 398540    0    0     0   336 29433 130810  4  4 91  0  0
24  0      0 390565440      0 398540    0    0     0   312 31687 140616  4  4 91  0  0
24  0      0 390564672      0 398576    0    0     0     0 31906 139379  4  5 91  0  0
24  0      0 390569504      0 398576    0    0     0     4 31815 137113  4  4 91  0  0
21  0      0 390567648      0 398576    0    0     0    48 50310 182750  4  5 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31  0      0 390566688      0 398576    0    0     0     4 38465 159314  4  5 91  0  0
21  0      0 390564544      0 398576    0    0     0     0 38391 160633  4  5 91  0  0
36  0      0 390563776      0 398472    0    0     0     8 40731 162914  4  5 91  0  0
33  0      0 390562304      0 398480    0    0     0     0 40501 160994  4  5 91  0  0
23  0      0 390565216      0 398484    0    0     0     4 43937 166926  4  6 91  0  0
33  0      0 390565184      0 398492    0    0     0    40 40850 167080  4  6 91  0  0
18  0      0 390566080      0 398504    0    0     0     8 41366 166878  4  6 91  0  0
24  0      0 390568384      0 398576    0    0     0     4 41383 168979  4  6 91  0  0
14  0      0 390568960      0 398584    0    0     0     0 38131 171523  4  6 91  0  0
19  0      0 390567584      0 398592    0    0     0     0 34255 173989  4  5 91  0  0
31  0      0 390566272      0 398600    0    0     0     8 32240 174597  4  6 91  0  0
15  0      0 390565376      0 398604    0    0     0    40 32348 170690  4  5 91  0  0
32  0      0 390567200      0 398612    0    0     0     4 31154 174422  4  5 91  0  0
31  0      0 390565632      0 398620    0    0     0     0 31421 176047  4  6 91  0  0
25  0      0 390567200      0 398624    0    0     0     8 33108 178314  4  6 91  0  0
43  0      0 390565792      0 398632    0    0     0     0 33644 185905  3  6 90  0  0
22  0      0 390568704      0 398636    0    0     0     4 34590 183663  3  6 90  0  0
39  0      0 390575200      0 399168    0    0     0    60 35550 184866  4  6 90  0  0
45  0      0 390576224      0 399172    0    0     0     4 34443 184906  3  6 90  0  0
44  0      0 390579936      0 399180    0    0     0     0 32937 180992  4  6 90  0  0
26  0      0 390577056      0 399184    0    0     0     8 32327 178604  3  6 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
48  0      0 390575808      0 399192    0    0     0     0 33741 182791  3  6 90  0  0
44  0      0 390576896      0 399200    0    0     0     4 35057 186864  3  6 90  0  0
19  0      0 390575648      0 399364    0    0     0    40 35105 187184  3  6 90  0  0
41  0      0 390573952      0 399364    0    0     0    40 34478 183899  3  6 90  0  0
29  0      0 390573280      0 399364    0    0     0   168 35102 187250  3  6 90  0  0
36  0      0 390574336      0 399364    0    0     0     0 35141 187027  3  6 90  0  0
25  0      0 390575552      0 399432    0    0     0   696 35114 187563  4  6 90  0  0
49  0      0 390574816      0 399436    0    0    20     4 35995 186788  3  6 90  0  0
47  0      0 390574880      0 399436    0    0     0    44 34827 186847  3  6 90  0  0
26  0      0 390576736      0 399436    0    0     0     8 32747 181197  3  6 90  0  0
38  0      0 390576896      0 399436    0    0     0     4 34139 187568  3  6 90  0  0
33  0      0 390575904      0 399372    0    0     0     0 35466 187804  3  6 90  0  0
30  0      0 390576672      0 399372    0    0     0     0 35423 187838  3  6 90  0  0
36  0      0 390575712      0 399448    0    0     0     4 34970 186997  3  6 90  0  0
31  0      0 390576288      0 399456    0    0     0    40 35219 187347  3  6 90  0  0
46  0      0 390574400      0 399460    0    0     0     4 35348 187424  3  6 90  0  0
41  0      0 390576256      0 399484    0    0     0     0 35909 187910  3  6 90  0  0
36  0      0 390576832      0 399492    0    0     0     8 35345 189166  3  6 90  0  0
31  0      0 390576512      0 399496    0    0     0     0 35181 187791  3  6 90  0  0
36  0      0 390576160      0 399504    0    0     0     4 35368 187762  3  6 90  0  0
28  0      0 390577056      0 399512    0    0     0    40 35520 188297  3  6 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  0      0 390577664      0 399520    0    0     0     4 35301 187354  4  6 90  0  0
25  0      0 390578976      0 399524    0    0     0     0 33717 183153  3  6 90  0  0
29  0      0 390583136      0 399556    0    0     0     8 33978 185527  3  6 90  0  0
24  0      0 390583040      0 399556    0    0     0     0 34359 187149  3  6 90  0  0
43  0      0 390584096      0 399556    0    0     0     4 34320 183708  3  6 90  0  0
30  0      0 390583200      0 399628    0    0     0    56 35487 188244  3  6 90  0  0
48  0      0 390583456      0 399628    0    0     0    60 34695 186430  3  6 90  0  0
44  0      0 390583840      0 399628    0    0     0     8 33949 183888  3  6 90  0  0
41  0      0 390581696      0 399628    0    0     0     0 33604 182152  3  6 90  0  0
39  0      0 390578496      0 399628    0    0     0     0 34249 186425  3  6 90  0  0
48  0      0 390578688      0 399628    0    0     0     4 34226 185247  4  6 90  0  0
35  0      0 390579168      0 399628    0    0     0    40 34460 186111  3  6 90  0  0
27  0      0 390579040      0 399628    0    0     0    96 32946 180004  3  6 90  0  0
41  0      0 390579328      0 399700    0    0     0    24 34697 186955  3  6 90  0  0
25  0      0 390579776      0 399708    0    0     0     4 35715 188740  3  6 90  0  0
49  0      0 390580160      0 399720    0    0     0     0 35286 188528  3  6 90  0  0
47  0      0 390580576      0 399728    0    0     0    20 35225 187382  3  6 90  0  0
18  0      0 390580608      0 399732    0    0     0    40 34275 186937  3  6 90  0  0
24  0      0 390581312      0 399740    0    0     0     4 34275 183231  3  6 90  0  0
41  0      0 390580960      0 399748    0    0     0     0 35746 187668  3  6 90  0  0
50  0      0 390581056      0 399752    0    0     0     8 36392 188402  3  6 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
25  0      0 390580576      0 399760    0    0     0     0 35134 188627  3  6 90  0  0
31  0      0 390581120      0 399764    0    0     0     4 35423 188039  3  6 90  0  0
30  0      0 390587200      0 399840    0    0     0    44 47284 181547  3  7 90  0  0
33  0      0 390592448      0 399840    0    0     0     4 48047 179260  3  7 90  0  0
39  0      0 390594304      0 399908    0    0     0     0 38645 185495  3  6 90  0  0
37  0      0 390594432      0 399908    0    0     0   292 35801 187216  3  6 90  0  0
28  0      0 390594112      0 399908    0    0     0     0 35790 187834  3  6 90  0  0
49  0      0 390594176      0 399908    0    0     0     4 35873 187709  3  6 90  0  0
22  0      0 390593152      0 399908    0    0     0    40 35504 188047  3  6 90  0  0
38  0      0 390594080      0 399908    0    0     0     4 35204 188161  3  6 90  0  0
27  0      0 390593632      0 399908    0    0     0     8 34304 187172  3  6 90  0  0
17  0      0 390592864      0 399908    0    0     0     0 35618 187896  4  6 90  0  0
20  0      0 390593376      0 399976    0    0     0     0 35022 187437  3  6 90  0  0
24  0      0 390592576      0 399984    0    0     0     4 34905 188280  4  6 90  0  0
32  0      0 390587456      0 400516    0    0     0    44 34145 182206  4  6 90  0  0
36  0      0 390582720      0 400520    0    0     0    20 34507 186858  3  6 90  0  0
39  0      0 390583296      0 400528    0    0     0     0 35607 187751  3  6 90  0  0
32  0      0 390581088      0 400532    0    0     0     4 36410 188143  3  6 90  0  0
42  0      0 390581408      0 400544    0    0     0     0 35380 188545  3  6 90  0  0
35  0      0 390581408      0 400548    0    0     0     4 35569 187611  3  6 90  0  0
40  0      0 390580768      0 400556    0    0     0    40 35052 186727  3  6 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
