procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 390707360      0 304460    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 390670080      0 349216    0    0 45484    24 3974 4012  0  0 100  0  0
 1  0      0 390673600      0 349284    0    0    52   992 6829 4047  0  1 99  0  0
 3  0      0 390639360      0 390348    0    0 41204    16 7401 5341  1  0 98  0  0
 1  0      0 390626880      0 407264    0    0 18360     4 5367 6898  3  0 96  0  0
 1  0      0 390554304      0 419116    0    0 13180    32 3969 4588  2  0 97  0  0
 0  0      0 390528896      0 421888    0    0  2424     4 1698 1392  1  0 99  0  0
 6  0      0 390349632      0 430900    0    0  9044   492 11386 40708  3  1 96  0  0
38  0      0 390283936      0 431656    0    0   372   308 27953 111682  6  4 90  0  0
33  0      0 390268736      0 431988    0    0   224     0 27423 122364  6  4 91  0  0
10  0      0 390271680      0 432068    0    0    68     0 27824 130804  5  4 91  0  0
37  0      0 390273760      0 432096    0    0    20    48 28057 131065  5  4 92  0  0
22  0      0 390278336      0 432160    0    0    60    76 27807 127412  4  4 92  0  0
41  0      0 390281568      0 432176    0    0    24   192 26909 126753  5  4 92  0  0
37  0      0 390283104      0 432180    0    0    36    24 27506 129917  5  4 92  0  0
25  0      0 390287040      0 432224    0    0     0     0 26531 128860  5  3 92  0  0
27  0      0 390288608      0 432304    0    0     0     4 27452 131743  5  4 92  0  0
21  0      0 390304384      0 432308    0    0     0    40 27273 127558  5  4 92  0  0
27  0      0 390304640      0 432320    0    0     0     4 28454 131004  5  4 92  0  0
34  0      0 390311680      0 432428    0    0   104    12 27167 128738  4  4 92  0  0
17  0      0 390315648      0 432436    0    0     0     8 28346 125909  4  4 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26  0      0 390320256      0 432440    0    0     0     0 27047 127025  5  4 92  0  0
34  0      0 390326400      0 432484    0    0    56    84 26068 125467  4  3 92  0  0
21  0      0 390328704      0 432508    0    0     0    40 26660 125476  4  3 92  0  0
10  0      0 390329024      0 432516    0    0     0    16 26559 127111  4  4 92  0  0
 1  0      0 390334944      0 432524    0    0     0     4 25697 124781  4  3 92  0  0
35  0      0 390340768      0 432600    0    0     0     0 25747 124192  4  3 92  0  0
23  0      0 390340576      0 432608    0    0     8    16 26372 127372  4  4 92  0  0
27  0      0 390348640      0 432612    0    0     0     4 25729 125272  4  3 92  0  0
31  0      0 390343488      0 432620    0    0     0    56 26416 125273  4  3 92  0  0
31  0      0 390344544      0 432664    0    0    40    76 26686 129003  5  4 92  0  0
29  0      0 390342400      0 432672    0    0     0     0 25741 125675  4  4 92  0  0
13  0      0 390350944      0 432680    0    0     0   384 27158 124736  4  3 92  0  0
12  0      0 390355328      0 432684    0    0     0     0 29729 125430  4  4 92  0  0
14  0      0 390360480      0 432696    0    0     0    12 29551 128559  4  4 92  0  0
14  0      0 390360384      0 432692    0    0     0    40 27306 124588  4  3 92  0  0
21  0      0 390361184      0 433792    0    0     0     4 26567 126702  4  4 92  0  0
27  0      0 390360992      0 435244    0    0     4     0 25076 129880  5  3 92  0  0
32  0      0 390357376      0 435252    0    0     0    12 23252 126066  4  3 92  0  0
31  0      0 390363264      0 435256    0    0     0     8 23536 126528  4  3 92  0  0
