procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 390457696      0 354036    0    0     1     1    0    0  0  0 100  0  0
 0  0      0 390405184      0 399788    0    0 46060     0 3732 3736  0  0 99  0  0
 1  0      0 390396992      0 399848    0    0    52   944 6645 4124  0  1 99  0  0
 3  0      0 390346432      0 440888    0    0 41156     8 7477 5333  1  0 98  0  0
 2  0      0 390282464      0 456724    0    0 17568    16 5344 6693  3  0 96  0  0
 1  0      0 390217472      0 469080    0    0 13716    32 4118 4981  2  0 97  0  0
 0  0      0 390196320      0 471492    0    0  2156     8 1385 1134  1  0 99  0  0
65  0      0 390141600      0 477756    0    0  5888   524 12760 307570  3  2 95  0  0
14  0      0 390139936      0 477884    0    0   132    12 26414 260530  6  3 90  0  0
50  0      0 390140448      0 477916    0    0     4     0 24807 539235  6  4 91  0  0
49  0      0 390139936      0 477992    0    0    68     4 24481 783018  4  4 92  0  0
24  0      0 390140032      0 478020    0    0   116    44 24020 654387  4  4 92  0  0
24  0      0 390138400      0 478184    0    0   136    12 21196 1318724  4  4 93  0  0
51  0      0 390144000      0 478276    0    0    48    16 22210 1103461  4  4 92  0  0
47  0      0 390145088      0 478536    0    0   212     0 22920 1006333  4  4 93  0  0
16  0      0 390148192      0 478544    0    0     0     0 22420 962734  4  4 92  0  0
55  0      0 390158560      0 478568    0    0    12     0 20796 976340  4  3 93  0  0
49  0      0 390160704      0 478640    0    0     0    44 20922 1503190  3  4 93  0  0
45  0      0 390169056      0 478652    0    0    16   192 21267 823726  4  3 93  0  0
40  0      0 390170848      0 478656    0    0     0     0 20682 1446921  3  4 93  0  0
44  0      0 390170656      0 478668    0    0     0    16 20061 1110488  4  4 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
