procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 390824352      0 310692    0    0     1     1    0    0  0  0 100  0  0
 2  0      0 390767744      0 370564    0    0 59412     0 8649 7174  5  0 95  1  0
 1  0      0 390644416      0 379832    0    0  9096     0 11028 6190  4  1 95  0  0
 3  0      0 390614464      0 384132    0    0  3904     8 7802 4466  3  0 96  0  0
 1  1      0 390546432      0 388740    0    0  5288    16 5384 4204  5  0 95  0  0
 1  0      0 390481952      0 404116    0    0 16468    32 4819 6639  3  0 97  0  0
 0  0      0 390418240      0 412940    0    0 10084     4 3920 4054  3  0 97  0  0
 1  0      0 390411680      0 413564    0    0   524  1156  818 1377  0  0 100  0  0
39  0      0 390347872      0 418124    0    0  1756    12 8060 17906  6  1 94  0  0
53  0      0 390347392      0 418152    0    0     4    12 10351 25896  6  1 93  0  0
41  0      0 390343360      0 418196    0    0    36     4 10708 25829  7  1 92  0  0
37  0      0 390339424      0 418204    0    0     8    44 10720 26059  7  1 92  0  0
51  0      0 390339424      0 418220    0    0     0     4 10243 26132  6  1 93  0  0
32  0      0 390324064      0 418284    0    0    56    16 9817 25761  6  1 93  0  0
39  0      0 390324064      0 418392    0    0    88     0 10404 35915  6  1 93  0  0
32  0      0 390324064      0 418400    0    0     0     0 11152 88515  6  1 93  0  0
50  0      0 390323296      0 418412    0    0     0     4 10744 28780  6  1 93  0  0
37  0      0 390323072      0 418416    0    0    32   228 10821 29160  6  1 93  0  0
54  0      0 390322816      0 418428    0    0     0    36 11419 29489  6  1 93  0  0
71  0      0 390322304      0 418432    0    0     0    36 11165 31261  6  1 93  0  0
49  0      0 390322592      0 418500    0    0     0    16 10984 29904  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
51  0      0 390322336      0 418500    0    0     0     0 10915 29917  6  1 93  0  0
45  0      0 390321856      0 418500    0    0     0     4 11010 30701  6  1 93  0  0
26  0      0 390321856      0 418500    0    0     0    40 10845 30083  6  1 93  0  0
62  0      0 390321856      0 418500    0    0     0     4 11359 31805  6  1 93  0  0
30  0      0 390321600      0 418500    0    0     0     0 11645 32510  6  1 93  0  0
61  0      0 390321344      0 418500    0    0     0    16 11602 33559  6  1 93  0  0
54  0      0 390321088      0 418500    0    0     0     0 11711 33411  6  1 93  0  0
46  0      0 390320832      0 418572    0    0    28    48 11961 33575  6  1 93  0  0
41  0      0 390319072      0 418572    0    0     4   712 12076 34858  6  1 93  0  0
38  0      0 390316032      0 418664    0    0     0     4 12228 35658  6  1 93  0  0
 6  0      0 390315776      0 418676    0    0     0    20 12258 36051  6  1 93  0  0
54  0      0 390313280      0 418684    0    0     0     0 12209 35327  6  1 93  0  0
44  0      0 390312512      0 418692    0    0     0     4 12329 35918  6  1 93  0  0
35  0      0 390307456      0 418700    0    0     0     4 12435 36148  6  1 93  0  0
 5  0      0 390307232      0 418708    0    0     0    40 12595 36433  6  1 93  0  0
39  0      0 390305216      0 418716    0    0     0     4 12154 35934  6  1 93  0  0
58  0      0 390305216      0 418724    0    0    12     0 12861 37907  6  1 93  0  0
60  0      0 390306208      0 418800    0    0    24   316 13032 38373  6  1 93  0  0
75  0      0 390306464      0 418808    0    0     4   100 12833 38058  6  1 93  0  0
16  0      0 390306464      0 418816    0    0     0     4 12068 37398  6  1 93  0  0
52  0      0 390308032      0 418828    0    0   260    44 12785 40561  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
51  0      0 390308256      0 418832    0    0     0     4 13686 40690  6  1 93  0  0
42  0      0 390308768      0 418848    0    0     0     0 13588 40607  6  1 93  0  0
46  0      0 390308768      0 418852    0    0     0    16 13803 41138  6  1 93  0  0
