Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/16/2026 	_x86_64_	(64 CPU)

09:43:50 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:43:51 AM  1000   2969812  292.00    5.00    0.00    0.00  297.00     0  java
09:43:52 AM  1000   2969812  275.00    6.00    0.00    0.00  281.00     0  java
09:43:53 AM  1000   2969812  206.00    7.00    0.00    0.00  213.00     0  java
09:43:54 AM  1000   2969812  212.00    6.00    0.00    0.00  218.00     0  java
09:43:55 AM  1000   2969812  173.00    1.00    0.00    0.00  174.00     0  java
09:43:56 AM  1000   2969812    0.00    0.00    0.00    0.00    0.00     0  java
09:43:57 AM  1000   2969812    0.00    0.00    0.00    0.00    0.00     0  java
09:43:58 AM  1000   2969812    0.00    0.00    0.00    0.00    0.00     0  java
09:43:59 AM  1000   2969812  275.00    9.00    0.00    0.00  284.00     0  java
09:44:00 AM  1000   2969812  380.00   12.00    0.00    0.00  392.00     0  java
09:44:01 AM  1000   2969812  370.00   22.00    0.00    0.00  392.00     0  java
09:44:02 AM  1000   2969812  365.00   24.00    0.00    0.00  389.00     0  java
09:44:03 AM  1000   2969812  356.00   32.00    0.00    0.00  388.00     0  java
09:44:04 AM  1000   2969812  361.00   27.00    0.00    0.00  388.00     0  java
09:44:05 AM  1000   2969812  349.00   32.00    0.00    0.00  381.00     0  java
09:44:06 AM  1000   2969812  351.00   34.00    0.00    0.00  385.00     0  java
09:44:07 AM  1000   2969812  358.00   29.00    0.00    0.00  387.00     0  java
09:44:08 AM  1000   2969812  358.00   29.00    0.00    0.00  387.00     0  java
09:44:09 AM  1000   2969812  347.00   36.00    0.00    0.00  383.00     0  java
09:44:10 AM  1000   2969812  351.00   34.00    0.00    0.00  385.00     0  java
09:44:11 AM  1000   2969812  337.00   45.00    0.00    0.00  382.00     0  java
09:44:12 AM  1000   2969812  336.00   46.00    0.00    0.00  382.00     0  java
09:44:13 AM  1000   2969812  343.00   40.00    0.00    0.00  383.00     0  java
09:44:14 AM  1000   2969812  337.00   45.00    0.00    0.00  382.00     0  java
09:44:15 AM  1000   2969812  331.00   49.00    0.00    0.00  380.00     0  java
09:44:16 AM  1000   2969812  298.00   73.00    0.00    0.00  371.00     0  java
09:44:17 AM  1000   2969812  273.00   92.00    0.00    0.00  365.00     0  java
09:44:18 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:44:19 AM  1000   2969812  265.00   99.00    0.00    0.00  364.00     0  java
09:44:20 AM  1000   2969812  270.00   94.00    0.00    0.00  364.00     0  java
09:44:21 AM  1000   2969812  266.00   98.00    0.00    0.00  364.00     0  java
09:44:22 AM  1000   2969812  271.00   94.00    0.00    0.00  365.00     0  java
09:44:23 AM  1000   2969812  267.00   99.00    0.00    0.00  366.00     0  java
09:44:24 AM  1000   2969812  268.00   96.00    0.00    0.00  364.00     0  java
09:44:25 AM  1000   2969812  266.00   99.00    0.00    0.00  365.00     0  java
09:44:26 AM  1000   2969812  268.00   96.00    0.00    0.00  364.00     0  java
09:44:27 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:44:28 AM  1000   2969812  266.00   98.00    0.00    0.00  364.00     0  java
09:44:29 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:44:30 AM  1000   2969812  265.00   98.00    0.00    0.00  363.00     0  java
09:44:31 AM  1000   2969812  265.00   98.00    0.00    0.00  363.00     0  java
09:44:32 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:44:33 AM  1000   2969812  266.00   98.00    0.00    0.00  364.00     0  java
09:44:34 AM  1000   2969812  276.00   91.00    0.00    0.00  367.00     0  java
09:44:35 AM  1000   2969812  263.00  101.00    0.00    0.00  364.00     0  java
09:44:36 AM  1000   2969812  264.00  101.00    0.00    0.00  365.00     0  java
09:44:37 AM  1000   2969812  264.00  100.00    0.00    0.00  364.00     0  java
09:44:38 AM  1000   2969812  267.00   96.00    0.00    0.00  363.00     0  java
09:44:39 AM  1000   2969812  245.00   97.00    0.00    0.00  342.00     0  java
09:44:40 AM  1000   2969812  262.00  102.00    0.00    0.00  364.00     0  java
09:44:41 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:44:42 AM  1000   2969812  270.00   94.00    0.00    0.00  364.00     0  java
09:44:43 AM  1000   2969812  265.00   99.00    0.00    0.00  364.00     0  java
09:44:44 AM  1000   2969812  263.00  100.00    0.00    0.00  363.00     0  java
09:44:45 AM  1000   2969812  270.00   95.00    0.00    0.00  365.00     0  java
09:44:46 AM  1000   2969812  264.00   99.00    0.00    0.00  363.00     0  java
09:44:47 AM  1000   2969812  271.00   91.00    0.00    0.00  362.00     0  java
09:44:48 AM  1000   2969812  266.00   97.00    0.00    0.00  363.00     0  java
09:44:49 AM  1000   2969812  264.00  100.00    0.00    0.00  364.00     0  java
09:44:50 AM  1000   2969812  263.00  101.00    0.00    0.00  364.00     0  java
09:44:51 AM  1000   2969812  261.00  102.00    0.00    0.00  363.00     0  java
09:44:52 AM  1000   2969812  261.00  102.00    0.00    0.00  363.00     0  java
09:44:53 AM  1000   2969812  256.00  104.00    0.00    0.00  360.00     0  java
09:44:54 AM  1000   2969812  260.00  103.00    0.00    0.00  363.00     0  java
09:44:55 AM  1000   2969812  266.00   98.00    0.00    0.00  364.00     0  java
09:44:56 AM  1000   2969812  255.00   97.00    0.00    0.00  352.00     0  java
09:44:57 AM  1000   2969812  261.00  102.00    0.00    0.00  363.00     0  java
09:44:58 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:44:59 AM  1000   2969812  268.00   96.00    0.00    0.00  364.00     0  java
09:45:00 AM  1000   2969812  271.00   94.00    0.00    0.00  365.00     0  java
09:45:01 AM  1000   2969812  269.00   94.00    0.00    0.00  363.00     0  java
09:45:02 AM  1000   2969812  264.00  101.00    0.00    0.00  365.00     0  java
09:45:03 AM  1000   2969812  267.00   96.00    0.00    0.00  363.00     0  java
09:45:04 AM  1000   2969812  263.00  100.00    0.00    0.00  363.00     0  java
09:45:05 AM  1000   2969812  262.00  101.00    0.00    0.00  363.00     0  java
09:45:06 AM  1000   2969812  261.00  101.00    0.00    0.00  362.00     0  java
09:45:07 AM  1000   2969812  264.00   98.00    0.00    0.00  362.00     0  java
09:45:08 AM  1000   2969812  263.00  100.00    0.00    0.00  363.00     0  java
09:45:09 AM  1000   2969812  263.00  102.00    0.00    0.00  365.00     0  java
09:45:10 AM  1000   2969812  261.00  103.00    0.00    0.00  364.00     0  java
09:45:11 AM  1000   2969812  264.00  100.00    0.00    0.00  364.00     0  java
09:45:12 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:45:13 AM  1000   2969812  267.00   95.00    0.00    0.00  362.00     0  java
09:45:14 AM  1000   2969812  264.00   99.00    0.00    0.00  363.00     0  java
09:45:15 AM  1000   2969812  264.00  101.00    0.00    0.00  365.00     0  java
09:45:16 AM  1000   2969812  268.00   96.00    0.00    0.00  364.00     0  java
09:45:17 AM  1000   2969812  263.00  101.00    0.00    0.00  364.00     0  java
09:45:18 AM  1000   2969812  264.00   98.00    0.00    0.00  362.00     0  java
09:45:19 AM  1000   2969812  264.00  100.00    0.00    0.00  364.00     0  java
09:45:20 AM  1000   2969812  260.00  103.00    0.00    0.00  363.00     0  java
09:45:21 AM  1000   2969812  264.00  101.00    0.00    0.00  365.00     0  java
09:45:22 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:45:23 AM  1000   2969812  267.00   96.00    0.00    0.00  363.00     0  java
09:45:24 AM  1000   2969812  270.00   96.00    0.00    0.00  366.00     0  java
09:45:25 AM  1000   2969812  266.00   97.00    0.00    0.00  363.00     0  java
09:45:26 AM  1000   2969812  269.00   95.00    0.00    0.00  364.00     0  java
09:45:27 AM  1000   2969812  267.00   97.00    0.00    0.00  364.00     0  java
09:45:28 AM  1000   2969812  265.00   99.00    0.00    0.00  364.00     0  java
09:45:29 AM  1000   2969812  269.00   95.00    0.00    0.00  364.00     0  java
09:45:30 AM  1000   2969812  266.00   98.00    0.00    0.00  364.00     0  java
09:45:31 AM  1000   2969812  261.00   95.00    0.00    0.00  356.00     0  java
09:45:32 AM  1000   2969812  268.00   94.00    0.00    0.00  362.00     0  java
09:45:33 AM  1000   2969812  263.00  101.00    0.00    0.00  364.00     0  java
09:45:34 AM  1000   2969812  262.00  101.00    0.00    0.00  363.00     0  java
09:45:35 AM  1000   2969812  269.00   95.00    0.00    0.00  364.00     0  java
09:45:36 AM  1000   2969812  264.00   99.00    0.00    0.00  363.00     0  java
09:45:37 AM  1000   2969812  277.00   89.00    0.00    0.00  366.00     0  java
09:45:38 AM  1000   2969812  277.00   89.00    0.00    0.00  366.00     0  java
09:45:39 AM  1000   2969812  267.00   96.00    0.00    0.00  363.00     0  java
