Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/16/2026 	_x86_64_	(64 CPU)

12:24:43 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
12:24:44 PM  1000   3177454  204.00    8.00    0.00    0.00  212.00     0  java
12:24:45 PM  1000   3177454   43.00    1.00    0.00    0.00   44.00     0  java
12:24:46 PM  1000   3177454    0.00    0.00    0.00    0.00    0.00     0  java
12:24:47 PM  1000   3177454    0.00    0.00    0.00    0.00    0.00     0  java
12:24:48 PM  1000   3177454    0.00    0.00    0.00    0.00    0.00     0  java
12:24:49 PM  1000   3177454    0.00    0.00    0.00    0.00    0.00     0  java
12:24:50 PM  1000   3177454    0.00    0.00    0.00    0.00    0.00     0  java
12:24:51 PM  1000   3177454   42.00    4.00    0.00    0.00   46.00     0  java
12:24:52 PM  1000   3177454  347.00   24.00    0.00    0.00  371.00     0  java
12:24:53 PM  1000   3177454  368.00   26.00    0.00    0.00  394.00     0  java
12:24:54 PM  1000   3177454  361.00   33.00    0.00    0.00  394.00     0  java
12:24:55 PM  1000   3177454  347.00   45.00    0.00    0.00  392.00     0  java
12:24:56 PM  1000   3177454  341.00   49.00    0.00    0.00  390.00     0  java
12:24:57 PM  1000   3177454  323.00   65.00    0.00    0.00  388.00     0  java
12:24:58 PM  1000   3177454  320.00   69.00    0.00    0.00  389.00     0  java
12:24:59 PM  1000   3177454  320.00   68.00    0.00    0.00  388.00     0  java
12:25:00 PM  1000   3177454  325.00   63.00    0.00    0.00  388.00     0  java
12:25:01 PM  1000   3177454  322.00   66.00    0.00    0.00  388.00     0  java
12:25:02 PM  1000   3177454  321.00   67.00    0.00    0.00  388.00     0  java
12:25:03 PM  1000   3177454  317.00   70.00    0.00    0.00  387.00     0  java
12:25:04 PM  1000   3177454  312.00   76.00    0.00    0.00  388.00     0  java
12:25:05 PM  1000   3177454  310.00   77.00    0.00    0.00  387.00     0  java
12:25:06 PM  1000   3177454  308.00   77.00    0.00    0.00  385.00     0  java
12:25:07 PM  1000   3177454  303.00   84.00    0.00    0.00  387.00     0  java
12:25:08 PM  1000   3177454  309.00   77.00    0.00    0.00  386.00     0  java
12:25:09 PM  1000   3177454  303.00   83.00    0.00    0.00  386.00     0  java
12:25:10 PM  1000   3177454  294.00   91.00    0.00    0.00  385.00     0  java
12:25:11 PM  1000   3177454  297.00   89.00    0.00    0.00  386.00     0  java
12:25:12 PM  1000   3177454  294.00   90.00    0.00    0.00  384.00     0  java
12:25:13 PM  1000   3177454  291.00   93.00    0.00    0.00  384.00     0  java
12:25:14 PM  1000   3177454  294.00   91.00    0.00    0.00  385.00     0  java
12:25:15 PM  1000   3177454  287.00   96.00    0.00    0.00  383.00     0  java
12:25:16 PM  1000   3177454  300.00   85.00    0.00    0.00  385.00     0  java
12:25:17 PM  1000   3177454  282.00  101.00    0.00    0.00  383.00     0  java
12:25:18 PM  1000   3177454  269.00  114.00    0.00    0.00  383.00     0  java
12:25:19 PM  1000   3177454  270.00  113.00    0.00    0.00  383.00     0  java
12:25:20 PM  1000   3177454  262.00  119.00    0.00    0.00  381.00     0  java
12:25:21 PM  1000   3177454  254.00  126.00    0.00    0.00  380.00     0  java
12:25:22 PM  1000   3177454  257.00  124.00    0.00    0.00  381.00     0  java
12:25:23 PM  1000   3177454  269.00  113.00    0.00    0.00  382.00     0  java
12:25:24 PM  1000   3177454  248.00  133.00    0.00    0.00  381.00     0  java
12:25:25 PM  1000   3177454  245.00  137.00    0.00    0.00  382.00     0  java
12:25:26 PM  1000   3177454  241.00  138.00    0.00    0.00  379.00     0  java
12:25:27 PM  1000   3177454  231.00  149.00    0.00    0.00  380.00     0  java
12:25:28 PM  1000   3177454  210.00  169.00    0.00    0.00  379.00     0  java
12:25:29 PM  1000   3177454  215.00  164.00    0.00    0.00  379.00     0  java
12:25:30 PM  1000   3177454  209.00  170.00    0.00    0.00  379.00     0  java
12:25:31 PM  1000   3177454  202.00  176.00    0.00    0.00  378.00     0  java
12:25:32 PM  1000   3177454  196.00  182.00    0.00    0.00  378.00     0  java
12:25:33 PM  1000   3177454  179.00  197.00    0.00    0.00  376.00     0  java
12:25:34 PM  1000   3177454  186.00  190.00    0.00    0.00  376.00     0  java
12:25:35 PM  1000   3177454  186.00  191.00    0.00    0.00  377.00     0  java
12:25:36 PM  1000   3177454  172.00  204.00    0.00    0.00  376.00     0  java
12:25:37 PM  1000   3177454  172.00  202.00    0.00    0.00  374.00     0  java
12:25:38 PM  1000   3177454  174.00  201.00    0.00    0.00  375.00     0  java
