Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/16/2026 	_x86_64_	(64 CPU)

01:10:28 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:10:29 PM  1000   3208104    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
01:10:30 PM  1000   3208104    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
01:10:31 PM  1000   3208104    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
01:10:32 PM  1000   3208104    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
01:10:33 PM  1000   3208104    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
01:10:34 PM  1000   3208104    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
01:10:35 PM  1000   3208104    0.00    0.00    0.00    0.00    0.00     0  quarkus3-runner
01:10:36 PM  1000   3208104    4.00    3.00    0.00    0.00    7.00     0  quarkus3-runner
01:10:37 PM  1000   3208104  235.00  123.00    0.00    0.00  358.00     0  quarkus3-runner
01:10:38 PM  1000   3208104  232.00  125.00    0.00    0.00  357.00     0  quarkus3-runner
01:10:39 PM  1000   3208104  238.00  137.00    0.00    0.00  375.00     0  quarkus3-runner
01:10:40 PM  1000   3208104  242.00  137.00    0.00    0.00  379.00     0  quarkus3-runner
01:10:41 PM  1000   3208104  239.00  130.00    0.00    0.00  369.00     0  quarkus3-runner
01:10:42 PM  1000   3208104  241.00  133.00    0.00    0.00  374.00     0  quarkus3-runner
01:10:43 PM  1000   3208104  245.00  130.00    0.00    0.00  375.00     0  quarkus3-runner
01:10:44 PM  1000   3208104  241.00  128.00    0.00    0.00  369.00     0  quarkus3-runner
01:10:45 PM  1000   3208104  240.00  136.00    0.00    0.00  376.00     0  quarkus3-runner
01:10:46 PM  1000   3208104  240.00  135.00    0.00    0.00  375.00     0  quarkus3-runner
01:10:47 PM  1000   3208104  234.00  134.00    0.00    0.00  368.00     0  quarkus3-runner
01:10:48 PM  1000   3208104  237.00  137.00    0.00    0.00  374.00     0  quarkus3-runner
01:10:49 PM  1000   3208104  242.00  125.00    0.00    0.00  367.00     0  quarkus3-runner
01:10:50 PM  1000   3208104  237.00  137.00    0.00    0.00  374.00     0  quarkus3-runner
01:10:51 PM  1000   3208104  234.00  131.00    0.00    0.00  365.00     0  quarkus3-runner
01:10:52 PM  1000   3208104  234.00  137.00    0.00    0.00  371.00     0  quarkus3-runner
01:10:53 PM  1000   3208104  238.00  126.00    0.00    0.00  364.00     0  quarkus3-runner
01:10:54 PM  1000   3208104  239.00  130.00    0.00    0.00  369.00     0  quarkus3-runner
01:10:55 PM  1000   3208104  228.00  133.00    0.00    0.00  361.00     0  quarkus3-runner
01:10:56 PM  1000   3208104  236.00  126.00    0.00    0.00  362.00     0  quarkus3-runner
01:10:57 PM  1000   3208104  234.00  132.00    0.00    0.00  366.00     0  quarkus3-runner
01:10:58 PM  1000   3208104  233.00  137.00    0.00    0.00  370.00     0  quarkus3-runner
01:10:59 PM  1000   3208104  235.00  128.00    0.00    0.00  363.00     0  quarkus3-runner
01:11:00 PM  1000   3208104  237.00  134.00    0.00    0.00  371.00     0  quarkus3-runner
01:11:01 PM  1000   3208104  238.00  125.00    0.00    0.00  363.00     0  quarkus3-runner
01:11:02 PM  1000   3208104  232.00  130.00    0.00    0.00  362.00     0  quarkus3-runner
01:11:03 PM  1000   3208104  234.00  130.00    0.00    0.00  364.00     0  quarkus3-runner
