Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/16/2026 	_x86_64_	(64 CPU)

02:12:45 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
02:12:46 PM  1000   3263754  268.00    5.00    0.00    0.00  273.00     1  java
02:12:47 PM  1000   3263754  282.00    6.00    0.00    0.00  288.00     1  java
02:12:48 PM  1000   3263754  193.00    8.00    0.00    0.00  201.00     1  java
02:12:49 PM  1000   3263754  294.00    4.00    0.00    0.00  298.00     1  java
02:12:50 PM  1000   3263754   15.00    0.00    0.00    0.00   15.00     1  java
02:12:51 PM  1000   3263754    0.00    0.00    0.00    0.00    0.00     1  java
02:12:52 PM  1000   3263754    0.00    0.00    0.00    0.00    0.00     1  java
02:12:53 PM  1000   3263754   20.00    3.00    0.00    0.00   23.00     1  java
02:12:54 PM  1000   3263754  364.00   19.00    0.00    0.00  383.00     1  java
02:12:55 PM  1000   3263754  374.00   20.00    0.00    0.00  394.00     1  java
02:12:56 PM  1000   3263754  368.00   24.00    0.00    0.00  392.00     1  java
02:12:57 PM  1000   3263754  362.00   29.00    0.00    0.00  391.00     1  java
02:12:58 PM  1000   3263754  362.00   31.00    0.00    0.00  393.00     1  java
02:12:59 PM  1000   3263754  357.00   34.00    0.00    0.00  391.00     1  java
02:13:00 PM  1000   3263754  355.00   35.00    0.00    0.00  390.00     1  java
02:13:01 PM  1000   3263754  348.00   42.00    0.00    0.00  390.00     1  java
02:13:02 PM  1000   3263754  344.00   46.00    0.00    0.00  390.00     1  java
02:13:03 PM  1000   3263754  343.00   46.00    0.00    0.00  389.00     1  java
02:13:04 PM  1000   3263754  335.00   53.00    0.00    0.00  388.00     1  java
02:13:05 PM  1000   3263754  331.00   58.00    0.00    0.00  389.00     1  java
02:13:06 PM  1000   3263754  334.00   54.00    0.00    0.00  388.00     1  java
02:13:07 PM  1000   3263754  327.00   61.00    0.00    0.00  388.00     1  java
02:13:08 PM  1000   3263754  325.00   61.00    0.00    0.00  386.00     1  java
02:13:09 PM  1000   3263754  316.00   71.00    0.00    0.00  387.00     1  java
02:13:10 PM  1000   3263754  315.00   70.00    0.00    0.00  385.00     1  java
02:13:11 PM  1000   3263754  309.00   76.00    0.00    0.00  385.00     1  java
02:13:12 PM  1000   3263754  302.00   83.00    0.00    0.00  385.00     1  java
02:13:13 PM  1000   3263754  298.00   86.00    0.00    0.00  384.00     1  java
02:13:14 PM  1000   3263754  299.00   85.00    0.00    0.00  384.00     1  java
02:13:15 PM  1000   3263754  301.00   81.00    0.00    0.00  382.00     1  java
02:13:16 PM  1000   3263754  299.00   85.00    0.00    0.00  384.00     1  java
02:13:17 PM  1000   3263754  291.00   89.00    0.00    0.00  380.00     1  java
02:13:18 PM  1000   3263754  287.00   98.00    0.00    0.00  385.00     1  java
02:13:19 PM  1000   3263754  285.00  101.00    0.00    0.00  386.00     1  java
02:13:20 PM  1000   3263754  293.00   91.00    0.00    0.00  384.00     1  java
02:13:21 PM  1000   3263754  300.00   84.00    0.00    0.00  384.00     1  java
02:13:22 PM  1000   3263754  299.00   83.00    0.00    0.00  382.00     1  java
02:13:23 PM  1000   3263754  288.00   95.00    0.00    0.00  383.00     1  java
02:13:24 PM  1000   3263754  306.00   79.00    0.00    0.00  385.00     1  java
02:13:25 PM  1000   3263754  298.00   86.00    0.00    0.00  384.00     1  java
02:13:26 PM  1000   3263754  288.00   96.00    0.00    0.00  384.00     1  java
02:13:27 PM  1000   3263754  299.00   85.00    0.00    0.00  384.00     1  java
02:13:28 PM  1000   3263754  297.00   87.00    0.00    0.00  384.00     1  java
02:13:29 PM  1000   3263754  295.00   87.00    0.00    0.00  382.00     1  java
02:13:30 PM  1000   3263754  286.00   99.00    0.00    0.00  385.00     1  java
02:13:31 PM  1000   3263754  289.00   94.00    0.00    0.00  383.00     1  java
02:13:32 PM  1000   3263754  290.00   95.00    0.00    0.00  385.00     1  java
02:13:33 PM  1000   3263754  284.00   98.00    0.00    0.00  382.00     1  java
02:13:34 PM  1000   3263754  282.00  102.00    0.00    0.00  384.00     1  java
02:13:35 PM  1000   3263754  295.00   89.00    0.00    0.00  384.00     1  java
02:13:36 PM  1000   3263754  282.00  100.00    0.00    0.00  382.00     1  java
02:13:37 PM  1000   3263754  290.00   94.00    0.00    0.00  384.00     1  java
02:13:38 PM  1000   3263754  284.00   98.00    0.00    0.00  382.00     1  java
02:13:39 PM  1000   3263754  279.00  105.00    0.00    0.00  384.00     1  java
02:13:40 PM  1000   3263754  281.00  101.00    0.00    0.00  382.00     1  java
02:13:41 PM  1000   3263754  275.00  106.00    0.00    0.00  381.00     1  java
02:13:42 PM  1000   3263754  284.00   99.00    0.00    0.00  383.00     1  java
02:13:43 PM  1000   3263754  275.00  107.00    0.00    0.00  382.00     1  java
02:13:44 PM  1000   3263754  250.00  135.00    0.00    0.00  385.00     1  java
02:13:45 PM  1000   3263754  274.00  109.00    0.00    0.00  383.00     1  java
02:13:46 PM  1000   3263754  274.00  108.00    0.00    0.00  382.00     1  java
02:13:47 PM  1000   3263754  264.00  120.00    0.00    0.00  384.00     1  java
02:13:48 PM  1000   3263754  260.00  122.00    0.00    0.00  382.00     1  java
02:13:49 PM  1000   3263754  263.00  118.00    0.00    0.00  381.00     1  java
02:13:50 PM  1000   3263754  271.00  111.00    0.00    0.00  382.00     1  java
02:13:51 PM  1000   3263754  267.00  115.00    0.00    0.00  382.00     1  java
02:13:52 PM  1000   3263754  272.00  111.00    0.00    0.00  383.00     1  java
02:13:53 PM  1000   3263754  263.00  119.00    0.00    0.00  382.00     1  java
02:13:54 PM  1000   3263754  262.00  120.00    0.00    0.00  382.00     1  java
02:13:55 PM  1000   3263754  260.00  121.00    0.00    0.00  381.00     1  java
02:13:56 PM  1000   3263754  260.00  122.00    0.00    0.00  382.00     1  java
02:13:57 PM  1000   3263754  267.00  115.00    0.00    0.00  382.00     1  java
02:13:58 PM  1000   3263754  265.00  115.00    0.00    0.00  380.00     1  java
02:13:59 PM  1000   3263754  258.00  123.00    0.00    0.00  381.00     1  java
02:14:00 PM  1000   3263754  240.00  143.00    0.00    0.00  383.00     1  java
02:14:01 PM  1000   3263754  241.00  141.00    0.00    0.00  382.00     1  java
02:14:02 PM  1000   3263754  242.00  135.00    0.00    0.00  377.00     1  java
02:14:03 PM  1000   3263754  251.00  131.00    0.00    0.00  382.00     1  java
02:14:04 PM  1000   3263754  248.00  133.00    0.00    0.00  381.00     1  java
02:14:05 PM  1000   3263754  234.00  145.00    0.00    0.00  379.00     1  java
02:14:06 PM  1000   3263754  247.00  134.00    0.00    0.00  381.00     1  java
02:14:07 PM  1000   3263754  238.00  143.00    0.00    0.00  381.00     1  java
02:14:08 PM  1000   3263754  252.00  129.00    0.00    0.00  381.00     1  java
02:14:09 PM  1000   3263754  247.00  136.00    0.00    0.00  383.00     1  java
02:14:10 PM  1000   3263754  226.00  155.00    0.00    0.00  381.00     1  java
02:14:11 PM  1000   3263754  231.00  147.00    0.00    0.00  378.00     1  java
02:14:12 PM  1000   3263754  243.00  135.00    0.00    0.00  378.00     1  java
02:14:13 PM  1000   3263754  247.00  134.00    0.00    0.00  381.00     1  java
02:14:14 PM  1000   3263754  239.00  139.00    0.00    0.00  378.00     1  java
02:14:15 PM  1000   3263754  236.00  140.00    0.00    0.00  376.00     1  java
02:14:16 PM  1000   3263754  231.00  151.00    0.00    0.00  382.00     1  java
02:14:17 PM  1000   3263754  228.00  151.00    0.00    0.00  379.00     1  java
02:14:18 PM  1000   3263754  237.00  142.00    0.00    0.00  379.00     1  java
02:14:19 PM  1000   3263754  214.00  164.00    0.00    0.00  378.00     1  java
02:14:20 PM  1000   3263754  226.00  155.00    0.00    0.00  381.00     1  java
02:14:21 PM  1000   3263754  225.00  155.00    0.00    0.00  380.00     1  java
02:14:22 PM  1000   3263754  208.00  172.00    0.00    0.00  380.00     1  java
02:14:23 PM  1000   3263754  218.00  162.00    0.00    0.00  380.00     1  java
02:14:24 PM  1000   3263754  211.00  171.00    0.00    0.00  382.00     1  java
02:14:25 PM  1000   3263754  225.00  153.00    0.00    0.00  378.00     1  java
02:14:26 PM  1000   3263754  217.00  162.00    0.00    0.00  379.00     1  java
02:14:27 PM  1000   3263754  209.00  169.00    0.00    0.00  378.00     1  java
02:14:28 PM  1000   3263754  215.00  163.00    0.00    0.00  378.00     1  java
02:14:29 PM  1000   3263754  223.00  155.00    0.00    0.00  378.00     1  java
02:14:30 PM  1000   3263754  209.00  168.00    0.00    0.00  377.00     1  java
02:14:31 PM  1000   3263754  221.00  154.00    0.00    0.00  375.00     1  java
02:14:32 PM  1000   3263754  218.00  159.00    0.00    0.00  377.00     1  java
02:14:33 PM  1000   3263754  220.00  157.00    0.00    0.00  377.00     1  java
02:14:34 PM  1000   3263754  217.00  161.00    0.00    0.00  378.00     1  java
02:14:35 PM  1000   3263754  216.00  162.00    0.00    0.00  378.00     1  java
02:14:36 PM  1000   3263754  210.00  169.00    0.00    0.00  379.00     1  java
02:14:37 PM  1000   3263754  198.00  181.00    0.00    0.00  379.00     1  java
02:14:38 PM  1000   3263754  208.00  173.00    0.00    0.00  381.00     1  java
02:14:39 PM  1000   3263754  220.00  157.00    0.00    0.00  377.00     1  java
02:14:40 PM  1000   3263754  210.00  167.00    0.00    0.00  377.00     1  java
02:14:41 PM  1000   3263754  196.00  185.00    0.00    0.00  381.00     1  java
02:14:42 PM  1000   3263754  211.00  173.00    0.00    0.00  384.00     1  java
02:14:43 PM  1000   3263754  201.00  174.00    0.00    0.00  375.00     1  java
02:14:44 PM  1000   3263754  206.00  169.00    0.00    0.00  375.00     1  java
02:14:45 PM  1000   3263754  217.00  159.00    0.00    0.00  376.00     1  java
