Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	02/16/2026 	_x86_64_	(64 CPU)

01:44:42 PM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
01:44:43 PM  1000   3241361  278.00    4.00    0.00    0.00  282.00     2  java
01:44:44 PM  1000   3241361  291.00    5.00    0.00    0.00  296.00     2  java
01:44:45 PM  1000   3241361  281.00    6.00    0.00    0.00  287.00     2  java
01:44:46 PM  1000   3241361  204.00    6.00    0.00    0.00  210.00     2  java
01:44:47 PM  1000   3241361  262.00    1.00    0.00    0.00  263.00     2  java
01:44:48 PM  1000   3241361   11.00    0.00    0.00    0.00   11.00     2  java
01:44:49 PM  1000   3241361    0.00    0.00    0.00    0.00    0.00     2  java
01:44:50 PM  1000   3241361    0.00    0.00    0.00    0.00    0.00     2  java
01:44:51 PM  1000   3241361  220.00    8.00    0.00    0.00  228.00     2  java
01:44:52 PM  1000   3241361  380.00   11.00    0.00    0.00  391.00     2  java
01:44:53 PM  1000   3241361  373.00   18.00    0.00    0.00  391.00     2  java
01:44:54 PM  1000   3241361  374.00   18.00    0.00    0.00  392.00     2  java
01:44:55 PM  1000   3241361  363.00   22.00    0.00    0.00  385.00     2  java
01:44:56 PM  1000   3241361  363.00   26.00    0.00    0.00  389.00     2  java
01:44:57 PM  1000   3241361  359.00   26.00    0.00    0.00  385.00     2  java
01:44:58 PM  1000   3241361  349.00   37.00    0.00    0.00  386.00     2  java
01:44:59 PM  1000   3241361  352.00   33.00    0.00    0.00  385.00     2  java
01:45:00 PM  1000   3241361  355.00   32.00    0.00    0.00  387.00     2  java
01:45:01 PM  1000   3241361  358.00   29.00    0.00    0.00  387.00     2  java
01:45:02 PM  1000   3241361  342.00   40.00    0.00    0.00  382.00     2  java
01:45:03 PM  1000   3241361  340.00   42.00    0.00    0.00  382.00     2  java
01:45:04 PM  1000   3241361  337.00   44.00    0.00    0.00  381.00     2  java
01:45:05 PM  1000   3241361  342.00   41.00    0.00    0.00  383.00     2  java
01:45:06 PM  1000   3241361  330.00   48.00    0.00    0.00  378.00     2  java
01:45:07 PM  1000   3241361  339.00   42.00    0.00    0.00  381.00     2  java
01:45:08 PM  1000   3241361  315.00   63.00    0.00    0.00  378.00     2  java
01:45:09 PM  1000   3241361  307.00   67.00    0.00    0.00  374.00     2  java
01:45:10 PM  1000   3241361  273.00   94.00    0.00    0.00  367.00     2  java
01:45:11 PM  1000   3241361  261.00  105.00    0.00    0.00  366.00     2  java
01:45:12 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:13 PM  1000   3241361  261.00  102.00    0.00    0.00  363.00     2  java
01:45:14 PM  1000   3241361  266.00   98.00    0.00    0.00  364.00     2  java
01:45:15 PM  1000   3241361  265.00  101.00    0.00    0.00  366.00     2  java
01:45:16 PM  1000   3241361  256.00  107.00    0.00    0.00  363.00     2  java
01:45:17 PM  1000   3241361  261.00  103.00    0.00    0.00  364.00     2  java
01:45:18 PM  1000   3241361  262.00  103.00    0.00    0.00  365.00     2  java
01:45:19 PM  1000   3241361  262.00  103.00    0.00    0.00  365.00     2  java
01:45:20 PM  1000   3241361  263.00  103.00    0.00    0.00  366.00     2  java
01:45:21 PM  1000   3241361  260.00  104.00    0.00    0.00  364.00     2  java
01:45:22 PM  1000   3241361  263.00  101.00    0.00    0.00  364.00     2  java
01:45:23 PM  1000   3241361  254.00  107.00    0.00    0.00  361.00     2  java
01:45:24 PM  1000   3241361  256.00  107.00    0.00    0.00  363.00     2  java
01:45:25 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:26 PM  1000   3241361  257.00  107.00    0.00    0.00  364.00     2  java
01:45:27 PM  1000   3241361  258.00  106.00    0.00    0.00  364.00     2  java
01:45:28 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:29 PM  1000   3241361  257.00  106.00    0.00    0.00  363.00     2  java
01:45:30 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:31 PM  1000   3241361  259.00  105.00    0.00    0.00  364.00     2  java
01:45:32 PM  1000   3241361  261.00  103.00    0.00    0.00  364.00     2  java
01:45:33 PM  1000   3241361  260.00  104.00    0.00    0.00  364.00     2  java
01:45:34 PM  1000   3241361  259.00  104.00    0.00    0.00  363.00     2  java
01:45:35 PM  1000   3241361  258.00  107.00    0.00    0.00  365.00     2  java
01:45:36 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:37 PM  1000   3241361  257.00  105.00    0.00    0.00  362.00     2  java
01:45:38 PM  1000   3241361  255.00  109.00    0.00    0.00  364.00     2  java
01:45:39 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:40 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:41 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:42 PM  1000   3241361  259.00  104.00    0.00    0.00  363.00     2  java
01:45:43 PM  1000   3241361  256.00  107.00    0.00    0.00  363.00     2  java
01:45:44 PM  1000   3241361  258.00  106.00    0.00    0.00  364.00     2  java
01:45:45 PM  1000   3241361  257.00  108.00    0.00    0.00  365.00     2  java
01:45:46 PM  1000   3241361  262.00  102.00    0.00    0.00  364.00     2  java
01:45:47 PM  1000   3241361  262.00  102.00    0.00    0.00  364.00     2  java
01:45:48 PM  1000   3241361  273.00   92.00    0.00    0.00  365.00     2  java
01:45:49 PM  1000   3241361  260.00  105.00    0.00    0.00  365.00     2  java
01:45:50 PM  1000   3241361  261.00  102.00    0.00    0.00  363.00     2  java
01:45:51 PM  1000   3241361  265.00   99.00    0.00    0.00  364.00     2  java
01:45:52 PM  1000   3241361  276.00   91.00    0.00    0.00  367.00     2  java
01:45:53 PM  1000   3241361  263.00  102.00    0.00    0.00  365.00     2  java
01:45:54 PM  1000   3241361  255.00  109.00    0.00    0.00  364.00     2  java
01:45:55 PM  1000   3241361  256.00  108.00    0.00    0.00  364.00     2  java
01:45:56 PM  1000   3241361  262.00  104.00    0.00    0.00  366.00     2  java
01:45:57 PM  1000   3241361  260.00  104.00    0.00    0.00  364.00     2  java
01:45:58 PM  1000   3241361  258.00  106.00    0.00    0.00  364.00     2  java
01:45:59 PM  1000   3241361  257.00  105.00    0.00    0.00  362.00     2  java
01:46:00 PM  1000   3241361  257.00  107.00    0.00    0.00  364.00     2  java
01:46:01 PM  1000   3241361  261.00  103.00    0.00    0.00  364.00     2  java
01:46:02 PM  1000   3241361  268.00   96.00    0.00    0.00  364.00     2  java
01:46:03 PM  1000   3241361  259.00  105.00    0.00    0.00  364.00     2  java
01:46:04 PM  1000   3241361  253.00  111.00    0.00    0.00  364.00     2  java
01:46:05 PM  1000   3241361  255.00  109.00    0.00    0.00  364.00     2  java
01:46:06 PM  1000   3241361  261.00  103.00    0.00    0.00  364.00     2  java
01:46:07 PM  1000   3241361  258.00  105.00    0.00    0.00  363.00     2  java
01:46:08 PM  1000   3241361  260.00  104.00    0.00    0.00  364.00     2  java
01:46:09 PM  1000   3241361  261.00  103.00    0.00    0.00  364.00     2  java
01:46:10 PM  1000   3241361  258.00  107.00    0.00    0.00  365.00     2  java
01:46:11 PM  1000   3241361  256.44  104.95    0.00    0.00  361.39     2  java
01:46:12 PM  1000   3241361  263.00  102.00    0.00    0.00  365.00     2  java
01:46:13 PM  1000   3241361  256.00  109.00    0.00    0.00  365.00     2  java
01:46:14 PM  1000   3241361  261.00  103.00    0.00    0.00  364.00     2  java
01:46:15 PM  1000   3241361  257.00  102.00    0.00    0.00  359.00     2  java
01:46:16 PM  1000   3241361  247.00   98.00    0.00    0.00  345.00     2  java
01:46:17 PM  1000   3241361  259.00  105.00    0.00    0.00  364.00     2  java
01:46:18 PM  1000   3241361  259.00  104.00    0.00    0.00  363.00     2  java
01:46:19 PM  1000   3241361  260.00  106.00    0.00    0.00  366.00     2  java
