procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  1      0 391323488      0 306432    0    0     1     1    0    0  0  0 100  0  0
 4  0      0 391174400      0 362012    0    0 55220     0 8275 6202  4  0 95  0  0
 4  0      0 391080640      0 367604    0    0  5220  1040 9777 6460  3  1 96  0  0
 3  0      0 391039520      0 371396    0    0  4176     8 10773 5554  5  1 95  0  0
 0  0      0 390978080      0 384028    0    0 14344     4 5201 6776  3  0 96  0  0
 3  0      0 390959712      0 395848    0    0 12700    32 4010 5213  2  0 97  0  0
 0  0      0 390921184      0 398420    0    0  2268     4 1747 1552  1  0 99  0  0
 5  0      0 390870272      0 400640    0    0  2112    20 3691 9439  3  0 97  0  0
29  0      0 390842112      0 401120    0    0   436   524 8654 23999  6  1 93  0  0
21  0      0 390832128      0 401132    0    0     0     4 9616 29971  6  1 93  0  0
40  0      0 390827584      0 401136    0    0     0     4 11018 32802  7  1 92  0  0
28  0      0 390825088      0 401176    0    0    32    44 11544 34780  6  1 93  0  0
36  0      0 390825152      0 401312    0    0    76     4 11372 35953  6  1 93  0  0
27  0      0 390804480      0 401508    0    0     0     0 11258 38227  6  1 93  0  0
30  0      0 390803232      0 401512    0    0     0    12 12468 42841  6  1 93  0  0
30  0      0 390802496      0 401524    0    0     0     0 13357 48123  6  1 93  0  0
34  0      0 390799488      0 401584    0    0     0     4 14395 50325  7  2 92  0  0
29  0      0 390791936      0 401596    0    0     0    40 14272 52138  6  2 92  0  0
30  0      0 390790432      0 401608    0    0     0     4 14294 54864  6  2 93  0  0
30  0      0 390788160      0 401644    0    0     0     0 15260 60644  5  2 93  0  0
41  0      0 390786880      0 401656    0    0     0    12 16271 64969  5  2 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
35  0      0 390784896      0 401608    0    0    32   188 17606 70319  5  2 92  0  0
52  0      0 390784192      0 401632    0    0     0     4 18266 73750  5  2 92  0  0
 5  0      0 390780928      0 401636    0    0     0    40 19426 79102  5  3 92  0  0
38  0      0 390780480      0 401648    0    0     0     4 18623 76976  5  2 92  0  0
