Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/25/2026 	_x86_64_	(64 CPU)

09:49:00 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:49:01 AM  all    4.89    0.00    0.58    0.45    0.03    0.03    0.00    0.00    0.00   94.01
09:49:01 AM    0    0.00    0.00    0.99    0.00    0.99    0.99    0.00    0.00    0.00   97.03
09:49:01 AM    1    1.01    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   96.97
09:49:01 AM    2   65.66    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   33.33
09:49:01 AM    3    2.97    0.00    3.96   16.83    0.00    0.00    0.00    0.00    0.00   76.24
09:49:01 AM    4   82.65    0.00    5.10    9.18    0.00    0.00    0.00    0.00    0.00    3.06
09:49:01 AM    5    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
09:49:01 AM    6   96.97    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    3.03
09:49:01 AM    7    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
09:49:01 AM    8   51.49    0.00    0.99    0.00    0.99    0.00    0.00    0.00    0.00   46.53
09:49:01 AM    9    1.98    0.00    0.99    0.00    0.00    0.00    0.00    0.00    0.00   97.03
09:49:01 AM   10    0.99    0.00    0.99    0.99    0.00    0.00    0.00    0.00    0.00   97.03
09:49:01 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:49:01 AM   12    0.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.01
09:49:01 AM   13    4.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   94.00
09:49:01 AM   14    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
09:49:01 AM   15    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
09:49:01 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:49:01 AM   17    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:49:01 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:49:01 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
