Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/25/2026 	_x86_64_	(64 CPU)

08:25:04 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
08:25:05 AM  1000   3276645  216.00    5.00    0.00    0.00  221.00     2  java
08:25:06 AM  1000   3276645    4.00    0.00    0.00    0.00    4.00     2  java
08:25:07 AM  1000   3276645    0.00    0.00    0.00    0.00    0.00     2  java
08:25:08 AM  1000   3276645    0.00    0.00    0.00    0.00    0.00     2  java
08:25:09 AM  1000   3276645    0.00    0.00    0.00    0.00    0.00     2  java
08:25:10 AM  1000   3276645    0.00    0.00    0.00    0.00    0.00     2  java
08:25:11 AM  1000   3276645    0.00    0.00    0.00    0.00    0.00     2  java
08:25:12 AM  1000   3276645   87.00    7.00    0.00    0.00   94.00     2  java
08:25:13 AM  1000   3276645  362.00   20.00    0.00    0.00  382.00     2  java
08:25:14 AM  1000   3276645  362.00   32.00    0.00    0.00  394.00     2  java
08:25:15 AM  1000   3276645  348.00   44.00    0.00    0.00  392.00     2  java
08:25:16 AM  1000   3276645  324.00   65.00    0.00    0.00  389.00     2  java
08:25:17 AM  1000   3276645  309.00   79.00    0.00    0.00  388.00     2  java
08:25:18 AM  1000   3276645  296.00   87.00    0.00    0.00  383.00     2  java
08:25:19 AM  1000   3276645  297.00   90.00    0.00    0.00  387.00     2  java
08:25:20 AM  1000   3276645  294.00   90.00    0.00    0.00  384.00     2  java
08:25:21 AM  1000   3276645  301.00   86.00    0.00    0.00  387.00     2  java
08:25:22 AM  1000   3276645  296.00   90.00    0.00    0.00  386.00     2  java
08:25:23 AM  1000   3276645  298.00   88.00    0.00    0.00  386.00     2  java
08:25:24 AM  1000   3276645  293.00   91.00    0.00    0.00  384.00     2  java
08:25:25 AM  1000   3276645  293.00   93.00    0.00    0.00  386.00     2  java
08:25:26 AM  1000   3276645  296.00   90.00    0.00    0.00  386.00     2  java
08:25:27 AM  1000   3276645  285.00  100.00    0.00    0.00  385.00     2  java
08:25:28 AM  1000   3276645  276.00  108.00    0.00    0.00  384.00     2  java
08:25:29 AM  1000   3276645  278.00  107.00    0.00    0.00  385.00     2  java
08:25:30 AM  1000   3276645  279.00  106.00    0.00    0.00  385.00     2  java
08:25:31 AM  1000   3276645  283.00  102.00    0.00    0.00  385.00     2  java
08:25:32 AM  1000   3276645  269.00  115.00    0.00    0.00  384.00     2  java
08:25:33 AM  1000   3276645  268.00  116.00    0.00    0.00  384.00     2  java
08:25:34 AM  1000   3276645  272.00  111.00    0.00    0.00  383.00     2  java
08:25:35 AM  1000   3276645  263.00  120.00    0.00    0.00  383.00     2  java
08:25:36 AM  1000   3276645  258.00  126.00    0.00    0.00  384.00     2  java
08:25:37 AM  1000   3276645  242.00  139.00    0.00    0.00  381.00     2  java
08:25:38 AM  1000   3276645  246.00  136.00    0.00    0.00  382.00     2  java
08:25:39 AM  1000   3276645  248.00  134.00    0.00    0.00  382.00     2  java
08:25:40 AM  1000   3276645  233.00  147.00    0.00    0.00  380.00     2  java
08:25:41 AM  1000   3276645  229.00  153.00    0.00    0.00  382.00     2  java
08:25:42 AM  1000   3276645  226.00  154.00    0.00    0.00  380.00     2  java
08:25:43 AM  1000   3276645  222.00  158.00    0.00    0.00  380.00     2  java
08:25:44 AM  1000   3276645  225.00  155.00    0.00    0.00  380.00     2  java
08:25:45 AM  1000   3276645  218.00  161.00    0.00    0.00  379.00     2  java
08:25:46 AM  1000   3276645  196.00  183.00    0.00    0.00  379.00     2  java
08:25:47 AM  1000   3276645  191.00  187.00    0.00    0.00  378.00     2  java
08:25:48 AM  1000   3276645  214.00  168.00    0.00    0.00  382.00     2  java
08:25:49 AM  1000   3276645  205.00  173.00    0.00    0.00  378.00     2  java
08:25:50 AM  1000   3276645  196.00  181.00    0.00    0.00  377.00     2  java
08:25:51 AM  1000   3276645  193.00  185.00    0.00    0.00  378.00     2  java
08:25:52 AM  1000   3276645  181.00  195.00    0.00    0.00  376.00     2  java
08:25:53 AM  1000   3276645  175.00  203.00    0.00    0.00  378.00     2  java
08:25:54 AM  1000   3276645  173.00  205.00    0.00    0.00  378.00     2  java
08:25:55 AM  1000   3276645  190.00  192.00    0.00    0.00  382.00     2  java
08:25:56 AM  1000   3276645  172.00  207.00    0.00    0.00  379.00     2  java
08:25:57 AM  1000   3276645  184.00  198.00    0.00    0.00  382.00     2  java
08:25:58 AM  1000   3276645  174.00  205.00    0.00    0.00  379.00     2  java
08:25:59 AM  1000   3276645  187.00  193.00    0.00    0.00  380.00     2  java
