Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	03/25/2026 	_x86_64_	(64 CPU)

09:44:52 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:44:53 AM 100998   3325039    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:53 AM 100998   3325040    0.00    0.00    0.00    0.00    0.00    12  postgres
09:44:53 AM 100998   3325042    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:53 AM 100998   3325043    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:53 AM 100998   3325943    0.00    0.00    0.00    0.00    0.00    12  postgres
09:44:53 AM 100998   3325969    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:53 AM 100998   3325970    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:53 AM 100998   3325971    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:53 AM 100998   3325973    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:53 AM 100998   3325974    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:53 AM 100998   3325976    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:53 AM 100998   3325977    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:53 AM 100998   3325978    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:53 AM 100998   3325979    0.00    0.00    0.00    0.00    0.00    10  postgres

09:44:53 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:44:54 AM 100998   3325039    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:54 AM 100998   3325040    0.00    0.00    0.00    0.00    0.00    12  postgres
09:44:54 AM 100998   3325042    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:54 AM 100998   3325043    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:54 AM 100998   3325943    0.00    0.00    0.00    0.00    0.00    12  postgres
09:44:54 AM 100998   3325969    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:54 AM 100998   3325970    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:54 AM 100998   3325971    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:54 AM 100998   3325973    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:54 AM 100998   3325974    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:54 AM 100998   3325976    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:54 AM 100998   3325977    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:54 AM 100998   3325978    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:54 AM 100998   3325979    0.00    0.00    0.00    0.00    0.00    10  postgres

09:44:54 AM   UID       PID    %usr %system  %guest   %wait    %CPU   CPU  Command
09:44:55 AM 100998   3325039    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:55 AM 100998   3325040    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:55 AM 100998   3325042    0.00    0.00    0.00    0.00    0.00    10  postgres
09:44:55 AM 100998   3325043    0.00    0.00    0.00    0.00    0.00    14  postgres
09:44:55 AM 100998   3325943    0.00    0.00    0.00    0.00    0.00    12  postgres
