procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   1768 390876928      0 294416    0    0     2     1    0    0  0  0 100  0  0
 0  0   1768 390880256      0 338532    0    0 44524     0 3732 4239  0  0 99  0  0
 2  0   1768 390868256      0 338760    0    0    80   848 6779 4068  0  1 99  0  0
 2  0   1768 390819840      0 340820    0    0  1916    12 7179 4906  2  0 98  0  0
 2  0   1768 390793632      0 357352    0    0 18648     4 4739 7060  3  0 97  0  0
 3  0   1768 390752608      0 367440    0    0 12072    32 4121 5012  3  0 97  0  0
 0  0   1768 390750880      0 368012    0    0   528     4  563  466  0  0 100  0  0
 8  0   1768 390674368      0 371848    0    0  3556   500 6834 11298  5  0 95  0  0
 7  0   1768 390571008      0 371884    0    0     4     0 10369 26880  7  1 93  0  0
10  0   1768 390422176      0 371892    0    0     0     8 13987 53988  7  1 92  0  0
 8  0   1768 390379840      0 371908    0    0     8     4 20193 94129  7  2 91  0  0
 6  0   1768 390338080      0 374816    0    0    24    80 22056 103825  7  2 91  0  0
 9  0   1768 390329856      0 374872    0    0    52    36 24966 119265  6  2 92  0  0
 7  0   1768 390305824      0 374932    0    0    52     0 18782 100446  6  2 92  0  0
 6  0   1768 390305344      0 374936    0    0     0     8 26227 121739  6  2 92  0  0
12  0   1768 390304448      0 374944    0    0     0     0 29696 130155  6  2 92  0  0
 8  0   1768 390304736      0 374952    0    0     0     4 42165 175007  6  3 91  0  0
 9  0   1768 390303648      0 374956    0    0     0    40 44033 175605  6  4 90  0  0
 8  0   1768 390300576      0 375000    0    0    16     4 62752 252328  6  4 90  0  0
11  0   1768 390297664      0 375004    0    0     0     0 83797 332753  6  5 89  0  0
11  0   1768 390290816      0 375012    0    0     0     8 87806 380625  6  6 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0   1768 390290048      0 375088    0    0     0     0 86643 383156  6  6 88  0  0
 9  0   1768 390302848      0 375096    0    0     0     4 89125 391591  6  6 88  0  0
10  0   1768 390299936      0 375100    0    0     0    44 93094 388744  6  6 88  0  0
 6  0   1768 390303040      0 375108    0    0     0     4 91744 384446  6  6 88  0  0
10  0   1768 390302784      0 375116    0    0     0     4 91001 395052  6  6 88  0  0
 6  0   1768 390304064      0 375052    0    0     0     0 93649 386251  6  6 88  0  0
10  0   1768 390302176      0 375060    0    0     4    12 92722 389547  6  6 88  0  0
11  0   1768 390301664      0 375064    0    0    36    36 91951 388599  6  6 88  0  0
11  0   1768 390301408      0 375072    0    0     0    44 92159 384206  6  6 88  0  0
11  0   1768 390303968      0 375076    0    0     0     4 89580 387050  6  6 88  0  0
 8  0   1768 390308096      0 375156    0    0     0     0 94258 397182  6  6 88  0  0
12  0   1768 390312640      0 375164    0    0     8   768 90994 401359  6  6 88  0  0
10  0   1768 390309984      0 375168    0    0     0     0 93421 393849  6  6 88  0  0
 3  0   1768 390310592      0 375180    0    0     0     4 95060 392494  6  6 88  0  0
13  0   1768 390309728      0 375184    0    0     0    40 98038 395275  6  6 88  0  0
 5  0   1768 390306816      0 375192    0    0     0     4 93227 390683  6  6 88  0  0
11  0   1768 390312128      0 375196    0    0     0     0 95069 399236  6  6 88  0  0
11  0   1768 390312960      0 375204    0    0    48   312 89822 398611  6  6 88  0  0
 8  0   1768 390311680      0 375208    0    0     0     0 91447 385625  6  6 88  0  0
13  0   1768 390310496      0 375216    0    0     0     4 90682 393811  6  6 88  0  0
11  0   1768 390310560      0 375300    0    0     0   400 92807 389880  6  6 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0   1768 390306944      0 375304    0    0     0   372 92283 386321  6  6 88  0  0
10  0   1768 390307072      0 375320    0    0     0     0 91680 390338  6  6 88  0  0
 9  0   1768 390309888      0 375324    0    0     0     8 92771 385887  6  6 88  0  0
 9  0   1768 390305888      0 375324    0    0     0     0 94929 397977  6  6 88  0  0
10  0   1768 390307008      0 375324    0    0     0     4 94795 394049  6  6 88  0  0
 8  0   1768 390306272      0 375324    0    0     0    40 92437 393560  6  6 88  0  0
 8  0   1768 390311232      0 375324    0    0     0     8 91590 381404  6  6 88  0  0
 7  0   1768 390311616      0 375324    0    0     0     4 89949 380958  6  6 88  0  0
 9  0   1768 390315872      0 375324    0    0     0     0 93625 385888  6  6 88  0  0
11  0   1768 390312000      0 375396    0    0     0     0 91451 388701  6  6 88  0  0
 7  0   1768 390313408      0 375396    0    0     0     0 92159 387400  6  6 88  0  0
 9  0   1768 390311168      0 375396    0    0     0    48 89600 387658  6  6 88  0  0
15  0   1768 390316896      0 375396    0    0     0     4 88868 384641  6  6 88  0  0
10  0   1768 390311808      0 375436    0    0     0     0 89870 385650  6  6 88  0  0
 9  0   1768 390313312      0 375440    0    0     0     8 91067 384627  6  6 89  0  0
 6  0   1768 390306912      0 375448    0    0     0     0 93558 391549  6  6 88  0  0
10  0   1768 390306624      0 375452    0    0     0     4 94672 389170  6  6 88  0  0
 8  0   1768 390301312      0 375464    0    0     0    12 90562 384932  6  6 88  0  0
10  0   1768 390300928      0 375468    0    0     0     4 92481 383848  6  6 88  0  0
12  0   1768 390297728      0 375552    0    0     0     0 90081 393793  6  6 88  0  0
12  0   1768 390304256      0 375556    0    0     0     8 92817 387167  6  6 88  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0   1768 390308576      0 375564    0    0     0     0 92142 385786  6  6 88  0  0
10  0   1768 390306336      0 375572    0    0     0     4 91787 392652  6  6 88  0  0
 8  0   1768 390304736      0 375576    0    0     0     0 89744 384235  6  6 88  0  0
 6  0   1768 390306208      0 375584    0    0     0     4 94551 388667  6  6 88  0  0
10  0   1768 390303840      0 375592    0    0     0     8 89459 386468  6  6 88  0  0
 8  0   1768 390303648      0 375604    0    0    20     0 85189 393156  6  6 88  0  0
11  0   1768 390300352      0 375608    0    0     0    12 89433 385660  6  6 88  0  0
 9  0   1768 390299296      0 375616    0    0     0     4 92134 387744  6  6 88  0  0
11  0   1768 390313728      0 376168    0    0     0   956 92703 393434  6  6 88  0  0
11  0   1768 390311520      0 376172    0    0     0    20 89224 385484  6  5 88  0  0
 5  0   1768 390309408      0 376180    0    0     0     4 89395 386861  6  6 88  0  0
 9  0   1768 390307296      0 376184    0    0     0     4 92961 386728  6  6 88  0  0
 9  0   1768 390307488      0 376196    0    0     0     0 88785 388785  6  6 88  0  0
 7  0   1768 390308448      0 376136    0    0     0     4 92502 393319  6  6 88  0  0
