CPU NODE SOCKET CORE L1d:L1i:L2:L3 ONLINE    MAXMHZ    MINMHZ       MHZ
  0    0      0    0 0:0:0:0          yes 2300.0000 1000.0000 2300.0000
  1    1      1    1 16:16:16:1       yes 2300.0000 1000.0000 2300.0000
  2    0      0    2 7:7:7:0          yes 2300.0000 1000.0000 2300.0000
  3    1      1    3 23:23:23:1       yes 2300.0000 1000.0000 2300.0000
  4    0      0    4 1:1:1:0          yes 2300.0000 1000.0000 2300.0000
  5    1      1    5 17:17:17:1       yes 2300.0000 1000.0000 2300.0000
  6    0      0    6 6:6:6:0          yes 2300.0000 1000.0000 2300.0000
  7    1      1    7 22:22:22:1       yes 2300.0000 1000.0000 2300.0000
  8    0      0    8 2:2:2:0          yes 2300.0000 1000.0000 2300.0000
  9    1      1    9 18:18:18:1       yes 2300.0000 1000.0000 2300.0000
 10    0      0   10 5:5:5:0          yes 2300.0000 1000.0000 2300.0000
 11    1      1   11 21:21:21:1       yes 2300.0000 1000.0000 2300.0000
 12    0      0   12 3:3:3:0          yes 2300.0000 1000.0000 2300.0000
 13    1      1   13 19:19:19:1       yes 2300.0000 1000.0000 2300.0000
 14    0      0   14 4:4:4:0          yes 2300.0000 1000.0000 2300.0000
 15    1      1   15 20:20:20:1       yes 2300.0000 1000.0000 2300.0000
 16    0      0   16 8:8:8:0          yes 2300.0000 1000.0000 2300.0000
 17    1      1   17 24:24:24:1       yes 2300.0000 1000.0000 2300.0000
 18    0      0   18 15:15:15:0       yes 2300.0000 1000.0000 2300.0000
 19    1      1   19 31:31:31:1       yes 2300.0000 1000.0000 2300.0000
 20    0      0   20 9:9:9:0          yes 2300.0000 1000.0000 2300.0000
 21    1      1   21 25:25:25:1       yes 2300.0000 1000.0000 2300.0000
 22    0      0   22 14:14:14:0       yes 2300.0000 1000.0000 2300.0000
 23    1      1   23 30:30:30:1       yes 2300.0000 1000.0000 2300.0000
 24    0      0   24 10:10:10:0       yes 2300.0000 1000.0000 2300.0000
 25    1      1   25 26:26:26:1       yes 2300.0000 1000.0000 2300.0000
 26    0      0   26 13:13:13:0       yes 2300.0000 1000.0000 2300.0000
 27    1      1   27 29:29:29:1       yes 2300.0000 1000.0000 2300.0000
 28    0      0   28 11:11:11:0       yes 2300.0000 1000.0000 2300.0000
 29    1      1   29 27:27:27:1       yes 2300.0000 1000.0000 2300.0000
 30    0      0   30 12:12:12:0       yes 2300.0000 1000.0000 2300.0000
 31    1      1   31 28:28:28:1       yes 2300.0000 1000.0000 2300.0000
 32    0      0    0 0:0:0:0          yes 2300.0000 1000.0000 2300.0000
 33    1      1    1 16:16:16:1       yes 2300.0000 1000.0000 2300.0000
 34    0      0    2 7:7:7:0          yes 2300.0000 1000.0000 2300.0000
 35    1      1    3 23:23:23:1       yes 2300.0000 1000.0000 2300.0000
 36    0      0    4 1:1:1:0          yes 2300.0000 1000.0000 2300.0000
 37    1      1    5 17:17:17:1       yes 2300.0000 1000.0000 2300.0000
 38    0      0    6 6:6:6:0          yes 2300.0000 1000.0000 2300.0000
 39    1      1    7 22:22:22:1       yes 2300.0000 1000.0000 2300.0000
 40    0      0    8 2:2:2:0          yes 2300.0000 1000.0000 2300.0000
 41    1      1    9 18:18:18:1       yes 2300.0000 1000.0000 2300.0000
 42    0      0   10 5:5:5:0          yes 2300.0000 1000.0000 2300.0000
 43    1      1   11 21:21:21:1       yes 2300.0000 1000.0000 2299.8989
 44    0      0   12 3:3:3:0          yes 2300.0000 1000.0000 2300.0000
 45    1      1   13 19:19:19:1       yes 2300.0000 1000.0000 2300.0000
 46    0      0   14 4:4:4:0          yes 2300.0000 1000.0000 2300.0000
 47    1      1   15 20:20:20:1       yes 2300.0000 1000.0000 2300.0000
 48    0      0   16 8:8:8:0          yes 2300.0000 1000.0000 2300.0000
 49    1      1   17 24:24:24:1       yes 2300.0000 1000.0000 2300.0000
 50    0      0   18 15:15:15:0       yes 2300.0000 1000.0000 2300.0000
 51    1      1   19 31:31:31:1       yes 2300.0000 1000.0000 2300.0000
 52    0      0   20 9:9:9:0          yes 2300.0000 1000.0000 2300.0000
 53    1      1   21 25:25:25:1       yes 2300.0000 1000.0000 2300.0000
 54    0      0   22 14:14:14:0       yes 2300.0000 1000.0000 2300.0000
 55    1      1   23 30:30:30:1       yes 2300.0000 1000.0000 2300.0000
 56    0      0   24 10:10:10:0       yes 2300.0000 1000.0000 2300.0000
 57    1      1   25 26:26:26:1       yes 2300.0000 1000.0000 2300.0000
 58    0      0   26 13:13:13:0       yes 2300.0000 1000.0000 2300.0000
 59    1      1   27 29:29:29:1       yes 2300.0000 1000.0000 2300.0000
 60    0      0   28 11:11:11:0       yes 2300.0000 1000.0000 2300.0000
 61    1      1   29 27:27:27:1       yes 2300.0000 1000.0000 2300.0000
 62    0      0   30 12:12:12:0       yes 2300.0000 1000.0000 2300.0000
 63    1      1   31 28:28:28:1       yes 2300.0000 1000.0000 2300.0000
