Linux 5.14.0-570.60.1.el9_6.x86_64 *****) 	04/17/2026 	_x86_64_	(64 CPU)

02:42:28 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:42:29 PM  all    5.51    0.00    0.63    0.11    0.08    0.06    0.00    0.00    0.00   93.62
02:42:29 PM    0    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
02:42:29 PM    1    1.98    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   96.04
02:42:29 PM    2   99.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
02:42:29 PM    3    2.00    0.00    3.00    0.00    0.00    0.00    0.00    0.00    0.00   95.00
02:42:29 PM    4   99.01    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00
02:42:29 PM    5    0.99    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   97.03
02:42:29 PM    6   21.21    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   77.78
02:42:29 PM    7    4.04    0.00    2.02    0.00    0.00    0.00    0.00    0.00    0.00   93.94
02:42:29 PM    8   88.78    0.00    3.06    5.10    1.02    0.00    0.00    0.00    0.00    2.04
02:42:29 PM    9    0.00    0.00    2.00    0.00    1.00    0.00    0.00    0.00    0.00   97.00
02:42:29 PM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:42:29 PM   11    2.02    0.00    3.03    0.00    0.00    0.00    0.00    0.00    0.00   94.95
02:42:29 PM   12    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00   99.00
02:42:29 PM   13    1.00    0.00    1.00    0.00    1.00    0.00    0.00    0.00    0.00   97.00
02:42:29 PM   14    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00    0.00   99.01
02:42:29 PM   15    1.01    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   97.98
02:42:29 PM   16    1.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.99
02:42:29 PM   17    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
02:42:29 PM   18    1.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   98.00
02:42:29 PM   19    1.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   97.00
02:42:29 PM   20    1.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.00
02:42:29 PM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:42:29 PM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:42:29 PM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:42:29 PM   24    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
