procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2184 390669120      0 1073012    0    0     2     2    0    0  0  0 100  0  0
 2  0   2184 390657600      0 1073668    0    0   160 43084 8345 5897  0  1 99  0  0
 1  0   2184 390631424      0 1073732    0    0     8  1024 9842 6119  0  1 99  0  0
 2  0   2184 390543584      0 1092388    0    0 18848     4 5321 5692  2  0 98  0  0
 3  0   2184 390536512      0 1105928    0    0 15500    44 4854 8131  3  0 97  0  0
 1  0   2184 390419584      0 1122964    0    0 19632    32 5777 7230  2  0 97  0  0
 1  0   2184 390397792      0 1108832    0    0  2400 12324 3651 3507  2  0 97  0  0
43  0   2184 390258912      0 1111840    0    0  2052    16 6801 7131  5  0 95  0  0
24  0   2184 390193856      0 1112208    0    0    76   536 6971 7517  7  0 93  0  0
15  0   2184 390122016      0 1115808    0    0  3560     4 7034 10220  7  0 93  0  0
16  0   2184 390010048      0 1116440    0    0   544    76 7677 14242  7  1 93  0  0
14  0   2184 389906720      0 1117400    0    0   572  1044 8884 17030  8  1 92  0  0
27  0   2184 389812224      0 1117596    0    0    80    28 8767 20393  7  1 92  0  0
31  0   2184 389805344      0 1118140    0    0   340    48 8613 23748  7  1 93  0  0
20  0   2184 389762688      0 1118400    0    0     8     0 8975 26024  7  1 92  0  0
18  0   2184 389750400      0 1118912    0    0     0     0 9673 29325  7  1 92  0  0
26  0   2184 389748000      0 1119664    0    0     0   488 10917 30896  7  1 92  0  0
30  0   2184 389743776      0 1120380    0    0     0    40 9565 30515  7  1 93  0  0
22  0   2184 389755456      0 1120780    0    0    88    80 9377 30836  6  1 93  0  0
42  0   2184 389697856      0 1121940    0    0     0     0 9482 30956  7  1 93  0  0
38  0   2184 389709696      0 1123212    0    0  1024     8 10215 32016  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0   2184 389654976      0 1124412    0    0   292  1104 10232 33052  7  1 92  0  0
41  0   2184 389634368      0 1125276    0    0   188     0 10241 33273  7  1 92  0  0
28  0   2184 389616032      0 1125816    0    0   252    40 9754 33045  6  1 93  0  0
36  0   2184 389611456      0 1126684    0    0   176     4 9741 33179  6  1 93  0  0
35  0   2184 389610848      0 1126940    0    0     0    76 9718 33923  6  1 93  0  0
39  0   2184 389589696      0 1130172    0    0     0     0 10989 34610  7  1 92  0  0
32  0   2184 389541152      0 1131304    0    0   136    16 10181 33565  7  1 92  0  0
21  0   2184 389542560      0 1131620    0    0    16    92 9833 33686  6  1 93  0  0
36  0   2184 389509696      0 1135064    0    0    44   592 10373 33648  7  1 92  0  0
32  0   2184 389492352      0 1135848    0    0   256    20 10211 34657  6  1 93  0  0
27  0   2184 389471136      0 1136168    0    0     0   680 10211 34543  6  1 93  0  0
14  0   2184 389470784      0 1137340    0    0    92     0 11503 34447  7  1 92  0  0
44  0   2184 389471904      0 1137776    0    0   124     8 10008 34733  6  1 93  0  0
35  0   2184 389473408      0 1138032    0    0     0     0 9608 34284  6  1 93  0  0
17  0   2184 389450336      0 1138860    0    0   128    48 9894 33938  7  1 92  0  0
15  0   2184 389450464      0 1139296    0    0    64    16 10893 35472  7  1 92  0  0
29  0   2184 389451744      0 1139608    0    0     0    96 9987 34852  6  1 93  0  0
34  0   2184 389451712      0 1139928    0    0    24   304 9819 35141  6  1 93  0  0
29  0   2184 389484096      0 1143332    0    0   356    12 12235 35146  7  1 92  0  0
23  0   2184 389528032      0 1143624    0    0     0     0 10157 35541  6  1 93  0  0
20  0   2184 389523808      0 1144328    0    0     0   136 10084 35290  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
15  0   2184 389521408      0 1144644    0    0     0   344 9853 34949  6  1 93  0  0
22  0   2184 389515552      0 1145408    0    0    76     8 10460 35289  7  1 92  0  0
22  0   2184 389514336      0 1145720    0    0     0     0 9964 35144  6  1 93  0  0
36  0   2184 389436640      0 1146372    0    0     4     8 10145 34987  6  1 92  0  0
31  0   2184 389431936      0 1146936    0    0   128     0 10651 35697  7  1 92  0  0
26  0   2184 389402944      0 1148028    0    0    16     0 10382 35276  7  1 92  0  0
20  0   2184 389402688      0 1148756    0    0    68  1132 9844 34850  6  1 93  0  0
