procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0   2184 390613184      0 1061716    0    0     2     2    0    0  0  0 100  0  0
 1  0   2184 390599232      0 1062304    0    0   156 74904 8496 6703  0  1 99  0  0
 1  0   2184 390577792      0 1062340    0    0     0     4 10218 5471  0  1 99  0  0
 3  0   2184 390480256      0 1081188    0    0 18876     8 5371 5692  2  0 98  0  0
 2  0   2184 390459936      0 1094596    0    0 15696    36 4902 7899  3  0 97  0  0
 3  0   2184 390376960      0 1113768    0    0 19848   860 7560 8501  4  0 96  0  0
 0  0   2184 390325088      0 1117040    0    0  2252    12 3390 2897  2  0 97  0  0
 7  0   2184 390208000      0 1119428    0    0  2020   676 6552 9123  5  0 95  0  0
 8  0   2184 390098016      0 1123364    0    0  3968     4 7453 10460  7  0 93  0  0
11  0   2184 389960544      0 1123956    0    0   500     4 8600 16479  7  1 93  0  0
 9  0   2184 389860256      0 1124140    0    0    88  2168 12820 32745  8  1 91  0  0
 9  0   2184 389822080      0 1124660    0    0   320   100 12556 38030  8  1 91  0  0
 6  0   2184 389807904      0 1125152    0    0   120     4 12373 41551  7  1 92  0  0
 7  0   2184 389771296      0 1125812    0    0   340     0 13058 42132  7  1 92  0  0
 9  0   2184 389753856      0 1126116    0    0     0    16 14232 44731  7  1 92  0  0
 7  0   2184 389655616      0 1128584    0    0  1112   520 18446 48096  8  1 91  0  0
 7  0   2184 389566432      0 1129892    0    0     0    52 14011 46226  7  1 92  0  0
 9  0   2184 389534816      0 1130904    0    0   300    48 14559 50825  7  1 92  0  0
10  0   2184 389502624      0 1133452    0    0   368    52 15629 53895  7  1 92  0  0
 8  0   2184 389491552      0 1133888    0    0   128     0 14926 55474  6  1 92  0  0
 8  0   2184 389476704      0 1134684    0    0   372  1392 16497 61644  6  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2184 389475680      0 1135132    0    0     0     0 16783 65414  7  1 92  0  0
 8  0   2184 389563232      0 1135704    0    0    68    64 23009 85524  7  2 92  0  0
 9  0   2184 389589504      0 1137120    0    0   792    40 24981 99928  7  2 92  0  0
 6  0   2184 389524128      0 1138192    0    0    36   108 26467 104944  7  2 91  0  0
 7  0   2184 389385408      0 1140152    0    0   140   404 30135 114172  8  2 90  0  0
 5  0   2184 389328288      0 1140908    0    0     4     8 33475 136439  7  2 91  0  0
13  0   2184 389204608      0 1142860    0    0   224    12 36960 140102  8  3 90  0  0
 7  0   2184 389210784      0 1144056    0    0     4    84 34120 139226  7  2 90  0  0
 7  0   2184 389226240      0 1148740    0    0     0   112 33723 136832  7  2 90  0  0
 7  0   2184 389228960      0 1149900    0    0   316   132 35767 140499  7  2 90  0  0
 8  0   2184 389158048      0 1152180    0    0   124    16 35245 142018  7  3 90  0  0
 7  0   2184 389148288      0 1153128    0    0     0 22728 34223 139564  7  2 90  0  0
 6  0   2184 389136832      0 1154608    0    0   104     0 30131 123036  8  2 90  0  0
 6  0   2184 389095840      0 1156276    0    0     4     0 29776 123765  7  3 90  0  0
 6  0   2184 389111968      0 1160404    0    0   360    48 36020 142889  8  3 90  0  0
 8  0   2184 389153344      0 1162160    0    0    16    56 35419 142798  7  3 90  0  0
 6  0   2184 389149760      0 1163040    0    0     0     8 33902 141019  7  3 90  0  0
 7  0   2184 389153856      0 1164404    0    0   444   324 32990 135979  7  3 90  0  0
 7  0   2184 389162336      0 1172980    0    0    84     4 35566 143564  7  2 90  0  0
 8  0   2184 389257344      0 1173860    0    0     4   604 34239 140149  7  3 91  0  0
 6  0   2184 389218976      0 1176072    0    0     0     0 34401 136650  8  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
11  0   2184 389230272      0 1177616    0    0     4     4 29523 123526  7  3 90  0  0
 4  0   2184 389228832      0 1178508    0    0     0    16 29211 124007  7  2 91  0  0
 8  0   2184 389254432      0 1179448    0    0     0     8 33474 139956  7  3 90  0  0
 6  0   2184 389187392      0 1181296    0    0     0     0 32620 131643  8  3 89  0  0
 7  0   2184 389186240      0 1182232    0    0     0     4 27279 117242  7  3 91  0  0
 5  0   2184 389116704      0 1184408    0    0    80     8 35844 145498  8  3 90  0  0
10  0   2184 388991744      0 1185392    0    0   100 29620 35346 141240  7  3 90  0  0
 9  0   2184 388949984      0 1191240    0    0     0    20 36563 138160  8  3 90  0  0
 6  0   2184 388961344      0 1193040    0    0   316   136 34385 139783  7  2 90  0  0
 6  0   2184 389037984      0 1193988    0    0     0     0 34759 142053  7  3 90  0  0
 7  0   2184 389079968      0 1194876    0    0     0     0 34737 138365  8  3 90  0  0
 6  0   2184 389020096      0 1197552    0    0   360     0 32621 133018  8  3 90  0  0
 9  0   2184 389018368      0 1198440    0    0     0   368 32409 135218  7  2 91  0  0
 7  0   2184 389027200      0 1185976    0    0   132   636 36453 140339  8  3 89  0  0
 2  0   2184 389007680      0 1187380    0    0     0     0 33441 138169  7  3 90  0  0
 6  0   2184 389004416      0 1189124    0    0     0     8 33091 136394  7  2 90  0  0
 8  0   2184 389024704      0 1191016    0    0   164     0 31641 124756  8  2 90  0  0
 6  0   2184 389100288      0 1199692    0    0     0    16 34086 134865  8  2 90  0  0
 6  0   2184 389158528      0 1200564    0    0    24   396 30699 124709  7  2 91  0  0
13  0   2184 389206976      0 1201516    0    0     0     0 35170 141446  7  2 90  0  0
 6  0   2184 389156992      0 1202940    0    0     0    16 35930 147351  7  3 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2184 389142272      0 1204428    0    0     0     0 33877 134196  8  3 90  0  0
 5  0   2184 389139104      0 1205920    0    0     0     0 28648 121347  7  2 90  0  0
 7  0   2184 389094592      0 1207312    0    0   128   184 36366 144327  8  3 90  0  0
 7  0   2184 389076544      0 1209048    0    0    16     4 33407 138015  7  3 90  0  0
 7  0   2184 389064704      0 1209928    0    0    20   476 34637 143585  7  3 90  0  0
10  0   2184 389043840      0 1211564    0    0   136     0 34559 142123  8  3 90  0  0
 7  0   2184 389030048      0 1216572    0    0     0 47900 30173 124696  7  2 90  0  0
10  0   2184 388977568      0 1218756    0    0     4   260 34508 137933  8  3 90  0  0
 4  0   2184 388941120      0 1221680    0    0     0     0 36427 145606  8  3 90  0  0
13  0   2184 388920064      0 1223324    0    0     0    12 31029 129532  7  3 90  0  0
