procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0   2184 390105952      0 1050608    0    0     2     2    0    0  0  0 100  0  0
 4  0   2184 390007104      0 1070552    0    0 18856     0 14022 11272  5  1 94  0  0
 4  0   2184 389922048      0 1076532    0    0  5800  1068 15241 10622  5  1 94  0  0
 8  1   2184 389817664      0 1097552    0    0 21404    12 11084 9702  6  0 93  0  0
 4  0   2184 389802336      0 1114396    0    0 16052  1488 9033 9016  8  0 92  0  0
 3  0   2184 389713760      0 1131780    0    0 19700    36 8612 7487  7  0 92  0  0
 1  0   2184 389663072      0 1134976    0    0  2884     4 3476 2766  3  0 97  0  0
 5  0   2184 389608256      0 1139972    0    0  3300   604 6160 10512  4  0 95  0  0
 6  0   2184 389575424      0 1140544    0    0   292     4 7928 11853  7  0 93  0  0
 9  0   2184 389567648      0 1140572    0    0     8  3656 7604 13359  7  0 93  0  0
 7  0   2184 389471584      0 1145516    0    0  4932    56 9950 18930  7  1 92  0  0
 9  0   2184 389426368      0 1145812    0    0   156    44 12854 29476  8  1 92  0  0
 7  0   2184 389414016      0 1145996    0    0    48    56 11992 31953  7  1 92  0  0
10  0   2184 389388704      0 1146268    0    0   132    24 12398 38333  7  1 92  0  0
10  0   2184 389351296      0 1144004    0    0   384   968 14936 39444  8  1 91  0  0
 7  0   2184 389204896      0 1145612    0    0   580     0 13073 34526  9  1 90  0  0
 7  0   2184 389202112      0 1145916    0    0    16    64 12127 32907  8  1 91  0  0
 7  0   2184 389197696      0 1147408    0    0     0    40 11312 35756  7  1 92  0  0
 6  0   2184 389137856      0 1148132    0    0   224    12 11860 39042  6  1 92  0  0
 6  0   2184 389137024      0 1148292    0    0     0  2512 12366 40338  6  1 93  0  0
 8  0   2184 389126880      0 1150156    0    0   764    20 13698 44271  7  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0   2184 389122880      0 1150376    0    0     0     0 14238 55001  6  1 92  0  0
 7  0   2184 389147392      0 1151020    0    0     4    68 14251 52625  6  1 92  0  0
 8  0   2184 389139616      0 1151720    0    0   372    40 15809 61273  7  1 92  0  0
 6  0   2184 389120096      0 1152188    0    0    80    12 15811 66501  7  1 92  0  0
 8  0   2184 389096800      0 1153552    0    0   676    68 16961 75234  7  2 92  0  0
 9  0   2184 389060800      0 1153944    0    0     0    48 16354 72221  7  2 92  0  0
 4  0   2184 389047616      0 1154800    0    0     8  9536 17281 82826  7  2 92  0  0
 5  0   2184 389025376      0 1155520    0    0    12   100 20102 104236  7  2 91  0  0
 5  0   2184 388956608      0 1156416    0    0    80   172 18816 107109  7  2 91  0  0
 4  0   2184 388877376      0 1159972    0    0   416    12 19558 109063  7  2 91  0  0
 5  0   2184 388878400      0 1160620    0    0     0    68 17692 112007  6  2 92  0  0
 5  0   2184 388789312      0 1161680    0    0   104     8 18045 111884  7  2 91  0  0
12  0   2184 388868960      0 1163040    0    0     0   124 21787 109943  8  2 90  0  0
 1  0   2184 388857184      0 1164044    0    0     0     0 18973 111528  7  2 91  0  0
 6  0   2184 388798912      0 1164748    0    0    64    48 18951 108663  6  2 91  0  0
 5  0   2184 388793024      0 1165376    0    0    64     4 19810 107122  7  2 91  0  0
 4  0   2184 388799744      0 1166664    0    0    92    64 19709 111480  8  2 90  0  0
 7  0   2184 388796544      0 1167308    0    0    36   440 18340 111874  6  2 91  0  0
 6  0   2184 388728640      0 1167928    0    0    64     8 18575 109024  6  2 92  0  0
 4  0   2184 388624384      0 1173936    0    0   516     4 19170 109856  8  2 90  0  0
 5  0   2184 388612864      0 1175208    0    0    84     0 19325 111341  7  2 91  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 6  0   2184 388619744      0 1176672    0    0     0 25916 18844 109836  7  2 91  0  0
 7  0   2184 388682944      0 1177324    0    0     0     0 20099 111757  7  2 91  0  0
 6  0   2184 388683968      0 1178916    0    0     0    16 20068 108751  8  2 90  0  0
 5  0   2184 388684544      0 1179560    0    0     0     8 18031 111296  6  2 92  0  0
 4  0   2184 388663296      0 1180668    0    0     0     0 18608 111912  7  2 91  0  0
 7  0   2184 388663168      0 1181312    0    0     0     8 18273 112279  6  2 91  0  0
 5  0   2184 388666496      0 1183108    0    0  1144     8 18653 112827  7  2 91  0  0
 4  0   2184 388672864      0 1183732    0    0    64   144 18553 111733  6  2 92  0  0
 5  0   2184 388606016      0 1189800    0    0   128    12 19520 110163  9  2 89  0  0
 5  0   2184 388565920      0 1191016    0    0   112     0 18385 102740  7  2 91  0  0
 4  0   2184 388551776      0 1191656    0    0     0     8 18256 109895  7  2 91  0  0
 6  0   2184 388576832      0 1193008    0    0   244     0 19294 112213  7  2 91  0  0
 7  0   2184 388566208      0 1196748    0    0    16    12 20407 109013  8  2 90  0  0
 4  0   2184 388567040      0 1197392    0    0     0    12 18128 108582  6  2 91  0  0
 6  0   2184 388589984      0 1197948    0    0     0   400 18740 110550  7  2 91  0  0
