procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0   2184 389779616      0 1112492    0    0     2     2    0    0  0  0 100  0  0
 5  0   2184 389724704      0 1122616    0    0  9964 52404 12897 9837  5  1 94  0  0
 4  1   2184 389642176      0 1134976    0    0 11396  1052 15135 11260  5  1 94  0  0
 3  0   2184 389601056      0 1142680    0    0  7664   272 7665 6539  5  0 95  0  0
 5  0   2184 389544320      0 1164988    0    0 20320  1920 8240 7990  6  0 93  0  0
 4  0   2184 389494528      0 1182500    0    0 17088    32 9725 9872  7  0 93  0  0
 3  0   2184 389411264      0 1195516    0    0 13096 32900 5646 6333  4  0 95  0  0
 1  0   2184 389342848      0 1201048    0    0  8652   592 5628 5639  4  0 96  0  0
 3  0   2184 389299648      0 1202544    0    0  1544     0 3192 6192  3  0 97  0  0
69  0   2184 389232960      0 1205256    0    0  2428  2808 8681 24576  8  1 91  0  0
88  0   2184 389220864      0 1210016    0    0     4    96 8053 21480  7  0 93  0  0
98  0   2184 389206784      0 1210076    0    0    28    44 8978 57571  6  1 93  0  0
79  0   2184 389205952      0 1210192    0    0    88    56 6670 11381  7  0 93  0  0
65  0   2184 389196896      0 1214324    0    0  4092    16 7986 12717  7  0 92  0  0
48  0   2184 389138112      0 1216220    0    0   320  1172 9937 22018  9  1 91  0  0
77  0   2184 389127904      0 1216500    0    0   232  3740 8919 13446  8  0 91  0  0
61  0   2184 389006816      0 1217680    0    0   876   160 9342 13988  8  1 91  0  0
78  0   2184 389006400      0 1218056    0    0   344    40 9507 14711  8  1 91  0  0
81  0   2184 388997632      0 1218204    0    0     0     4 9648 15459  8  1 91  0  0
75  0   2184 388980768      0 1220020    0    0   112    48 8879 16280  6  1 93  0  0
65  0   2184 388876864      0 1220752    0    0   300    20 9571 16901  7  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
77  0   2184 388876608      0 1220788    0    0     0     0 8803 17151  6  1 93  0  0
80  0   2184 388868960      0 1221048    0    0   112     0 9743 17230  6  1 93  0  0
78  0   2184 388863584      0 1221676    0    0   260    40 9516 18406  7  1 93  0  0
73  0   2184 388866624      0 1209284    0    0    20  1636 10619 19305  7  1 92  0  0
63  0   2184 388867296      0 1209440    0    0     0    68 9521 19506  6  1 93  0  0
58  0   2184 388826432      0 1210036    0    0   124     8 9720 19492  6  1 93  0  0
74  0   2184 388836672      0 1210464    0    0    28  2196 9742 19911  6  1 93  0  0
74  0   2184 388817792      0 1211540    0    0   240    48 10860 28118  7  1 93  0  0
68  0   2184 388814752      0 1211664    0    0     0   136 9471 19934  6  1 93  0  0
74  0   2184 388811552      0 1212076    0    0   316    28 9870 22201  6  1 93  0  0
68  0   2184 388894336      0 1212340    0    0     0    52 9372 19801  6  1 93  0  0
69  0   2184 388871360      0 1212848    0    0    80  2800 9699 26319  6  1 93  0  0
74  0   2184 388809664      0 1214164    0    0     0   628 9890 43469  6  1 93  0  0
70  0   2184 388785248      0 1214784    0    0     0     0 10677 37215  7  1 92  0  0
67  0   2184 388780896      0 1215176    0    0   320    48 10557 40761  6  1 93  0  0
67  0   2184 388779648      0 1215768    0    0    84    16 9948 28822  6  1 93  0  0
66  0   2184 388777408      0 1216564    0    0    16     4 10666 23456  6  1 93  0  0
62  0   2184 388740896      0 1217144    0    0    92   348 11747 106440  6  1 93  0  0
57  0   2184 388743680      0 1217348    0    0     0   128 9437 29790  6  1 93  0  0
73  0   2184 388745216      0 1217472    0    0     0    12 9694 24404  6  1 93  0  0
62  0   2184 388747264      0 1217688    0    0     0     0 9431 23862  6  1 93  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
66  0   2184 388823520      0 1217888    0    0     0     4 10137 25429  6  1 93  0  0
62  0   2184 388818304      0 1219592    0    0     0  4932 9977 25250  7  1 93  0  0
61  0   2184 388815712      0 1219852    0    0     0     8 10849 26208  7  1 92  0  0
67  0   2184 388799296      0 1220044    0    0     0     0 9864 31658  6  1 93  0  0
64  0   2184 388788352      0 1220256    0    0     0     0 9754 27991  6  1 93  0  0
65  0   2184 388760928      0 1220768    0    0     0     8 10338 28486  6  1 92  0  0
67  0   2184 388754752      0 1221984    0    0   432  4876 10423 28974  6  1 92  0  0
61  0   2184 388685696      0 1222420    0    0     0   132 10320 29035  6  1 93  0  0
69  0   2184 388672672      0 1222828    0    0   200     0 10137 29252  6  1 93  0  0
78  0   2184 388669568      0 1223584    0    0   324     0 10239 48079  6  1 93  0  0
64  0   2184 388696256      0 1224084    0    0    64     8 13246 218436  6  1 93  0  0
22  0   2184 388688608      0 1226508    0    0   532     4 11845 81802  7  1 92  0  0
69  0   2184 388688352      0 1227064    0    0   132    20 12091 46881  7  1 92  0  0
70  0   2184 388689824      0 1227464    0    0     0     8 13290 343133  6  1 93  0  0
 6  0   2184 388688320      0 1227728    0    0     0     0 12482 85087  6  1 93  0  0
71  0   2184 388709248      0 1228000    0    0     0     8 12233 219310  6  1 92  0  0
73  0   2184 388687872      0 1230400    0    0  1216    16 11060 130077  7  1 92  0  0
68  0   2184 388687520      0 1230656    0    0     0  6488 10882 79473  6  1 93  0  0
62  0   2184 388687008      0 1230928    0    0     0    20 13259 193675  6  1 93  0  0
33  0   2184 388690112      0 1231184    0    0     0     8 10881 117483  6  1 93  0  0
81  0   2184 388672960      0 1231828    0    0     0   608 11698 211895  6  1 92  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
57  0   2184 388675040      0 1234220    0    0    20   444 13902 262207  6  1 92  0  0
74  0   2184 388670784      0 1235352    0    0     0   128 15413 483397  6  2 92  0  0
27  0   2184 388655136      0 1235888    0    0     0     0 13125 117867  6  1 92  0  0
82  0   2184 388655360      0 1236148    0    0     0    12 11898 56112  6  1 93  0  0
66  0   2184 388646496      0 1236792    0    0     0   212 15044 356578  6  2 93  0  0
60  0   2184 388646048      0 1237452    0    0    16     8 13206 118869  6  1 92  0  0
