"Value","Percentile","TotalCount","1/(1-Percentile)"
0.39,0.000000000000,1,1.00
1.56,0.100000000000,45258,1.11
2.54,0.200000000000,90854,1.25
3.47,0.300000000000,135750,1.43
4.39,0.400000000000,181120,1.67
5.41,0.500000000000,226352,2.00
5.96,0.550000000000,248751,2.22
6.59,0.600000000000,271687,2.50
7.24,0.650000000000,293906,2.86
8.00,0.700000000000,315817,3.33
8.85,0.750000000000,338581,4.00
9.37,0.775000000000,350685,4.44
9.90,0.800000000000,361026,5.00
10.55,0.825000000000,372983,5.71
11.27,0.850000000000,383673,6.67
12.12,0.875000000000,394701,8.00
12.65,0.887500000000,400667,8.89
13.24,0.900000000000,406444,10.00
13.83,0.912500000000,411815,11.43
14.55,0.925000000000,417413,13.33
15.40,0.937500000000,423003,16.00
15.93,0.943750000000,425810,17.78
16.45,0.950000000000,428518,20.00
17.17,0.956250000000,431695,22.86
17.83,0.962500000000,434189,26.67
18.74,0.968750000000,436989,32.00
19.27,0.971875000000,438410,35.56
19.92,0.975000000000,439959,40.00
20.58,0.978125000000,441268,45.71
21.36,0.981250000000,442755,53.33
22.28,0.984375000000,444055,64.00
22.81,0.985937500000,444731,71.11
23.46,0.987500000000,445443,80.00
24.25,0.989062500000,446149,91.43
25.17,0.990625000000,446835,106.67
26.08,0.992187500000,447565,128.00
26.61,0.992968750000,447912,142.22
27.26,0.993750000000,448320,160.00
27.79,0.994531250000,448597,182.86
28.84,0.995312500000,448984,213.33
29.88,0.996093750000,449346,256.00
30.28,0.996484375000,449486,284.44
31.33,0.996875000000,449677,320.00
31.98,0.997265625000,449871,365.71
32.77,0.997656250000,450009,426.67
34.08,0.998046875000,450201,512.00
34.87,0.998242187500,450298,568.89
35.39,0.998437500000,450369,640.00
36.44,0.998632812500,450467,731.43
36.96,0.998828125000,450543,853.33
38.27,0.999023437500,450642,1024.00
38.54,0.999121093750,450678,1137.78
39.06,0.999218750000,450712,1280.00
40.63,0.999316406250,450761,1462.86
41.94,0.999414062500,450801,1706.67
43.52,0.999511718750,450843,2048.00
44.83,0.999560546875,450869,2275.56
46.40,0.999609375000,450890,2560.00
46.92,0.999658203125,450913,2925.71
47.97,0.999707031250,450931,3413.33
50.07,0.999755859375,450953,4096.00
51.12,0.999780273438,450965,4551.11
51.90,0.999804687500,450975,5120.00
52.69,0.999829101563,450988,5851.43
54.26,0.999853515625,450998,6826.67
57.41,0.999877929688,451011,8192.00
57.93,0.999890136719,451014,9102.22
59.77,0.999902343750,451019,10240.00
60.82,0.999914550781,451026,11702.86
61.60,0.999926757813,451033,13653.33
61.87,0.999938964844,451039,16384.00
61.87,0.999945068359,451039,18204.44
62.13,0.999951171875,451043,20480.00
63.18,0.999957275391,451044,23405.71
65.80,0.999963378906,451047,27306.67
68.16,0.999969482422,451050,32768.00
70.78,0.999972534180,451052,36408.89
70.78,0.999975585938,451052,40960.00
72.35,0.999978637695,451054,46811.43
73.92,0.999981689453,451055,54613.33
74.97,0.999984741211,451059,65536.00
74.97,0.999986267090,451059,72817.78
74.97,0.999987792969,451059,81920.00
74.97,0.999989318848,451059,93622.86
74.97,0.999990844727,451059,109226.67
75.50,0.999992370605,451062,131072.00
75.50,0.999993133545,451062,145635.56
75.50,0.999993896484,451062,163840.00
75.50,0.999994659424,451062,187245.71
75.50,0.999995422363,451062,218453.33
75.50,0.999996185303,451062,262144.00
75.50,0.999996566772,451062,291271.11
75.50,0.999996948242,451062,327680.00
75.50,0.999997329712,451062,374491.43
75.50,0.999997711182,451062,436906.67
84.93,0.999998092651,451063,524288.00
84.93,1.000000000000,451063,Infinity
