"Value","Percentile","TotalCount","1/(1-Percentile)"
0.35,0.000000000000,1,1.00
1.86,0.100000000000,133646,1.11
3.13,0.200000000000,267373,1.25
4.33,0.300000000000,403397,1.43
5.51,0.400000000000,534092,1.67
6.82,0.500000000000,668418,2.00
7.54,0.550000000000,734880,2.22
8.32,0.600000000000,799928,2.50
9.24,0.650000000000,867579,2.86
10.29,0.700000000000,936030,3.33
11.47,0.750000000000,1001072,4.00
12.12,0.775000000000,1032713,4.44
12.91,0.800000000000,1065913,5.00
13.83,0.825000000000,1100000,5.71
14.88,0.850000000000,1132702,6.67
16.06,0.875000000000,1165425,8.00
16.78,0.887500000000,1182150,8.89
17.56,0.900000000000,1199124,10.00
18.61,0.912500000000,1217208,11.43
19.66,0.925000000000,1232418,13.33
21.10,0.937500000000,1249816,16.00
21.89,0.943750000000,1257480,17.78
22.81,0.950000000000,1265775,20.00
23.72,0.956250000000,1273522,22.86
25.03,0.962500000000,1282044,26.67
26.61,0.968750000000,1290344,32.00
27.53,0.971875000000,1294698,35.56
28.57,0.975000000000,1298801,40.00
29.75,0.978125000000,1302640,45.71
31.33,0.981250000000,1306919,53.33
33.29,0.984375000000,1311008,64.00
34.60,0.985937500000,1313003,71.11
36.18,0.987500000000,1315298,80.00
37.75,0.989062500000,1317293,91.43
39.85,0.990625000000,1319285,106.67
42.99,0.992187500000,1321396,128.00
45.09,0.992968750000,1322393,142.22
47.45,0.993750000000,1323429,160.00
50.86,0.994531250000,1324511,182.86
54.26,0.995312500000,1325482,213.33
59.24,0.996093750000,1326524,256.00
62.39,0.996484375000,1327037,284.44
65.80,0.996875000000,1327560,320.00
69.73,0.997265625000,1328077,365.71
75.50,0.997656250000,1328639,426.67
79.69,0.998046875000,1329118,512.00
82.31,0.998242187500,1329389,568.89
85.98,0.998437500000,1329645,640.00
90.70,0.998632812500,1329930,731.43
95.94,0.998828125000,1330159,853.33
106.43,0.999023437500,1330426,1024.00
111.67,0.999121093750,1330556,1137.78
119.54,0.999218750000,1330688,1280.00
124.78,0.999316406250,1330816,1462.86
131.07,0.999414062500,1330941,1706.67
139.46,0.999511718750,1331068,2048.00
144.70,0.999560546875,1331151,2275.56
147.85,0.999609375000,1331207,2560.00
154.14,0.999658203125,1331263,2925.71
166.72,0.999707031250,1331330,3413.33
176.16,0.999755859375,1331394,4096.00
186.65,0.999780273438,1331430,4551.11
200.28,0.999804687500,1331458,5120.00
216.01,0.999829101563,1331492,5851.43
245.37,0.999853515625,1331524,6826.67
267.39,0.999877929688,1331556,8192.00
278.92,0.999890136719,1331573,9102.22
299.89,0.999902343750,1331588,10240.00
341.84,0.999914550781,1331607,11702.86
843.06,0.999926757813,1331621,13653.33
905.97,0.999938964844,1331637,16384.00
947.91,0.999945068359,1331645,18204.44
994.05,0.999951171875,1331655,20480.00
1124.07,0.999957275391,1331662,23405.71
1358.95,0.999963378906,1331670,27306.67
1384.12,0.999969482422,1331679,32768.00
1400.90,0.999972534180,1331682,36408.89
1409.29,0.999975585938,1331687,40960.00
1434.45,0.999978637695,1331690,46811.43
1459.62,0.999981689453,1331694,54613.33
1476.40,0.999984741211,1331699,65536.00
1484.78,0.999986267090,1331704,72817.78
1484.78,0.999987792969,1331704,81920.00
1484.78,0.999989318848,1331704,93622.86
1501.56,0.999990844727,1331707,109226.67
1509.95,0.999992370605,1331709,131072.00
1509.95,0.999993133545,1331709,145635.56
1518.34,0.999993896484,1331715,163840.00
1518.34,0.999994659424,1331715,187245.71
1518.34,0.999995422363,1331715,218453.33
1518.34,0.999996185303,1331715,262144.00
1518.34,0.999996566772,1331715,291271.11
1518.34,0.999996948242,1331715,327680.00
1518.34,0.999997329712,1331715,374491.43
1518.34,0.999997711182,1331715,436906.67
1585.45,0.999998092651,1331718,524288.00
1585.45,1.000000000000,1331718,Infinity
