"Value","Percentile","TotalCount","1/(1-Percentile)"
0.39,0.000000000000,1,1.00
2.06,0.100000000000,102009,1.11
3.52,0.200000000000,204645,1.25
4.88,0.300000000000,306201,1.43
6.29,0.400000000000,408934,1.67
7.86,0.500000000000,510378,2.00
8.78,0.550000000000,561877,2.22
9.76,0.600000000000,612477,2.50
10.94,0.650000000000,663973,2.86
12.32,0.700000000000,714333,3.33
14.02,0.750000000000,765030,4.00
15.07,0.775000000000,790532,4.44
16.38,0.800000000000,816856,5.00
17.83,0.825000000000,841579,5.71
19.79,0.850000000000,868304,6.67
22.15,0.875000000000,892834,8.00
23.59,0.887500000000,905407,8.89
25.30,0.900000000000,918203,10.00
27.26,0.912500000000,931059,11.43
29.62,0.925000000000,943603,13.33
32.64,0.937500000000,956445,16.00
34.34,0.943750000000,962993,17.78
36.18,0.950000000000,968818,20.00
38.54,0.956250000000,975497,22.86
40.89,0.962500000000,981530,26.67
44.04,0.968750000000,987862,32.00
45.61,0.971875000000,991163,35.56
47.45,0.975000000000,994214,40.00
49.81,0.978125000000,997516,45.71
52.43,0.981250000000,1000766,53.33
55.57,0.984375000000,1003949,64.00
57.15,0.985937500000,1005514,71.11
59.24,0.987500000000,1007093,80.00
61.60,0.989062500000,1008654,91.43
64.49,0.990625000000,1010208,106.67
67.63,0.992187500000,1011855,128.00
69.73,0.992968750000,1012681,142.22
71.83,0.993750000000,1013462,160.00
74.45,0.994531250000,1014208,182.86
77.59,0.995312500000,1014997,213.33
81.26,0.996093750000,1015785,256.00
83.36,0.996484375000,1016145,284.44
85.98,0.996875000000,1016554,320.00
88.60,0.997265625000,1016937,365.71
91.75,0.997656250000,1017307,426.67
96.99,0.998046875000,1017704,512.00
99.61,0.998242187500,1017913,568.89
103.28,0.998437500000,1018100,640.00
108.53,0.998632812500,1018300,731.43
117.96,0.998828125000,1018504,853.33
130.02,0.999023437500,1018702,1024.00
139.46,0.999121093750,1018803,1137.78
146.80,0.999218750000,1018904,1280.00
154.14,0.999316406250,1019003,1462.86
166.72,0.999414062500,1019098,1706.67
181.40,0.999511718750,1019200,2048.00
187.70,0.999560546875,1019249,2275.56
195.04,0.999609375000,1019296,2560.00
210.76,0.999658203125,1019350,2925.71
217.06,0.999707031250,1019403,3413.33
232.78,0.999755859375,1019446,4096.00
244.32,0.999780273438,1019471,4551.11
257.95,0.999804687500,1019497,5120.00
276.82,0.999829101563,1019519,5851.43
301.99,0.999853515625,1019546,6826.67
327.16,0.999877929688,1019569,8192.00
339.74,0.999890136719,1019582,9102.22
400.56,0.999902343750,1019594,10240.00
440.40,0.999914550781,1019606,11702.86
463.47,0.999926757813,1019621,13653.33
526.39,0.999938964844,1019631,16384.00
553.65,0.999945068359,1019638,18204.44
599.79,0.999951171875,1019645,20480.00
641.73,0.999957275391,1019650,23405.71
704.64,0.999963378906,1019656,27306.67
926.94,0.999969482422,1019664,32768.00
931.14,0.999972534180,1019665,36408.89
947.91,0.999975585938,1019671,40960.00
952.11,0.999978637695,1019680,46811.43
952.11,0.999981689453,1019680,54613.33
952.11,0.999984741211,1019680,65536.00
952.11,0.999986267090,1019680,72817.78
956.30,0.999987792969,1019681,81920.00
977.27,0.999989318848,1019683,93622.86
981.47,0.999990844727,1019684,109226.67
1010.83,0.999992370605,1019690,131072.00
1010.83,0.999993133545,1019690,145635.56
1010.83,0.999993896484,1019690,163840.00
1010.83,0.999994659424,1019690,187245.71
1010.83,0.999995422363,1019690,218453.33
1010.83,0.999996185303,1019690,262144.00
1010.83,0.999996566772,1019690,291271.11
1010.83,0.999996948242,1019690,327680.00
1048.58,0.999997329712,1019691,374491.43
1048.58,0.999997711182,1019691,436906.67
1052.77,0.999998092651,1019693,524288.00
1052.77,1.000000000000,1019693,Infinity
