"Value","Percentile","TotalCount","1/(1-Percentile)"
0.38,0.000000000000,1,1.00
1.65,0.100000000000,42067,1.11
2.69,0.200000000000,83671,1.25
3.74,0.300000000000,125934,1.43
4.78,0.400000000000,167585,1.67
5.87,0.500000000000,209180,2.00
6.49,0.550000000000,230793,2.22
7.14,0.600000000000,251853,2.50
7.86,0.650000000000,272654,2.86
8.72,0.700000000000,294218,3.33
9.63,0.750000000000,314449,4.00
10.22,0.775000000000,325366,4.44
10.81,0.800000000000,335619,5.00
11.47,0.825000000000,345799,5.71
12.26,0.850000000000,356174,6.67
13.11,0.875000000000,366068,8.00
13.63,0.887500000000,371781,8.89
14.22,0.900000000000,376903,10.00
14.88,0.912500000000,382008,11.43
15.60,0.925000000000,387019,13.33
16.52,0.937500000000,392360,16.00
17.04,0.943750000000,394834,17.78
17.69,0.950000000000,397733,20.00
18.35,0.956250000000,400255,22.86
19.01,0.962500000000,402626,26.67
19.92,0.968750000000,405344,32.00
20.45,0.971875000000,406599,35.56
21.10,0.975000000000,407988,40.00
21.89,0.978125000000,409325,45.71
22.68,0.981250000000,410551,53.33
23.59,0.984375000000,411786,64.00
24.25,0.985937500000,412483,71.11
24.90,0.987500000000,413154,80.00
25.56,0.989062500000,413757,91.43
26.61,0.990625000000,414448,106.67
27.66,0.992187500000,415138,128.00
28.05,0.992968750000,415401,142.22
28.70,0.993750000000,415688,160.00
29.62,0.994531250000,416039,182.86
30.54,0.995312500000,416359,213.33
31.72,0.996093750000,416696,256.00
32.24,0.996484375000,416849,284.44
32.90,0.996875000000,417001,320.00
33.82,0.997265625000,417171,365.71
35.13,0.997656250000,417355,426.67
35.91,0.998046875000,417503,512.00
36.70,0.998242187500,417607,568.89
36.96,0.998437500000,417649,640.00
37.75,0.998632812500,417725,731.43
39.32,0.998828125000,417816,853.33
41.16,0.999023437500,417898,1024.00
42.21,0.999121093750,417932,1137.78
43.25,0.999218750000,417974,1280.00
45.09,0.999316406250,418019,1462.86
46.14,0.999414062500,418051,1706.67
47.45,0.999511718750,418092,2048.00
48.23,0.999560546875,418118,2275.56
49.28,0.999609375000,418133,2560.00
51.12,0.999658203125,418154,2925.71
54.26,0.999707031250,418181,3413.33
54.79,0.999755859375,418195,4096.00
55.57,0.999780273438,418205,4551.11
57.15,0.999804687500,418216,5120.00
57.67,0.999829101563,418226,5851.43
58.72,0.999853515625,418236,6826.67
61.60,0.999877929688,418251,8192.00
61.60,0.999890136719,418251,9102.22
61.87,0.999902343750,418257,10240.00
66.85,0.999914550781,418261,11702.86
73.92,0.999926757813,418275,13653.33
73.92,0.999938964844,418275,16384.00
73.92,0.999945068359,418275,18204.44
74.45,0.999951171875,418276,20480.00
74.97,0.999957275391,418279,23405.71
75.50,0.999963378906,418281,27306.67
77.59,0.999969482422,418284,32768.00
78.12,0.999972534180,418285,36408.89
79.17,0.999975585938,418286,40960.00
80.22,0.999978637695,418288,46811.43
86.51,0.999981689453,418289,54613.33
87.56,0.999984741211,418290,65536.00
89.65,0.999986267090,418291,72817.78
89.65,0.999987792969,418291,81920.00
96.99,0.999989318848,418292,93622.86
97.52,0.999990844727,418293,109226.67
97.52,0.999992370605,418293,131072.00
101.19,0.999993133545,418294,145635.56
101.19,0.999993896484,418294,163840.00
101.19,0.999994659424,418294,187245.71
118.49,0.999995422363,418296,218453.33
118.49,1.000000000000,418296,Infinity
