Timestamp,Agent,MinSessions,MaxSessions
1780424154884,in-vm,0,100
1780424155883,in-vm,100,100
1780424156883,in-vm,100,100
1780424157884,in-vm,100,100
1780424158883,in-vm,100,100
1780424159883,in-vm,100,100
1780424160883,in-vm,100,100
1780424161883,in-vm,100,100
1780424162886,in-vm,100,100
1780424163883,in-vm,100,100
1780424164883,in-vm,100,100
1780424165884,in-vm,100,100
1780424166884,in-vm,100,100
1780424167883,in-vm,100,100
1780424168883,in-vm,100,100
1780424169883,in-vm,100,100
1780424170883,in-vm,100,100
1780424171883,in-vm,100,100
1780424172883,in-vm,100,100
1780424173883,in-vm,100,100
1780424174883,in-vm,100,100
1780424175883,in-vm,100,100
1780424176883,in-vm,100,100
1780424177883,in-vm,100,100
1780424178883,in-vm,100,100
1780424179884,in-vm,100,100
1780424180884,in-vm,100,100
1780424181884,in-vm,100,100
1780424182884,in-vm,100,100
1780424183883,in-vm,100,100
