"Value","Percentile","TotalCount","1/(1-Percentile)"
0.80,0.000000000000,1,1.00
4.65,0.100000000000,16467,1.11
7.50,0.200000000000,32791,1.25
10.16,0.300000000000,49277,1.43
12.85,0.400000000000,65494,1.67
15.60,0.500000000000,81865,2.00
17.04,0.550000000000,90084,2.22
18.61,0.600000000000,98500,2.50
20.32,0.650000000000,106328,2.86
22.28,0.700000000000,114889,3.33
24.51,0.750000000000,122877,4.00
25.69,0.775000000000,126753,4.44
27.13,0.800000000000,130982,5.00
28.70,0.825000000000,134919,5.71
30.54,0.850000000000,139160,6.67
32.64,0.875000000000,143274,8.00
33.82,0.887500000000,145247,8.89
35.13,0.900000000000,147408,10.00
36.70,0.912500000000,149371,11.43
38.54,0.925000000000,151366,13.33
40.63,0.937500000000,153430,16.00
41.94,0.943750000000,154455,17.78
43.25,0.950000000000,155417,20.00
44.83,0.956250000000,156443,22.86
46.66,0.962500000000,157427,26.67
49.02,0.968750000000,158421,32.00
50.33,0.971875000000,158981,35.56
51.64,0.975000000000,159449,40.00
53.48,0.978125000000,160008,45.71
55.31,0.981250000000,160488,53.33
57.67,0.984375000000,161023,64.00
58.98,0.985937500000,161254,71.11
60.56,0.987500000000,161503,80.00
62.13,0.989062500000,161762,91.43
63.96,0.990625000000,161994,106.67
66.58,0.992187500000,162250,128.00
68.16,0.992968750000,162406,142.22
69.21,0.993750000000,162502,160.00
70.78,0.994531250000,162625,182.86
72.88,0.995312500000,162765,213.33
74.97,0.996093750000,162890,256.00
77.07,0.996484375000,162985,284.44
77.59,0.996875000000,163036,320.00
78.64,0.997265625000,163074,365.71
80.74,0.997656250000,163138,426.67
82.84,0.998046875000,163209,512.00
83.89,0.998242187500,163237,568.89
85.98,0.998437500000,163271,640.00
89.13,0.998632812500,163296,731.43
94.90,0.998828125000,163327,853.33
99.09,0.999023437500,163361,1024.00
100.66,0.999121093750,163381,1137.78
101.71,0.999218750000,163396,1280.00
102.24,0.999316406250,163413,1462.86
105.91,0.999414062500,163423,1706.67
108.53,0.999511718750,163439,2048.00
111.67,0.999560546875,163450,2275.56
112.20,0.999609375000,163457,2560.00
115.34,0.999658203125,163463,2925.71
119.54,0.999707031250,163472,3413.33
127.40,0.999755859375,163479,4096.00
129.50,0.999780273438,163486,4551.11
130.02,0.999804687500,163487,5120.00
132.12,0.999829101563,163491,5851.43
133.69,0.999853515625,163496,6826.67
135.27,0.999877929688,163499,8192.00
138.41,0.999890136719,163501,9102.22
139.46,0.999902343750,163504,10240.00
140.51,0.999914550781,163508,11702.86
140.51,0.999926757813,163508,13653.33
145.75,0.999938964844,163510,16384.00
145.75,0.999945068359,163510,18204.44
146.80,0.999951171875,163513,20480.00
146.80,0.999957275391,163513,23405.71
146.80,0.999963378906,163513,27306.67
147.85,0.999969482422,163514,32768.00
147.85,0.999972534180,163514,36408.89
149.95,0.999975585938,163515,40960.00
149.95,0.999978637695,163515,46811.43
169.87,0.999981689453,163518,54613.33
169.87,1.000000000000,163518,Infinity
