"Value","Percentile","TotalCount","1/(1-Percentile)"
0.75,0.000000000000,1,1.00
4.59,0.100000000000,65773,1.11
7.34,0.200000000000,130536,1.25
10.16,0.300000000000,196668,1.43
12.78,0.400000000000,261096,1.67
15.66,0.500000000000,327281,2.00
17.17,0.550000000000,359825,2.22
18.74,0.600000000000,391855,2.50
20.58,0.650000000000,426228,2.86
22.41,0.700000000000,457157,3.33
24.64,0.750000000000,489933,4.00
25.95,0.775000000000,506967,4.44
27.26,0.800000000000,522285,5.00
28.84,0.825000000000,539087,5.71
30.54,0.850000000000,554516,6.67
32.77,0.875000000000,571695,8.00
34.08,0.887500000000,580351,8.89
35.39,0.900000000000,588024,10.00
36.96,0.912500000000,596317,11.43
38.54,0.925000000000,603452,13.33
40.89,0.937500000000,612182,16.00
41.94,0.943750000000,615674,17.78
43.52,0.950000000000,620044,20.00
45.09,0.956250000000,623900,22.86
46.92,0.962500000000,627944,26.67
49.28,0.968750000000,632422,32.00
50.33,0.971875000000,634046,35.56
51.90,0.975000000000,636130,40.00
53.74,0.978125000000,638334,45.71
55.57,0.981250000000,640320,53.33
57.67,0.984375000000,642352,64.00
58.72,0.985937500000,643215,71.11
60.29,0.987500000000,644304,80.00
61.87,0.989062500000,645320,91.43
63.96,0.990625000000,646322,106.67
66.06,0.992187500000,647277,128.00
67.63,0.992968750000,647875,142.22
68.68,0.993750000000,648292,160.00
70.78,0.994531250000,648941,182.86
72.35,0.995312500000,649396,213.33
74.45,0.996093750000,649830,256.00
76.02,0.996484375000,650097,284.44
77.07,0.996875000000,650337,320.00
78.64,0.997265625000,650631,365.71
80.74,0.997656250000,650870,426.67
83.36,0.998046875000,651113,512.00
84.93,0.998242187500,651253,568.89
86.51,0.998437500000,651369,640.00
88.08,0.998632812500,651478,731.43
90.18,0.998828125000,651602,853.33
92.80,0.999023437500,651747,1024.00
93.85,0.999121093750,651802,1137.78
95.42,0.999218750000,651878,1280.00
96.99,0.999316406250,651921,1462.86
100.66,0.999414062500,652001,1706.67
103.28,0.999511718750,652058,2048.00
104.33,0.999560546875,652082,2275.56
105.91,0.999609375000,652116,2560.00
107.48,0.999658203125,652144,2925.71
110.10,0.999707031250,652174,3413.33
114.29,0.999755859375,652207,4096.00
117.44,0.999780273438,652223,4551.11
120.06,0.999804687500,652244,5120.00
123.21,0.999829101563,652254,5851.43
129.50,0.999853515625,652270,6826.67
135.27,0.999877929688,652288,8192.00
144.70,0.999890136719,652294,9102.22
165.68,0.999902343750,652302,10240.00
198.18,0.999914550781,652310,11702.86
301.99,0.999926757813,652323,13653.33
304.09,0.999938964844,652335,16384.00
304.09,0.999945068359,652335,18204.44
304.09,0.999951171875,652335,20480.00
306.18,0.999957275391,652345,23405.71
306.18,0.999963378906,652345,27306.67
308.28,0.999969482422,652352,32768.00
308.28,0.999972534180,652352,36408.89
308.28,0.999975585938,652352,40960.00
308.28,0.999978637695,652352,46811.43
310.38,0.999981689453,652356,54613.33
310.38,0.999984741211,652356,65536.00
316.67,0.999986267090,652358,72817.78
316.67,0.999987792969,652358,81920.00
318.77,0.999989318848,652360,93622.86
318.77,0.999990844727,652360,109226.67
320.86,0.999992370605,652364,131072.00
320.86,0.999993133545,652364,145635.56
320.86,0.999993896484,652364,163840.00
320.86,0.999994659424,652364,187245.71
320.86,0.999995422363,652364,218453.33
320.86,0.999996185303,652364,262144.00
320.86,0.999996566772,652364,291271.11
320.86,0.999996948242,652364,327680.00
320.86,0.999997329712,652364,374491.43
320.86,0.999997711182,652364,436906.67
320.86,0.999998092651,652364,524288.00
320.86,0.999998283386,652364,582542.22
322.96,0.999998474121,652365,655360.00
322.96,1.000000000000,652365,Infinity
