"Value","Percentile","TotalCount","1/(1-Percentile)"
0.87,0.000000000000,1,1.00
2.47,0.100000000000,47132,1.11
4.62,0.200000000000,92764,1.25
5.96,0.300000000000,139597,1.43
6.62,0.400000000000,188204,1.67
6.95,0.500000000000,236794,2.00
7.05,0.550000000000,255596,2.22
7.18,0.600000000000,279678,2.50
7.34,0.650000000000,305204,2.86
7.50,0.700000000000,327111,3.33
7.70,0.750000000000,348414,4.00
7.83,0.775000000000,360283,4.44
7.96,0.800000000000,370893,5.00
8.13,0.825000000000,382273,5.71
8.32,0.850000000000,393738,6.67
8.59,0.875000000000,406534,8.00
8.72,0.887500000000,411864,8.89
8.85,0.900000000000,416735,10.00
9.04,0.912500000000,422900,11.43
9.31,0.925000000000,429744,13.33
9.50,0.937500000000,434056,16.00
9.70,0.943750000000,437722,17.78
9.83,0.950000000000,439831,20.00
10.03,0.956250000000,442850,22.86
10.29,0.962500000000,446312,26.67
10.49,0.968750000000,448455,32.00
10.68,0.971875000000,450443,35.56
10.81,0.975000000000,451551,40.00
11.01,0.978125000000,452925,45.71
11.27,0.981250000000,454530,53.33
11.53,0.984375000000,455816,64.00
11.73,0.985937500000,456637,71.11
11.86,0.987500000000,457112,80.00
12.12,0.989062500000,458003,91.43
12.32,0.990625000000,458569,106.67
12.65,0.992187500000,459387,128.00
12.78,0.992968750000,459645,142.22
12.98,0.993750000000,460027,160.00
13.17,0.994531250000,460359,182.86
13.43,0.995312500000,460730,213.33
13.76,0.996093750000,461113,256.00
13.96,0.996484375000,461307,284.44
14.09,0.996875000000,461458,320.00
14.29,0.997265625000,461624,365.71
14.55,0.997656250000,461838,426.67
14.81,0.998046875000,461998,512.00
14.94,0.998242187500,462079,568.89
15.14,0.998437500000,462175,640.00
15.34,0.998632812500,462250,731.43
15.60,0.998828125000,462344,853.33
15.86,0.999023437500,462440,1024.00
15.99,0.999121093750,462472,1137.78
16.25,0.999218750000,462527,1280.00
16.45,0.999316406250,462569,1462.86
16.78,0.999414062500,462612,1706.67
17.17,0.999511718750,462659,2048.00
17.30,0.999560546875,462679,2275.56
17.56,0.999609375000,462708,2560.00
17.83,0.999658203125,462724,2925.71
18.09,0.999707031250,462743,3413.33
18.48,0.999755859375,462767,4096.00
18.74,0.999780273438,462782,4551.11
18.87,0.999804687500,462789,5120.00
19.14,0.999829101563,462803,5851.43
19.40,0.999853515625,462815,6826.67
19.53,0.999877929688,462821,8192.00
19.66,0.999890136719,462831,9102.22
19.79,0.999902343750,462840,10240.00
19.79,0.999914550781,462840,11702.86
20.05,0.999926757813,462845,13653.33
20.32,0.999938964844,462849,16384.00
20.84,0.999945068359,462853,18204.44
20.97,0.999951171875,462855,20480.00
21.36,0.999957275391,462859,23405.71
21.89,0.999963378906,462861,27306.67
22.54,0.999969482422,462863,32768.00
23.07,0.999972534180,462865,36408.89
23.72,0.999975585938,462866,40960.00
24.25,0.999978637695,462868,46811.43
24.64,0.999981689453,462869,54613.33
25.30,0.999984741211,462870,65536.00
25.56,0.999986267090,462871,72817.78
25.82,0.999987792969,462874,81920.00
25.82,0.999989318848,462874,93622.86
25.82,0.999990844727,462874,109226.67
25.82,0.999992370605,462874,131072.00
25.82,0.999993133545,462874,145635.56
28.70,0.999993896484,462875,163840.00
28.70,0.999994659424,462875,187245.71
28.70,0.999995422363,462875,218453.33
32.37,0.999996185303,462876,262144.00
32.37,0.999996566772,462876,291271.11
32.37,0.999996948242,462876,327680.00
32.37,0.999997329712,462876,374491.43
32.37,0.999997711182,462876,436906.67
33.16,0.999998092651,462877,524288.00
33.16,1.000000000000,462877,Infinity
