"Value","Percentile","TotalCount","1/(1-Percentile)"
0.70,0.000000000000,1,1.00
2.59,0.100000000000,163442,1.11
4.95,0.200000000000,328128,1.25
6.19,0.300000000000,493621,1.43
6.75,0.400000000000,652807,1.67
7.08,0.500000000000,823474,2.00
7.21,0.550000000000,905288,2.22
7.34,0.600000000000,978858,2.50
7.54,0.650000000000,1070378,2.86
7.73,0.700000000000,1145733,3.33
8.00,0.750000000000,1223427,4.00
8.16,0.775000000000,1263545,4.44
8.36,0.800000000000,1303441,5.00
8.65,0.825000000000,1352829,5.71
8.91,0.850000000000,1388546,6.67
9.31,0.875000000000,1430625,8.00
9.50,0.887500000000,1447168,8.89
9.76,0.900000000000,1466265,10.00
10.16,0.912500000000,1489447,11.43
10.55,0.925000000000,1507756,13.33
11.14,0.937500000000,1528030,16.00
11.53,0.943750000000,1538120,17.78
11.99,0.950000000000,1547510,20.00
12.65,0.956250000000,1557382,22.86
13.57,0.962500000000,1567451,26.67
15.01,0.968750000000,1577746,32.00
15.93,0.971875000000,1582656,35.56
17.04,0.975000000000,1588000,40.00
18.35,0.978125000000,1593220,45.71
19.79,0.981250000000,1598089,53.33
21.63,0.984375000000,1603146,64.00
22.68,0.985937500000,1605630,71.11
23.99,0.987500000000,1608158,80.00
25.56,0.989062500000,1610772,91.43
27.13,0.990625000000,1613185,106.67
29.23,0.992187500000,1615758,128.00
30.54,0.992968750000,1617018,142.22
31.98,0.993750000000,1618338,160.00
33.82,0.994531250000,1619614,182.86
35.91,0.995312500000,1620944,213.33
38.54,0.996093750000,1622161,256.00
40.11,0.996484375000,1622752,284.44
41.94,0.996875000000,1623365,320.00
44.30,0.997265625000,1624001,365.71
47.97,0.997656250000,1624643,426.67
52.43,0.998046875000,1625271,512.00
55.31,0.998242187500,1625561,568.89
61.34,0.998437500000,1625890,640.00
67.11,0.998632812500,1626204,731.43
72.88,0.998828125000,1626531,853.33
77.07,0.999023437500,1626841,1024.00
79.69,0.999121093750,1627007,1137.78
83.36,0.999218750000,1627157,1280.00
88.08,0.999316406250,1627319,1462.86
93.32,0.999414062500,1627476,1706.67
100.66,0.999511718750,1627639,2048.00
103.28,0.999560546875,1627719,2275.56
112.20,0.999609375000,1627788,2560.00
127.40,0.999658203125,1627869,2925.71
139.46,0.999707031250,1627953,3413.33
154.14,0.999755859375,1628028,4096.00
160.43,0.999780273438,1628075,4551.11
166.72,0.999804687500,1628105,5120.00
177.21,0.999829101563,1628145,5851.43
188.74,0.999853515625,1628190,6826.67
207.62,0.999877929688,1628225,8192.00
219.15,0.999890136719,1628245,9102.22
234.88,0.999902343750,1628265,10240.00
248.51,0.999914550781,1628285,11702.86
285.21,0.999926757813,1628305,13653.33
713.03,0.999938964844,1628325,16384.00
742.39,0.999945068359,1628337,18204.44
763.36,0.999951171875,1628344,20480.00
817.89,0.999957275391,1628355,23405.71
859.83,0.999963378906,1628364,27306.67
880.80,0.999969482422,1628375,32768.00
897.58,0.999972534180,1628382,36408.89
901.78,0.999975585938,1628385,40960.00
914.36,0.999978637695,1628389,46811.43
926.94,0.999981689453,1628394,54613.33
931.14,0.999984741211,1628400,65536.00
935.33,0.999986267090,1628401,72817.78
943.72,0.999987792969,1628406,81920.00
943.72,0.999989318848,1628406,93622.86
952.11,0.999990844727,1628410,109226.67
956.30,0.999992370605,1628411,131072.00
960.50,0.999993133545,1628413,145635.56
964.69,0.999993896484,1628414,163840.00
968.88,0.999994659424,1628415,187245.71
973.08,0.999995422363,1628416,218453.33
977.27,0.999996185303,1628417,262144.00
985.66,0.999996566772,1628419,291271.11
985.66,0.999996948242,1628419,327680.00
985.66,0.999997329712,1628419,374491.43
998.24,0.999997711182,1628421,436906.67
998.24,0.999998092651,1628421,524288.00
998.24,0.999998283386,1628421,582542.22
998.24,0.999998474121,1628421,655360.00
998.24,0.999998664856,1628421,748982.86
1002.44,0.999998855591,1628422,873813.33
1002.44,0.999999046326,1628422,1048576.00
1002.44,0.999999141693,1628422,1165084.44
1002.44,0.999999237061,1628422,1310720.00
1002.44,0.999999332428,1628422,1497965.71
1006.63,0.999999427795,1628423,1747626.67
1006.63,1.000000000000,1628423,Infinity
