Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus
1780425183785,1780425184785,205,205,537879846,325271476,130547712,346030079,943718399,998244351,1006632959,1006632959,1006632959,0,0,0,0,0,205,0,0,0,0,0
1780425184785,1780425185785,762,762,122225156,44768992,30539776,113246207,180355071,260046847,352321535,352321535,352321535,0,0,0,0,0,762,0,0,0,0,0
1780425185785,1780425186785,1228,1228,79293810,20146574,30408704,78118911,100139007,139460607,234881023,234881023,234881023,0,0,0,0,0,1228,0,0,0,0,0
1780425186785,1780425187785,2116,2116,46872812,15343629,13565952,44564479,67633151,89653247,100663295,115867647,115867647,0,0,0,0,0,2116,0,0,0,0,0
1780425187785,1780425188785,2974,2974,33729185,10776213,7897088,31719423,48234495,69730303,92798975,93323263,93323263,0,0,0,0,0,2974,0,0,0,0,0
1780425188785,1780425189785,3300,3300,30144315,9844471,7831552,28835839,44302335,57671679,67633151,69206015,69206015,0,0,0,0,0,3300,0,0,0,0,0
1780425189785,1780425190785,3765,3765,26615901,9568559,6979584,24510463,39321599,56623103,70254591,71303167,71303167,0,0,0,0,0,3765,0,0,0,0,0
1780425190785,1780425191785,4300,4300,22986069,7939871,5144576,21233663,33816575,47448063,54788095,65273855,65273855,0,0,0,0,0,4300,0,0,0,0,0
1780425191785,1780425192785,4722,4722,21419328,7344253,4816896,20185087,32243711,41680895,47185919,51380223,51380223,0,0,0,0,0,4722,0,0,0,0,0
1780425192785,1780425193785,4147,4147,23903070,8511015,5144576,22151167,36175871,49545215,56885247,57409535,57409535,0,0,0,0,0,4147,0,0,0,0,0
1780425193785,1780425194785,4763,4763,21075155,7516728,5046272,19922943,31457279,42467327,55050239,71827455,71827455,0,0,0,0,0,4763,0,0,0,0,0
