"Value","Percentile","TotalCount","1/(1-Percentile)"
1.00,0.000000000000,1,1.00
2.62,0.100000000000,44487,1.11
4.78,0.200000000000,88368,1.25
6.36,0.300000000000,133371,1.43
7.05,0.400000000000,179136,1.67
7.37,0.500000000000,225865,2.00
7.47,0.550000000000,243911,2.22
7.60,0.600000000000,266562,2.50
7.73,0.650000000000,286846,2.86
7.90,0.700000000000,308863,3.33
8.13,0.750000000000,333845,4.00
8.22,0.775000000000,342643,4.44
8.36,0.800000000000,353230,5.00
8.52,0.825000000000,365034,5.71
8.72,0.850000000000,376684,6.67
8.91,0.875000000000,386258,8.00
9.04,0.887500000000,392167,8.89
9.18,0.900000000000,397104,10.00
9.37,0.912500000000,403269,11.43
9.57,0.925000000000,408674,13.33
9.83,0.937500000000,414415,16.00
9.96,0.943750000000,416853,17.78
10.16,0.950000000000,419974,20.00
10.35,0.956250000000,422665,22.86
10.55,0.962500000000,425120,26.67
10.81,0.968750000000,427882,32.00
10.94,0.971875000000,429149,35.56
11.08,0.975000000000,430266,40.00
11.27,0.978125000000,431734,45.71
11.47,0.981250000000,432991,53.33
11.73,0.984375000000,434422,64.00
11.86,0.985937500000,434987,71.11
12.06,0.987500000000,435802,80.00
12.26,0.989062500000,436465,91.43
12.45,0.990625000000,437059,106.67
12.71,0.992187500000,437725,128.00
12.91,0.992968750000,438188,142.22
13.04,0.993750000000,438464,160.00
13.24,0.994531250000,438838,182.86
13.43,0.995312500000,439141,213.33
13.70,0.996093750000,439494,256.00
13.83,0.996484375000,439638,284.44
14.02,0.996875000000,439819,320.00
14.22,0.997265625000,439992,365.71
14.42,0.997656250000,440172,426.67
14.61,0.998046875000,440308,512.00
14.75,0.998242187500,440393,568.89
14.88,0.998437500000,440469,640.00
15.07,0.998632812500,440572,731.43
15.20,0.998828125000,440644,853.33
15.47,0.999023437500,440742,1024.00
15.60,0.999121093750,440774,1137.78
15.79,0.999218750000,440816,1280.00
16.06,0.999316406250,440871,1462.86
16.25,0.999414062500,440906,1706.67
16.52,0.999511718750,440947,2048.00
16.65,0.999560546875,440966,2275.56
16.91,0.999609375000,440988,2560.00
17.17,0.999658203125,441015,2925.71
17.43,0.999707031250,441035,3413.33
17.69,0.999755859375,441051,4096.00
17.96,0.999780273438,441064,4551.11
18.22,0.999804687500,441078,5120.00
18.35,0.999829101563,441086,5851.43
18.61,0.999853515625,441092,6826.67
19.53,0.999877929688,441105,8192.00
19.92,0.999890136719,441108,9102.22
20.58,0.999902343750,441114,10240.00
21.10,0.999914550781,441119,11702.86
22.15,0.999926757813,441124,13653.33
23.07,0.999938964844,441130,16384.00
23.33,0.999945068359,441132,18204.44
24.12,0.999951171875,441137,20480.00
24.25,0.999957275391,441140,23405.71
24.25,0.999963378906,441140,27306.67
24.64,0.999969482422,441143,32768.00
25.17,0.999972534180,441144,36408.89
26.48,0.999975585938,441147,40960.00
26.48,0.999978637695,441147,46811.43
26.61,0.999981689453,441148,54613.33
27.79,0.999984741211,441150,65536.00
27.79,0.999986267090,441150,72817.78
27.92,0.999987792969,441151,81920.00
28.05,0.999989318848,441152,93622.86
28.05,0.999990844727,441152,109226.67
28.57,0.999992370605,441153,131072.00
28.57,0.999993133545,441153,145635.56
29.10,0.999993896484,441154,163840.00
29.10,0.999994659424,441154,187245.71
29.10,0.999995422363,441154,218453.33
29.62,0.999996185303,441155,262144.00
29.62,0.999996566772,441155,291271.11
29.62,0.999996948242,441155,327680.00
29.62,0.999997329712,441155,374491.43
29.62,0.999997711182,441155,436906.67
29.88,0.999998092651,441156,524288.00
29.88,1.000000000000,441156,Infinity
