"Value","Percentile","TotalCount","1/(1-Percentile)"
0.75,0.000000000000,1,1.00
2.72,0.100000000000,156183,1.11
5.31,0.200000000000,311628,1.25
6.65,0.300000000000,464416,1.43
7.34,0.400000000000,629993,1.67
7.63,0.500000000000,773876,2.00
7.80,0.550000000000,864781,2.22
7.93,0.600000000000,931180,2.50
8.13,0.650000000000,1016418,2.86
8.32,0.700000000000,1083849,3.33
8.65,0.750000000000,1172842,4.00
8.78,0.775000000000,1201384,4.44
8.98,0.800000000000,1238764,5.00
9.24,0.825000000000,1279848,5.71
9.57,0.850000000000,1320667,6.67
9.90,0.875000000000,1353027,8.00
10.16,0.887500000000,1374022,8.89
10.42,0.900000000000,1391413,10.00
10.75,0.912500000000,1410092,11.43
11.21,0.925000000000,1431174,13.33
11.73,0.937500000000,1449177,16.00
12.12,0.943750000000,1459636,17.78
12.58,0.950000000000,1469068,20.00
13.11,0.956250000000,1477805,22.86
13.96,0.962500000000,1487921,26.67
15.07,0.968750000000,1497175,32.00
15.79,0.971875000000,1501803,35.56
16.78,0.975000000000,1506887,40.00
17.96,0.978125000000,1511911,45.71
19.27,0.981250000000,1516560,53.33
20.84,0.984375000000,1521288,64.00
21.76,0.985937500000,1523752,71.11
22.81,0.987500000000,1526149,80.00
23.99,0.989062500000,1528385,91.43
25.43,0.990625000000,1530793,106.67
27.13,0.992187500000,1533179,128.00
28.18,0.992968750000,1534398,142.22
29.36,0.993750000000,1535649,160.00
30.67,0.994531250000,1536785,182.86
32.37,0.995312500000,1538046,213.33
34.34,0.996093750000,1539243,256.00
35.65,0.996484375000,1539851,284.44
37.22,0.996875000000,1540432,320.00
38.80,0.997265625000,1541021,365.71
41.16,0.997656250000,1541674,426.67
44.30,0.998046875000,1542257,512.00
46.66,0.998242187500,1542522,568.89
49.55,0.998437500000,1542829,640.00
52.95,0.998632812500,1543133,731.43
60.29,0.998828125000,1543426,853.33
69.21,0.999023437500,1543726,1024.00
76.55,0.999121093750,1543877,1137.78
83.36,0.999218750000,1544036,1280.00
88.60,0.999316406250,1544179,1462.86
93.85,0.999414062500,1544338,1706.67
102.76,0.999511718750,1544481,2048.00
108.53,0.999560546875,1544561,2275.56
119.54,0.999609375000,1544633,2560.00
129.50,0.999658203125,1544709,2925.71
154.14,0.999707031250,1544787,3413.33
165.68,0.999755859375,1544859,4096.00
170.92,0.999780273438,1544899,4551.11
177.21,0.999804687500,1544934,5120.00
190.84,0.999829101563,1544972,5851.43
208.67,0.999853515625,1545009,6826.67
232.78,0.999877929688,1545048,8192.00
246.42,0.999890136719,1545068,9102.22
261.10,0.999902343750,1545085,10240.00
276.82,0.999914550781,1545104,11702.86
295.70,0.999926757813,1545123,13653.33
322.96,0.999938964844,1545141,16384.00
377.49,0.999945068359,1545151,18204.44
434.11,0.999951171875,1545161,20480.00
450.89,0.999957275391,1545170,23405.71
467.66,0.999963378906,1545179,27306.67
484.44,0.999969482422,1545189,32768.00
492.83,0.999972534180,1545193,36408.89
501.22,0.999975585938,1545198,40960.00
509.61,0.999978637695,1545205,46811.43
513.80,0.999981689453,1545208,54613.33
520.09,0.999984741211,1545214,65536.00
520.09,0.999986267090,1545214,72817.78
524.29,0.999987792969,1545217,81920.00
526.39,0.999989318848,1545219,93622.86
536.87,0.999990844727,1545222,109226.67
553.65,0.999992370605,1545227,131072.00
553.65,0.999993133545,1545227,145635.56
553.65,0.999993896484,1545227,163840.00
553.65,0.999994659424,1545227,187245.71
557.84,0.999995422363,1545231,218453.33
557.84,0.999996185303,1545231,262144.00
557.84,0.999996566772,1545231,291271.11
557.84,0.999996948242,1545231,327680.00
557.84,0.999997329712,1545231,374491.43
562.04,0.999997711182,1545235,436906.67
562.04,1.000000000000,1545235,Infinity
