Start,End,Requests,Responses,Mean,StdDev,Min,p50.0,p90.0,p99.0,p99.9,p99.99,Max,ConnectionErrors,RequestTimeouts,InternalErrors,Invalid,BlockedTime,http.2xx,http.3xx,http.4xx,http.5xx,http.CacheHits,http.OtherStatus
1780426505048,1780426506048,14221,14221,7048568,2416991,1146880,7241727,10027007,13041663,16449535,23461887,24510463,0,0,0,0,0,14221,0,0,0,0,0
1780426506048,1780426507048,14883,14883,6720084,2368705,978944,7307263,9109503,12189695,15400959,18612223,19136511,0,0,0,0,0,14883,0,0,0,0,0
1780426507048,1780426508048,14750,14750,6763645,2512203,974848,7241727,9240575,12910591,24510463,27656191,27787263,0,0,0,0,0,14750,0,0,0,0,0
1780426508048,1780426509048,14767,14767,6772631,2328734,1155072,7307263,9109503,12517375,15007743,17694719,17825791,0,0,0,0,0,14767,0,0,0,0,0
1780426509048,1780426510048,14776,14776,6778952,2353046,1687552,7340031,9175039,12517375,15138815,16777215,17956863,0,0,0,0,0,14776,0,0,0,0,0
1780426510048,1780426511048,14719,14719,6766703,2328773,1540096,7307263,9109503,12386303,14745599,19529727,21889023,0,0,0,0,0,14719,0,0,0,0,0
1780426511048,1780426512048,14944,14944,6713014,2397964,1646592,7340031,8978431,12320767,15532031,18087935,18350079,0,0,0,0,0,14944,0,0,0,0,0
1780426512048,1780426513048,14802,14802,6745943,2292194,1056768,7307263,9175039,11796479,14548991,17170431,18219007,0,0,0,0,0,14802,0,0,0,0,0
1780426513048,1780426514048,14500,14500,6868884,2356811,1728512,7208959,9502719,12779519,16908287,22806527,22937599,0,0,0,0,0,14500,0,0,0,0,0
1780426514048,1780426515048,14874,14874,6729403,2287662,1556480,7012351,9437183,12517375,15466495,16515071,16711679,0,0,0,0,0,14874,0,0,0,0,0
1780426515048,1780426516048,14445,14445,6934411,2311721,1851392,7340031,9437183,12713983,15597567,17825791,27000831,0,0,0,0,0,14445,0,0,0,0,0
1780426516048,1780426517048,14691,14691,6795110,2355092,1073152,7340031,9109503,12386303,15990783,19136511,19398655,0,0,0,0,0,14691,0,0,0,0,0
1780426517048,1780426518048,14869,14869,6740187,2353552,1425408,7372799,9109503,11927551,14680063,17694719,19136511,0,0,0,0,0,14869,0,0,0,0,0
1780426518048,1780426519048,14588,14588,6846958,2374372,1540096,7143423,9502719,12845055,16515071,17825791,19791871,0,0,0,0,0,14588,0,0,0,0,0
1780426519048,1780426520048,14617,14617,6810991,2402788,1171456,7274495,9502719,12451839,15466495,18087935,18612223,0,0,0,0,0,14617,0,0,0,0,0
1780426520048,1780426521048,14926,14926,6728940,2310707,1028096,7340031,9043967,12255231,14942207,16121855,16121855,0,0,0,0,0,14926,0,0,0,0,0
1780426521048,1780426522048,14905,14905,6702898,2340472,1810432,7372799,8912895,12058623,15138815,16646143,17432575,0,0,0,0,0,14905,0,0,0,0,0
1780426522048,1780426523048,14785,14785,6754307,2396702,1163264,7372799,9306111,12058623,14024703,15138815,15990783,0,0,0,0,0,14785,0,0,0,0,0
1780426523048,1780426524048,14890,14890,6702679,2375601,1540096,7340031,9109503,12255231,14942207,17432575,18612223,0,0,0,0,0,14890,0,0,0,0,0
1780426524048,1780426525048,14701,14701,6801052,2404887,1064960,7143423,9633791,13041663,16908287,20054015,20054015,0,0,0,0,0,14701,0,0,0,0,0
1780426525048,1780426526048,14724,14724,6785651,2396118,1056768,7307263,9240575,12779519,15728639,17432575,21102591,0,0,0,0,0,14724,0,0,0,0,0
1780426526048,1780426527048,14725,14725,6776227,2329089,1662976,7340031,9109503,12058623,14942207,17301503,17563647,0,0,0,0,0,14725,0,0,0,0,0
1780426527048,1780426528048,14824,14824,6742917,2403015,1441792,7340031,9175039,12320767,15073279,15466495,15859711,0,0,0,0,0,14824,0,0,0,0,0
1780426528048,1780426529048,14708,14708,6826374,2338013,1122304,7208959,9371647,13041663,16121855,17956863,19529727,0,0,0,0,0,14708,0,0,0,0,0
1780426529048,1780426530048,14605,14605,6815619,2396604,1720320,7340031,9306111,12648447,15466495,17170431,19005439,0,0,0,0,0,14605,0,0,0,0,0
1780426530048,1780426531048,14896,14896,6714201,2426847,1474560,7372799,8978431,12648447,15007743,17432575,18350079,0,0,0,0,0,14896,0,0,0,0,0
1780426531048,1780426532048,14792,14792,6776357,2333977,1318912,7307263,9109503,12517375,16121855,19005439,19267583,0,0,0,0,0,14792,0,0,0,0,0
1780426532048,1780426533048,14894,14894,6716864,2299898,1613824,7274495,9043967,12648447,15925247,17039359,19005439,0,0,0,0,0,14894,0,0,0,0,0
1780426533048,1780426534048,14813,14813,6736605,2333211,1671168,7241727,9175039,12517375,15007743,15663103,18481151,0,0,0,0,0,14813,0,0,0,0,0
1780426534048,1780426535048,14761,14761,6764673,2244439,1146880,7274495,8978431,12451839,14352383,16908287,17563647,0,0,0,0,0,14761,0,0,0,0,0
