"Value","Percentile","TotalCount","1/(1-Percentile)"
0.47,0.000000000000,1,1.00
5.90,0.100000000000,23924,1.11
8.09,0.200000000000,47804,1.25
9.18,0.300000000000,71748,1.43
9.90,0.400000000000,97762,1.67
10.42,0.500000000000,120888,2.00
10.68,0.550000000000,131531,2.22
11.08,0.600000000000,144414,2.50
11.47,0.650000000000,154577,2.86
12.06,0.700000000000,166413,3.33
12.85,0.750000000000,178494,4.00
13.37,0.775000000000,184718,4.44
13.89,0.800000000000,190058,5.00
14.61,0.825000000000,196102,5.71
15.53,0.850000000000,202185,6.67
16.65,0.875000000000,207915,8.00
17.43,0.887500000000,211110,8.89
18.35,0.900000000000,214198,10.00
19.27,0.912500000000,216822,11.43
20.71,0.925000000000,219961,13.33
22.68,0.937500000000,222849,16.00
23.99,0.943750000000,224241,17.78
25.69,0.950000000000,225755,20.00
27.79,0.956250000000,227246,22.86
30.41,0.962500000000,228671,26.67
34.34,0.968750000000,230229,32.00
36.70,0.971875000000,230935,35.56
39.58,0.975000000000,231670,40.00
42.21,0.978125000000,232377,45.71
46.40,0.981250000000,233143,53.33
50.86,0.984375000000,233864,64.00
54.00,0.985937500000,234245,71.11
57.15,0.987500000000,234605,80.00
62.39,0.989062500000,234968,91.43
67.63,0.990625000000,235340,106.67
73.92,0.992187500000,235711,128.00
77.59,0.992968750000,235899,142.22
81.79,0.993750000000,236079,160.00
87.03,0.994531250000,236275,182.86
94.37,0.995312500000,236454,213.33
101.71,0.996093750000,236642,256.00
105.91,0.996484375000,236733,284.44
112.72,0.996875000000,236824,320.00
119.54,0.997265625000,236919,365.71
128.45,0.997656250000,237008,426.67
138.41,0.998046875000,237105,512.00
143.65,0.998242187500,237150,568.89
147.85,0.998437500000,237199,640.00
153.09,0.998632812500,237240,731.43
164.63,0.998828125000,237286,853.33
174.06,0.999023437500,237333,1024.00
178.26,0.999121093750,237355,1137.78
184.55,0.999218750000,237379,1280.00
195.04,0.999316406250,237401,1462.86
203.42,0.999414062500,237426,1706.67
216.01,0.999511718750,237449,2048.00
224.40,0.999560546875,237461,2275.56
230.69,0.999609375000,237471,2560.00
233.83,0.999658203125,237489,2925.71
235.93,0.999707031250,237494,3413.33
242.22,0.999755859375,237506,4096.00
245.37,0.999780273438,237511,4551.11
251.66,0.999804687500,237519,5120.00
256.90,0.999829101563,237523,5851.43
260.05,0.999853515625,237530,6826.67
263.19,0.999877929688,237536,8192.00
264.24,0.999890136719,237537,9102.22
270.53,0.999902343750,237540,10240.00
274.73,0.999914550781,237543,11702.86
276.82,0.999926757813,237546,13653.33
281.02,0.999938964844,237550,16384.00
281.02,0.999945068359,237550,18204.44
287.31,0.999951171875,237552,20480.00
289.41,0.999957275391,237553,23405.71
293.60,0.999963378906,237555,27306.67
297.80,0.999969482422,237556,32768.00
299.89,0.999972534180,237557,36408.89
314.57,0.999975585938,237559,40960.00
314.57,0.999978637695,237559,46811.43
314.57,0.999981689453,237559,54613.33
325.06,0.999984741211,237560,65536.00
325.06,0.999986267090,237560,72817.78
327.16,0.999987792969,237561,81920.00
327.16,0.999989318848,237561,93622.86
327.16,0.999990844727,237561,109226.67
333.45,0.999992370605,237562,131072.00
333.45,0.999993133545,237562,145635.56
333.45,0.999993896484,237562,163840.00
333.45,0.999994659424,237562,187245.71
333.45,0.999995422363,237562,218453.33
335.54,0.999996185303,237563,262144.00
335.54,1.000000000000,237563,Infinity
