"Value","Percentile","TotalCount","1/(1-Percentile)"
1.06,0.000000000000,2,1.00
2.28,0.100000000000,31892,1.11
3.85,0.200000000000,62875,1.25
12.32,0.300000000000,94168,1.43
19.92,0.400000000000,125886,1.67
25.95,0.500000000000,157171,2.00
28.84,0.550000000000,172774,2.22
32.11,0.600000000000,188887,2.50
35.91,0.650000000000,204401,2.86
40.63,0.700000000000,220195,3.33
46.92,0.750000000000,235623,4.00
51.38,0.775000000000,243361,4.44
56.62,0.800000000000,251078,5.00
63.70,0.825000000000,259156,5.71
71.83,0.850000000000,266766,6.67
82.31,0.875000000000,274964,8.00
88.08,0.887500000000,278744,8.89
94.37,0.900000000000,282524,10.00
101.71,0.912500000000,286458,11.43
110.10,0.925000000000,290491,13.33
119.01,0.937500000000,294226,16.00
124.78,0.943750000000,296369,17.78
130.55,0.950000000000,298306,20.00
137.36,0.956250000000,300324,22.86
144.70,0.962500000000,302207,26.67
153.09,0.968750000000,304080,32.00
158.33,0.971875000000,305058,35.56
163.58,0.975000000000,306021,40.00
169.87,0.978125000000,306981,45.71
177.21,0.981250000000,307969,53.33
185.60,0.984375000000,308970,64.00
190.84,0.985937500000,309498,71.11
196.08,0.987500000000,309942,80.00
202.38,0.989062500000,310439,91.43
209.72,0.990625000000,310924,106.67
217.06,0.992187500000,311388,128.00
222.30,0.992968750000,311669,142.22
227.54,0.993750000000,311879,160.00
234.88,0.994531250000,312149,182.86
242.22,0.995312500000,312388,213.33
251.66,0.996093750000,312613,256.00
257.95,0.996484375000,312752,284.44
263.19,0.996875000000,312864,320.00
270.53,0.997265625000,312989,365.71
278.92,0.997656250000,313102,426.67
291.50,0.998046875000,313235,512.00
299.89,0.998242187500,313295,568.89
308.28,0.998437500000,313355,640.00
316.67,0.998632812500,313420,731.43
325.06,0.998828125000,313477,853.33
339.74,0.999023437500,313533,1024.00
350.22,0.999121093750,313561,1137.78
358.61,0.999218750000,313594,1280.00
373.29,0.999316406250,313628,1462.86
398.46,0.999414062500,313653,1706.67
432.01,0.999511718750,313683,2048.00
450.89,0.999560546875,313699,2275.56
499.12,0.999609375000,313714,2560.00
566.23,0.999658203125,313729,2925.71
780.14,0.999707031250,313745,3413.33
801.11,0.999755859375,313760,4096.00
817.89,0.999780273438,313770,4551.11
826.28,0.999804687500,313777,5120.00
834.67,0.999829101563,313783,5851.43
851.44,0.999853515625,313792,6826.67
876.61,0.999877929688,313799,8192.00
885.00,0.999890136719,313804,9102.22
889.19,0.999902343750,313808,10240.00
897.58,0.999914550781,313812,11702.86
901.78,0.999926757813,313814,13653.33
905.97,0.999938964844,313819,16384.00
905.97,0.999945068359,313819,18204.44
910.16,0.999951171875,313821,20480.00
914.36,0.999957275391,313824,23405.71
918.55,0.999963378906,313826,27306.67
922.75,0.999969482422,313827,32768.00
926.94,0.999972534180,313829,36408.89
926.94,0.999975585938,313829,40960.00
931.14,0.999978637695,313831,46811.43
931.14,0.999981689453,313831,54613.33
935.33,0.999984741211,313834,65536.00
935.33,0.999986267090,313834,72817.78
935.33,0.999987792969,313834,81920.00
935.33,0.999989318848,313834,93622.86
935.33,0.999990844727,313834,109226.67
935.33,0.999992370605,313834,131072.00
935.33,0.999993133545,313834,145635.56
943.72,0.999993896484,313836,163840.00
943.72,1.000000000000,313836,Infinity
