"Value","Percentile","TotalCount","1/(1-Percentile)"
1.01,0.000000000000,2,1.00
1.18,0.100000000000,11017,1.11
1.96,0.200000000000,22023,1.25
2.24,0.300000000000,32217,1.43
4.39,0.400000000000,42930,1.67
9.37,0.500000000000,53626,2.00
12.98,0.550000000000,59000,2.22
16.91,0.600000000000,64446,2.50
20.71,0.650000000000,69751,2.86
25.30,0.700000000000,75129,3.33
31.59,0.750000000000,80437,4.00
36.44,0.775000000000,83232,4.44
41.94,0.800000000000,85794,5.00
49.81,0.825000000000,88505,5.71
60.29,0.850000000000,91210,6.67
72.88,0.875000000000,93937,8.00
79.69,0.887500000000,95233,8.89
87.56,0.900000000000,96553,10.00
95.94,0.912500000000,97923,11.43
105.38,0.925000000000,99252,13.33
115.34,0.937500000000,100548,16.00
121.11,0.943750000000,101261,17.78
126.88,0.950000000000,101922,20.00
132.64,0.956250000000,102556,22.86
140.51,0.962500000000,103264,26.67
148.90,0.968750000000,103957,32.00
153.09,0.971875000000,104249,35.56
159.38,0.975000000000,104609,40.00
164.63,0.978125000000,104906,45.71
170.92,0.981250000000,105239,53.33
178.26,0.984375000000,105574,64.00
183.50,0.985937500000,105768,71.11
187.70,0.987500000000,105929,80.00
192.94,0.989062500000,106072,91.43
200.28,0.990625000000,106249,106.67
207.62,0.992187500000,106414,128.00
211.81,0.992968750000,106490,142.22
217.06,0.993750000000,106574,160.00
221.25,0.994531250000,106653,182.86
227.54,0.995312500000,106742,213.33
234.88,0.996093750000,106827,256.00
238.03,0.996484375000,106867,284.44
242.22,0.996875000000,106903,320.00
247.46,0.997265625000,106947,365.71
252.71,0.997656250000,106989,426.67
260.05,0.998046875000,107035,512.00
263.19,0.998242187500,107051,568.89
270.53,0.998437500000,107076,640.00
274.73,0.998632812500,107092,731.43
285.21,0.998828125000,107118,853.33
293.60,0.999023437500,107134,1024.00
297.80,0.999121093750,107143,1137.78
306.18,0.999218750000,107155,1280.00
310.38,0.999316406250,107165,1462.86
314.57,0.999414062500,107175,1706.67
320.86,0.999511718750,107185,2048.00
331.35,0.999560546875,107192,2275.56
333.45,0.999609375000,107196,2560.00
335.54,0.999658203125,107202,2925.71
341.84,0.999707031250,107208,3413.33
350.22,0.999755859375,107212,4096.00
360.71,0.999780273438,107214,4551.11
364.90,0.999804687500,107217,5120.00
369.10,0.999829101563,107219,5851.43
375.39,0.999853515625,107222,6826.67
381.68,0.999877929688,107225,8192.00
383.78,0.999890136719,107226,9102.22
387.97,0.999902343750,107227,10240.00
390.07,0.999914550781,107228,11702.86
411.04,0.999926757813,107230,13653.33
413.14,0.999938964844,107231,16384.00
415.24,0.999945068359,107233,18204.44
415.24,0.999951171875,107233,20480.00
415.24,0.999957275391,107233,23405.71
436.21,0.999963378906,107235,27306.67
436.21,0.999969482422,107235,32768.00
436.21,0.999972534180,107235,36408.89
436.21,0.999975585938,107235,40960.00
436.21,0.999978637695,107235,46811.43
450.89,0.999981689453,107236,54613.33
450.89,0.999984741211,107236,65536.00
450.89,0.999986267090,107236,72817.78
450.89,0.999987792969,107236,81920.00
450.89,0.999989318848,107236,93622.86
536.87,0.999990844727,107237,109226.67
536.87,1.000000000000,107237,Infinity
