Timestamp,Agent,MinConnections,MaxConnections
1780430819614,in-vm,0,100
1780430820615,in-vm,98,100
1780430821614,in-vm,98,100
1780430822613,in-vm,94,100
1780430823614,in-vm,92,100
1780430824613,in-vm,97,100
1780430825613,in-vm,96,100
1780430826612,in-vm,84,100
1780430827613,in-vm,95,100
1780430828612,in-vm,97,100
1780430829612,in-vm,92,100
1780430830612,in-vm,94,100
1780430831612,in-vm,96,100
1780430832612,in-vm,90,100
1780430833612,in-vm,96,100
1780430834612,in-vm,93,100
1780430835612,in-vm,96,100
1780430836612,in-vm,96,100
1780430837612,in-vm,92,100
1780430838612,in-vm,96,100
1780430839612,in-vm,95,100
1780430840612,in-vm,90,100
1780430841612,in-vm,95,100
1780430842612,in-vm,96,100
1780430843613,in-vm,89,100
1780430844612,in-vm,61,100
1780430845612,in-vm,92,100
1780430846613,in-vm,93,100
1780430847612,in-vm,91,100
1780430848612,in-vm,90,100
1780430849612,in-vm,90,100
1780430850612,in-vm,84,100
1780430851612,in-vm,80,100
1780430852612,in-vm,92,100
1780430853612,in-vm,88,100
1780430854612,in-vm,92,100
1780430855612,in-vm,86,100
1780430856612,in-vm,93,100
1780430857612,in-vm,85,100
1780430858612,in-vm,92,100
1780430859612,in-vm,94,100
1780430860612,in-vm,94,100
1780430861612,in-vm,93,100
1780430862612,in-vm,90,100
1780430863612,in-vm,91,100
1780430864612,in-vm,95,100
1780430865612,in-vm,95,100
1780430866612,in-vm,95,100
1780430867612,in-vm,56,100
1780430868612,in-vm,95,100
1780430869612,in-vm,94,100
1780430870612,in-vm,95,100
1780430871612,in-vm,92,100
1780430872612,in-vm,90,100
1780430873612,in-vm,76,100
1780430874612,in-vm,82,100
1780430875612,in-vm,96,100
1780430876612,in-vm,93,100
1780430877612,in-vm,89,100
1780430878612,in-vm,94,100
1780430879612,in-vm,56,100
1780430880612,in-vm,94,100
1780430881613,in-vm,84,100
1780430882612,in-vm,92,100
1780430883612,in-vm,90,100
1780430884612,in-vm,95,100
1780430885612,in-vm,87,100
1780430886612,in-vm,88,100
1780430887613,in-vm,95,100
1780430888612,in-vm,94,100
1780430889612,in-vm,93,100
1780430890612,in-vm,86,100
1780430891612,in-vm,96,100
1780430892612,in-vm,86,100
1780430893612,in-vm,95,100
1780430894612,in-vm,92,100
1780430895612,in-vm,94,100
1780430896612,in-vm,89,100
1780430897612,in-vm,95,100
1780430898612,in-vm,96,100
1780430899612,in-vm,95,100
1780430900613,in-vm,95,100
1780430901612,in-vm,95,100
1780430902612,in-vm,70,100
1780430903612,in-vm,90,100
1780430904611,in-vm,86,100
1780430905612,in-vm,96,100
1780430906611,in-vm,93,100
1780430907613,in-vm,96,100
1780430908612,in-vm,92,100
1780430909612,in-vm,89,100
1780430910612,in-vm,93,100
1780430911612,in-vm,96,100
1780430912612,in-vm,95,100
1780430913612,in-vm,59,100
1780430914612,in-vm,90,100
1780430915612,in-vm,92,100
1780430916612,in-vm,93,100
1780430917612,in-vm,93,100
1780430918612,in-vm,95,100
1780430919612,in-vm,96,100
1780430920612,in-vm,93,100
1780430921612,in-vm,86,100
1780430922612,in-vm,94,100
1780430923612,in-vm,95,100
1780430924612,in-vm,87,100
1780430925612,in-vm,89,100
1780430926612,in-vm,90,100
1780430927611,in-vm,89,100
1780430928612,in-vm,93,100
1780430929612,in-vm,88,100
1780430930612,in-vm,86,100
1780430931612,in-vm,93,100
1780430932612,in-vm,91,100
1780430933612,in-vm,91,100
1780430934612,in-vm,94,100
1780430935612,in-vm,92,100
1780430936612,in-vm,79,100
1780430937612,in-vm,95,100
1780430938612,in-vm,88,100
1780430939612,in-vm,0,100
1780430940612,in-vm,0,0
1780430941612,in-vm,0,0
1780430942612,in-vm,0,0
1780430943612,in-vm,0,0
1780430944612,in-vm,0,0
1780430945612,in-vm,0,0
1780430946612,in-vm,0,0
1780430947611,in-vm,0,0
1780430948612,in-vm,0,0
1780430949612,in-vm,0,0
1780430950612,in-vm,0,0
1780430951612,in-vm,0,0
1780430952612,in-vm,0,0
1780430953612,in-vm,0,0
1780430954612,in-vm,0,0
1780430955612,in-vm,0,0
1780430956612,in-vm,0,0
1780430957612,in-vm,0,0
1780430958611,in-vm,0,0
1780430959611,in-vm,0,0
1780430960611,in-vm,0,0
1780430961612,in-vm,0,0
1780430962612,in-vm,0,0
1780430963612,in-vm,0,0
1780430964612,in-vm,0,0
1780430965612,in-vm,0,0
1780430966612,in-vm,0,0
1780430967612,in-vm,0,0
1780430968612,in-vm,0,0
1780430969612,in-vm,0,100
1780430970611,in-vm,92,100
1780430971612,in-vm,95,100
1780430972612,in-vm,93,100
1780430973614,in-vm,74,100
1780430974612,in-vm,91,100
1780430975612,in-vm,95,100
1780430976612,in-vm,96,100
1780430977612,in-vm,96,100
1780430978612,in-vm,85,100
1780430979612,in-vm,96,100
1780430980612,in-vm,95,100
1780430981612,in-vm,95,100
1780430982612,in-vm,75,100
1780430983612,in-vm,95,100
1780430984612,in-vm,69,100
1780430985613,in-vm,95,100
1780430986612,in-vm,94,100
1780430987612,in-vm,87,100
1780430988612,in-vm,82,100
1780430989612,in-vm,89,100
1780430990612,in-vm,92,100
1780430991612,in-vm,94,100
1780430992612,in-vm,95,100
1780430993612,in-vm,95,100
1780430994611,in-vm,92,100
1780430995612,in-vm,96,100
1780430996612,in-vm,84,100
1780430997612,in-vm,77,100
1780430998611,in-vm,93,100
