"Value","Percentile","TotalCount","1/(1-Percentile)"
0.58,0.000000000000,1,1.00
5.24,0.100000000000,29990,1.11
6.91,0.200000000000,59835,1.25
7.83,0.300000000000,90001,1.43
8.39,0.400000000000,120975,1.67
8.91,0.500000000000,150005,2.00
9.24,0.550000000000,166688,2.22
9.50,0.600000000000,180023,2.50
9.83,0.650000000000,195811,2.86
10.22,0.700000000000,211190,3.33
10.68,0.750000000000,224607,4.00
11.01,0.775000000000,232537,4.44
11.34,0.800000000000,239243,5.00
11.80,0.825000000000,247047,5.71
12.32,0.850000000000,254990,6.67
12.85,0.875000000000,261950,8.00
13.17,0.887500000000,265658,8.89
13.57,0.900000000000,269468,10.00
14.02,0.912500000000,272799,11.43
14.88,0.925000000000,276706,13.33
16.06,0.937500000000,280295,16.00
16.91,0.943750000000,282281,17.78
17.96,0.950000000000,284073,20.00
19.40,0.956250000000,285932,22.86
21.36,0.962500000000,287793,26.67
24.12,0.968750000000,289652,32.00
25.82,0.971875000000,290602,35.56
27.66,0.975000000000,291522,40.00
29.88,0.978125000000,292427,45.71
32.51,0.981250000000,293356,53.33
35.39,0.984375000000,294344,64.00
36.96,0.985937500000,294802,71.11
38.54,0.987500000000,295239,80.00
40.63,0.989062500000,295719,91.43
43.25,0.990625000000,296184,106.67
46.40,0.992187500000,296644,128.00
48.23,0.992968750000,296889,142.22
49.81,0.993750000000,297094,160.00
52.17,0.994531250000,297343,182.86
54.00,0.995312500000,297587,213.33
55.84,0.996093750000,297804,256.00
56.62,0.996484375000,297904,284.44
57.93,0.996875000000,298034,320.00
59.24,0.997265625000,298150,365.71
60.29,0.997656250000,298263,426.67
61.87,0.998046875000,298374,512.00
63.18,0.998242187500,298432,568.89
64.49,0.998437500000,298498,640.00
65.80,0.998632812500,298553,731.43
67.63,0.998828125000,298609,853.33
69.21,0.999023437500,298668,1024.00
70.78,0.999121093750,298705,1137.78
71.30,0.999218750000,298721,1280.00
73.40,0.999316406250,298750,1462.86
75.50,0.999414062500,298781,1706.67
78.64,0.999511718750,298811,2048.00
80.74,0.999560546875,298823,2275.56
83.36,0.999609375000,298838,2560.00
84.93,0.999658203125,298852,2925.71
90.18,0.999707031250,298866,3413.33
96.47,0.999755859375,298881,4096.00
98.04,0.999780273438,298888,4551.11
107.48,0.999804687500,298895,5120.00
112.72,0.999829101563,298902,5851.43
122.68,0.999853515625,298912,6826.67
346.03,0.999877929688,298927,8192.00
346.03,0.999890136719,298927,9102.22
346.03,0.999902343750,298927,10240.00
348.13,0.999914550781,298943,11702.86
348.13,0.999926757813,298943,13653.33
348.13,0.999938964844,298943,16384.00
348.13,0.999945068359,298943,18204.44
348.13,0.999951171875,298943,20480.00
348.13,0.999957275391,298943,23405.71
348.13,0.999963378906,298943,27306.67
350.22,0.999969482422,298947,32768.00
350.22,0.999972534180,298947,36408.89
350.22,0.999975585938,298947,40960.00
350.22,0.999978637695,298947,46811.43
352.32,0.999981689453,298951,54613.33
352.32,0.999984741211,298951,65536.00
352.32,0.999986267090,298951,72817.78
352.32,0.999987792969,298951,81920.00
352.32,0.999989318848,298951,93622.86
352.32,0.999990844727,298951,109226.67
352.32,0.999992370605,298951,131072.00
352.32,0.999993133545,298951,145635.56
354.42,0.999993896484,298953,163840.00
354.42,1.000000000000,298953,Infinity
