"Value","Percentile","TotalCount","1/(1-Percentile)"
0.54,0.000000000000,1,1.00
5.14,0.100000000000,103939,1.11
6.88,0.200000000000,206333,1.25
7.86,0.300000000000,310995,1.43
8.45,0.400000000000,416350,1.67
9.04,0.500000000000,517452,2.00
9.37,0.550000000000,569032,2.22
9.70,0.600000000000,619423,2.50
10.09,0.650000000000,671847,2.86
10.55,0.700000000000,718515,3.33
11.21,0.750000000000,769242,4.00
11.67,0.775000000000,796801,4.44
12.12,0.800000000000,820113,5.00
12.71,0.825000000000,846554,5.71
13.37,0.850000000000,872437,6.67
14.29,0.875000000000,897249,8.00
15.07,0.887500000000,909920,8.89
16.12,0.900000000000,922030,10.00
17.69,0.912500000000,935288,11.43
19.79,0.925000000000,947784,13.33
22.68,0.937500000000,960766,16.00
24.25,0.943750000000,967019,17.78
25.95,0.950000000000,973616,20.00
28.18,0.956250000000,979953,22.86
30.93,0.962500000000,986154,26.67
34.60,0.968750000000,992866,32.00
36.44,0.971875000000,995688,35.56
38.80,0.975000000000,998868,40.00
41.94,0.978125000000,1002183,45.71
45.61,0.981250000000,1005458,53.33
49.81,0.984375000000,1008642,64.00
52.17,0.985937500000,1010166,71.11
54.79,0.987500000000,1011827,80.00
57.67,0.989062500000,1013363,91.43
61.08,0.990625000000,1014906,106.67
66.06,0.992187500000,1016480,128.00
69.73,0.992968750000,1017283,142.22
74.45,0.993750000000,1018084,160.00
81.79,0.994531250000,1018889,182.86
92.27,0.995312500000,1019698,213.33
105.38,0.996093750000,1020490,256.00
113.25,0.996484375000,1020871,284.44
123.21,0.996875000000,1021279,320.00
137.36,0.997265625000,1021672,365.71
152.04,0.997656250000,1022057,426.67
170.92,0.998046875000,1022475,512.00
179.31,0.998242187500,1022658,568.89
196.08,0.998437500000,1022857,640.00
214.96,0.998632812500,1023057,731.43
238.03,0.998828125000,1023257,853.33
264.24,0.999023437500,1023463,1024.00
278.92,0.999121093750,1023567,1137.78
293.60,0.999218750000,1023657,1280.00
316.67,0.999316406250,1023759,1462.86
346.03,0.999414062500,1023865,1706.67
375.39,0.999511718750,1023962,2048.00
396.36,0.999560546875,1024008,2275.56
417.33,0.999609375000,1024060,2560.00
440.40,0.999658203125,1024107,2925.71
486.54,0.999707031250,1024158,3413.33
534.77,0.999755859375,1024207,4096.00
591.40,0.999780273438,1024232,4551.11
654.31,0.999804687500,1024257,5120.00
683.67,0.999829101563,1024284,5851.43
708.84,0.999853515625,1024307,6826.67
738.20,0.999877929688,1024332,8192.00
750.78,0.999890136719,1024347,9102.22
759.17,0.999902343750,1024358,10240.00
775.95,0.999914550781,1024372,11702.86
805.31,0.999926757813,1024382,13653.33
851.44,0.999938964844,1024398,16384.00
859.83,0.999945068359,1024401,18204.44
872.42,0.999951171875,1024407,20480.00
885.00,0.999957275391,1024414,23405.71
897.58,0.999963378906,1024420,27306.67
910.16,0.999969482422,1024426,32768.00
918.55,0.999972534180,1024429,36408.89
935.33,0.999975585938,1024432,40960.00
960.50,0.999978637695,1024436,46811.43
973.08,0.999981689453,1024439,54613.33
989.86,0.999984741211,1024442,65536.00
994.05,0.999986267090,1024444,72817.78
1006.63,0.999987792969,1024445,81920.00
1040.19,0.999989318848,1024447,93622.86
1044.38,0.999990844727,1024448,109226.67
1056.96,0.999992370605,1024451,131072.00
1056.96,0.999993133545,1024451,145635.56
1056.96,0.999993896484,1024451,163840.00
1061.16,0.999994659424,1024454,187245.71
1061.16,0.999995422363,1024454,218453.33
1061.16,0.999996185303,1024454,262144.00
1061.16,0.999996566772,1024454,291271.11
1061.16,0.999996948242,1024454,327680.00
1069.55,0.999997329712,1024455,374491.43
1069.55,0.999997711182,1024455,436906.67
1073.74,0.999998092651,1024456,524288.00
1073.74,0.999998283386,1024456,582542.22
1073.74,0.999998474121,1024456,655360.00
1073.74,0.999998664856,1024456,748982.86
1073.74,0.999998855591,1024456,873813.33
1157.63,0.999999046326,1024457,1048576.00
1157.63,1.000000000000,1024457,Infinity
