"Value","Percentile","TotalCount","1/(1-Percentile)"
0.57,0.000000000000,1,1.00
5.44,0.100000000000,99782,1.11
7.11,0.200000000000,197772,1.25
8.26,0.300000000000,295562,1.43
8.91,0.400000000000,392748,1.67
9.57,0.500000000000,496200,2.00
9.90,0.550000000000,541096,2.22
10.29,0.600000000000,592508,2.50
10.68,0.650000000000,639093,2.86
11.21,0.700000000000,688539,3.33
11.93,0.750000000000,736918,4.00
12.39,0.775000000000,760214,4.44
13.04,0.800000000000,786111,5.00
13.76,0.825000000000,810585,5.71
14.55,0.850000000000,834655,6.67
15.73,0.875000000000,858835,8.00
16.65,0.887500000000,870242,8.89
17.96,0.900000000000,882464,10.00
19.92,0.912500000000,895135,11.43
22.54,0.925000000000,906970,13.33
25.95,0.937500000000,919412,16.00
28.05,0.943750000000,925427,17.78
30.54,0.950000000000,931749,20.00
33.29,0.956250000000,937857,22.86
36.44,0.962500000000,944071,26.67
40.11,0.968750000000,949965,32.00
42.21,0.971875000000,952930,35.56
44.83,0.975000000000,956192,40.00
47.71,0.978125000000,959246,45.71
51.12,0.981250000000,962246,53.33
55.05,0.984375000000,965324,64.00
57.15,0.985937500000,966726,71.11
59.51,0.987500000000,968266,80.00
61.87,0.989062500000,969817,91.43
64.75,0.990625000000,971347,106.67
68.68,0.992187500000,973029,128.00
70.25,0.992968750000,973602,142.22
72.88,0.993750000000,974383,160.00
76.02,0.994531250000,975202,182.86
79.69,0.995312500000,975880,213.33
85.46,0.996093750000,976701,256.00
88.60,0.996484375000,977037,284.44
93.32,0.996875000000,977414,320.00
99.09,0.997265625000,977792,365.71
106.95,0.997656250000,978189,426.67
115.34,0.998046875000,978568,512.00
120.06,0.998242187500,978755,568.89
125.83,0.998437500000,978952,640.00
133.17,0.998632812500,979143,731.43
143.65,0.998828125000,979337,853.33
156.24,0.999023437500,979539,1024.00
160.43,0.999121093750,979618,1137.78
166.72,0.999218750000,979721,1280.00
174.06,0.999316406250,979808,1462.86
184.55,0.999414062500,979908,1706.67
199.23,0.999511718750,979999,2048.00
208.67,0.999560546875,980043,2275.56
228.59,0.999609375000,980093,2560.00
245.37,0.999658203125,980138,2925.71
264.24,0.999707031250,980186,3413.33
318.77,0.999755859375,980234,4096.00
339.74,0.999780273438,980260,4551.11
369.10,0.999804687500,980281,5120.00
413.14,0.999829101563,980305,5851.43
507.51,0.999853515625,980329,6826.67
595.59,0.999877929688,980356,8192.00
603.98,0.999890136719,980365,9102.22
612.37,0.999902343750,980377,10240.00
624.95,0.999914550781,980393,11702.86
633.34,0.999926757813,980402,13653.33
683.67,0.999938964844,980414,16384.00
692.06,0.999945068359,980421,18204.44
700.45,0.999951171875,980426,20480.00
708.84,0.999957275391,980431,23405.71
717.23,0.999963378906,980440,27306.67
725.61,0.999969482422,980448,32768.00
725.61,0.999972534180,980448,36408.89
729.81,0.999975585938,980452,40960.00
729.81,0.999978637695,980452,46811.43
742.39,0.999981689453,980455,54613.33
750.78,0.999984741211,980459,65536.00
750.78,0.999986267090,980459,72817.78
754.97,0.999987792969,980461,81920.00
759.17,0.999989318848,980465,93622.86
759.17,0.999990844727,980465,109226.67
759.17,0.999992370605,980465,131072.00
763.36,0.999993133545,980468,145635.56
763.36,0.999993896484,980468,163840.00
763.36,0.999994659424,980468,187245.71
763.36,0.999995422363,980468,218453.33
775.95,0.999996185303,980469,262144.00
775.95,0.999996566772,980469,291271.11
780.14,0.999996948242,980470,327680.00
780.14,0.999997329712,980470,374491.43
780.14,0.999997711182,980470,436906.67
784.33,0.999998092651,980472,524288.00
784.33,1.000000000000,980472,Infinity
