"Value","Percentile","TotalCount","1/(1-Percentile)"
0.57,0.000000000000,1,1.00
5.60,0.100000000000,28204,1.11
7.47,0.200000000000,55908,1.25
8.45,0.300000000000,84289,1.43
9.04,0.400000000000,113371,1.67
9.63,0.500000000000,141948,2.00
9.90,0.550000000000,153964,2.22
10.22,0.600000000000,169139,2.50
10.55,0.650000000000,183360,2.86
10.88,0.700000000000,195748,3.33
11.40,0.750000000000,210154,4.00
11.73,0.775000000000,217400,4.44
12.06,0.800000000000,223886,5.00
12.45,0.825000000000,230375,5.71
12.98,0.850000000000,237184,6.67
13.63,0.875000000000,244396,8.00
14.02,0.887500000000,248096,8.89
14.42,0.900000000000,251450,10.00
14.88,0.912500000000,254800,11.43
15.53,0.925000000000,258105,13.33
16.65,0.937500000000,261570,16.00
17.43,0.943750000000,263269,17.78
18.48,0.950000000000,265094,20.00
19.92,0.956250000000,266771,22.86
22.15,0.962500000000,268554,26.67
25.43,0.968750000000,270274,32.00
27.39,0.971875000000,271140,35.56
29.75,0.975000000000,271993,40.00
32.77,0.978125000000,272873,45.71
35.91,0.981250000000,273734,53.33
39.85,0.984375000000,274627,64.00
41.94,0.985937500000,275051,71.11
44.30,0.987500000000,275476,80.00
46.66,0.989062500000,275927,91.43
49.28,0.990625000000,276354,106.67
52.95,0.992187500000,276781,128.00
55.05,0.992968750000,276990,142.22
57.15,0.993750000000,277213,160.00
59.24,0.994531250000,277431,182.86
62.13,0.995312500000,277647,213.33
65.27,0.996093750000,277876,256.00
67.63,0.996484375000,277998,284.44
69.21,0.996875000000,278105,320.00
70.78,0.997265625000,278210,365.71
72.88,0.997656250000,278306,426.67
75.50,0.998046875000,278435,512.00
76.02,0.998242187500,278463,568.89
77.59,0.998437500000,278522,640.00
79.17,0.998632812500,278574,731.43
81.79,0.998828125000,278629,853.33
84.93,0.999023437500,278678,1024.00
85.98,0.999121093750,278705,1137.78
87.56,0.999218750000,278736,1280.00
88.60,0.999316406250,278762,1462.86
91.75,0.999414062500,278791,1706.67
93.85,0.999511718750,278818,2048.00
94.37,0.999560546875,278831,2275.56
96.47,0.999609375000,278844,2560.00
97.52,0.999658203125,278856,2925.71
98.57,0.999707031250,278872,3413.33
101.19,0.999755859375,278882,4096.00
102.24,0.999780273438,278889,4551.11
103.28,0.999804687500,278896,5120.00
104.86,0.999829101563,278905,5851.43
106.43,0.999853515625,278909,6826.67
108.00,0.999877929688,278915,8192.00
109.05,0.999890136719,278920,9102.22
112.20,0.999902343750,278923,10240.00
116.92,0.999914550781,278926,11702.86
119.01,0.999926757813,278929,13653.33
122.16,0.999938964844,278932,16384.00
123.21,0.999945068359,278934,18204.44
139.46,0.999951171875,278937,20480.00
140.51,0.999957275391,278945,23405.71
140.51,0.999963378906,278945,27306.67
140.51,0.999969482422,278945,32768.00
140.51,0.999972534180,278945,36408.89
140.51,0.999975585938,278945,40960.00
140.51,0.999978637695,278945,46811.43
140.51,0.999981689453,278945,54613.33
140.51,0.999984741211,278945,65536.00
141.56,0.999986267090,278946,72817.78
141.56,0.999987792969,278946,81920.00
143.65,0.999989318848,278947,93622.86
143.65,0.999990844727,278947,109226.67
143.65,0.999992370605,278947,131072.00
230.69,0.999993133545,278949,145635.56
230.69,1.000000000000,278949,Infinity
