Timestamp,Agent,MinConnections,MaxConnections
1780431995176,in-vm,0,100
1780431996175,in-vm,98,100
1780431997174,in-vm,97,100
1780431998174,in-vm,96,100
1780431999173,in-vm,96,100
1780432000172,in-vm,96,100
1780432001173,in-vm,95,100
1780432002172,in-vm,96,100
1780432003172,in-vm,95,100
1780432004172,in-vm,93,100
1780432005172,in-vm,96,100
1780432006173,in-vm,91,100
1780432007172,in-vm,87,100
1780432008172,in-vm,96,100
1780432009173,in-vm,93,100
1780432010172,in-vm,96,100
1780432011172,in-vm,96,100
1780432012172,in-vm,87,100
1780432013172,in-vm,96,100
1780432014172,in-vm,94,100
1780432015172,in-vm,95,100
1780432016173,in-vm,89,100
1780432017172,in-vm,95,100
1780432018172,in-vm,92,100
1780432019173,in-vm,67,100
1780432020173,in-vm,95,100
1780432021172,in-vm,94,100
1780432022173,in-vm,82,100
1780432023172,in-vm,90,100
1780432024172,in-vm,93,100
1780432025172,in-vm,86,100
1780432026173,in-vm,92,100
1780432027173,in-vm,94,100
1780432028173,in-vm,93,100
1780432029172,in-vm,72,100
1780432030173,in-vm,94,100
1780432031173,in-vm,95,100
1780432032172,in-vm,93,100
1780432033173,in-vm,94,100
1780432034172,in-vm,87,100
1780432035172,in-vm,95,100
1780432036172,in-vm,93,100
1780432037172,in-vm,85,100
1780432038173,in-vm,87,100
1780432039176,in-vm,69,100
1780432040172,in-vm,71,100
1780432041173,in-vm,96,100
1780432042172,in-vm,90,100
1780432043173,in-vm,94,100
1780432044172,in-vm,84,100
1780432045173,in-vm,93,100
1780432046172,in-vm,88,100
1780432047173,in-vm,95,100
1780432048172,in-vm,96,100
1780432049172,in-vm,84,100
1780432050172,in-vm,66,100
1780432051172,in-vm,94,100
1780432052172,in-vm,93,100
1780432053172,in-vm,92,100
1780432054172,in-vm,93,100
1780432055173,in-vm,95,100
1780432056173,in-vm,95,100
1780432057173,in-vm,91,100
1780432058172,in-vm,91,100
1780432059173,in-vm,89,100
1780432060173,in-vm,95,100
1780432061173,in-vm,62,100
1780432062173,in-vm,90,100
1780432063173,in-vm,93,100
1780432064173,in-vm,94,100
1780432065173,in-vm,96,100
1780432066172,in-vm,93,100
1780432067172,in-vm,93,100
1780432068172,in-vm,95,100
1780432069173,in-vm,84,100
1780432070173,in-vm,92,100
1780432071172,in-vm,82,100
1780432072173,in-vm,94,100
1780432073172,in-vm,93,100
1780432074172,in-vm,93,100
1780432075172,in-vm,93,100
1780432076172,in-vm,87,100
1780432077172,in-vm,95,100
1780432078173,in-vm,95,100
1780432079173,in-vm,92,100
1780432080172,in-vm,96,100
1780432081172,in-vm,72,100
1780432082172,in-vm,94,100
1780432083173,in-vm,95,100
1780432084173,in-vm,95,100
1780432085173,in-vm,95,100
1780432086173,in-vm,91,100
1780432087172,in-vm,95,100
1780432088172,in-vm,95,100
1780432089172,in-vm,95,100
1780432090173,in-vm,92,100
1780432091172,in-vm,77,100
1780432092172,in-vm,94,100
1780432093172,in-vm,96,100
1780432094172,in-vm,91,100
1780432095172,in-vm,96,100
1780432096172,in-vm,89,100
1780432097172,in-vm,94,100
1780432098172,in-vm,96,100
1780432099172,in-vm,95,100
1780432100172,in-vm,94,100
1780432101172,in-vm,91,100
1780432102172,in-vm,78,100
1780432103173,in-vm,93,100
1780432104172,in-vm,93,100
1780432105172,in-vm,94,100
1780432106172,in-vm,91,100
1780432107172,in-vm,96,100
1780432108172,in-vm,74,100
1780432109172,in-vm,92,100
1780432110172,in-vm,94,100
1780432111173,in-vm,90,100
1780432112172,in-vm,63,100
1780432113172,in-vm,96,100
1780432114172,in-vm,91,100
1780432115172,in-vm,0,100
1780432116172,in-vm,0,0
1780432117172,in-vm,0,0
1780432118173,in-vm,0,0
1780432119173,in-vm,0,0
1780432120172,in-vm,0,0
1780432121172,in-vm,0,0
1780432122172,in-vm,0,0
1780432123172,in-vm,0,0
1780432124172,in-vm,0,0
1780432125172,in-vm,0,0
1780432126173,in-vm,0,0
1780432127173,in-vm,0,0
1780432128172,in-vm,0,0
1780432129172,in-vm,0,0
1780432130172,in-vm,0,0
1780432131172,in-vm,0,0
1780432132172,in-vm,0,0
1780432133172,in-vm,0,0
1780432134172,in-vm,0,0
1780432135172,in-vm,0,0
1780432136172,in-vm,0,0
1780432137173,in-vm,0,0
1780432138173,in-vm,0,0
1780432139172,in-vm,0,0
1780432140172,in-vm,0,0
1780432141172,in-vm,0,0
1780432142172,in-vm,0,0
1780432143172,in-vm,0,0
1780432144172,in-vm,0,0
1780432145173,in-vm,0,100
1780432146172,in-vm,91,100
1780432147172,in-vm,94,100
1780432148173,in-vm,84,100
1780432149172,in-vm,80,100
1780432150172,in-vm,92,100
1780432151172,in-vm,95,100
1780432152172,in-vm,94,100
1780432153172,in-vm,95,100
1780432154172,in-vm,89,100
1780432155173,in-vm,96,100
1780432156172,in-vm,95,100
1780432157172,in-vm,93,100
1780432158172,in-vm,84,100
1780432159172,in-vm,86,100
1780432160172,in-vm,95,100
1780432161172,in-vm,96,100
1780432162172,in-vm,91,100
1780432163172,in-vm,91,100
1780432164172,in-vm,95,100
1780432165172,in-vm,84,100
1780432166173,in-vm,92,100
1780432167172,in-vm,94,100
1780432168172,in-vm,95,100
1780432169172,in-vm,61,100
1780432170172,in-vm,95,100
1780432171172,in-vm,88,100
1780432172172,in-vm,95,100
1780432173172,in-vm,95,100
1780432174173,in-vm,95,100
