"Value","Percentile","TotalCount","1/(1-Percentile)"
0.58,0.000000000000,1,1.00
5.37,0.100000000000,98187,1.11
6.95,0.200000000000,196536,1.25
8.16,0.300000000000,295511,1.43
8.85,0.400000000000,395904,1.67
9.44,0.500000000000,488777,2.00
9.83,0.550000000000,543676,2.22
10.16,0.600000000000,587979,2.50
10.55,0.650000000000,636181,2.86
11.08,0.700000000000,686754,3.33
11.80,0.750000000000,735656,4.00
12.26,0.775000000000,759017,4.44
12.85,0.800000000000,781953,5.00
13.63,0.825000000000,807274,5.71
14.42,0.850000000000,829948,6.67
15.60,0.875000000000,854348,8.00
16.65,0.887500000000,866799,8.89
18.09,0.900000000000,878859,10.00
20.32,0.912500000000,891394,11.43
23.33,0.925000000000,903428,13.33
27.13,0.937500000000,915460,16.00
29.36,0.943750000000,921465,17.78
31.98,0.950000000000,927680,20.00
34.87,0.956250000000,933626,22.86
38.54,0.962500000000,940091,26.67
42.47,0.968750000000,945820,32.00
44.83,0.971875000000,948849,35.56
47.71,0.975000000000,952108,40.00
50.86,0.978125000000,955192,45.71
54.26,0.981250000000,958058,53.33
58.46,0.984375000000,961166,64.00
60.82,0.985937500000,962674,71.11
63.18,0.987500000000,964140,80.00
66.06,0.989062500000,965700,91.43
69.21,0.990625000000,967159,106.67
73.40,0.992187500000,968816,128.00
75.50,0.992968750000,969564,142.22
77.59,0.993750000000,970225,160.00
80.74,0.994531250000,971058,182.86
84.41,0.995312500000,971815,213.33
88.60,0.996093750000,972549,256.00
91.23,0.996484375000,972928,284.44
94.90,0.996875000000,973288,320.00
99.09,0.997265625000,973671,365.71
103.81,0.997656250000,974044,426.67
109.05,0.998046875000,974409,512.00
113.25,0.998242187500,974605,568.89
118.49,0.998437500000,974787,640.00
125.83,0.998632812500,974965,731.43
136.31,0.998828125000,975155,853.33
147.85,0.999023437500,975354,1024.00
155.19,0.999121093750,975446,1137.78
160.43,0.999218750000,975552,1280.00
164.63,0.999316406250,975644,1462.86
171.97,0.999414062500,975729,1706.67
189.79,0.999511718750,975823,2048.00
196.08,0.999560546875,975873,2275.56
207.62,0.999609375000,975920,2560.00
226.49,0.999658203125,975968,2925.71
245.37,0.999707031250,976014,3413.33
272.63,0.999755859375,976062,4096.00
299.89,0.999780273438,976089,4551.11
310.38,0.999804687500,976109,5120.00
335.54,0.999829101563,976133,5851.43
377.49,0.999853515625,976156,6826.67
419.43,0.999877929688,976180,8192.00
446.69,0.999890136719,976192,9102.22
599.79,0.999902343750,976206,10240.00
637.53,0.999914550781,976217,11702.86
666.89,0.999926757813,976228,13653.33
692.06,0.999938964844,976240,16384.00
734.00,0.999945068359,976246,18204.44
746.59,0.999951171875,976252,20480.00
759.17,0.999957275391,976259,23405.71
767.56,0.999963378906,976265,27306.67
780.14,0.999969482422,976271,32768.00
784.33,0.999972534180,976276,36408.89
784.33,0.999975585938,976276,40960.00
813.69,0.999978637695,976279,46811.43
826.28,0.999981689453,976282,54613.33
847.25,0.999984741211,976286,65536.00
847.25,0.999986267090,976286,72817.78
876.61,0.999987792969,976289,81920.00
876.61,0.999989318848,976289,93622.86
939.52,0.999990844727,976291,109226.67
947.91,0.999992370605,976292,131072.00
960.50,0.999993133545,976293,145635.56
964.69,0.999993896484,976294,163840.00
964.69,0.999994659424,976294,187245.71
968.88,0.999995422363,976295,218453.33
1061.16,0.999996185303,976296,262144.00
1061.16,0.999996566772,976296,291271.11
1069.55,0.999996948242,976297,327680.00
1069.55,0.999997329712,976297,374491.43
1069.55,0.999997711182,976297,436906.67
1090.52,0.999998092651,976298,524288.00
1090.52,0.999998283386,976298,582542.22
1090.52,0.999998474121,976298,655360.00
1090.52,0.999998664856,976298,748982.86
1090.52,0.999998855591,976298,873813.33
1107.30,0.999999046326,976299,1048576.00
1107.30,1.000000000000,976299,Infinity
