"Value","Percentile","TotalCount","1/(1-Percentile)"
0.54,0.000000000000,1,1.00
5.37,0.100000000000,28365,1.11
6.95,0.200000000000,56124,1.25
8.09,0.300000000000,85070,1.43
8.72,0.400000000000,114308,1.67
9.24,0.500000000000,140710,2.00
9.57,0.550000000000,154897,2.22
9.90,0.600000000000,168466,2.50
10.22,0.650000000000,182029,2.86
10.62,0.700000000000,196500,3.33
11.14,0.750000000000,210929,4.00
11.47,0.775000000000,217780,4.44
11.86,0.800000000000,224743,5.00
12.32,0.825000000000,231051,5.71
12.98,0.850000000000,238214,6.67
13.70,0.875000000000,245562,8.00
14.02,0.887500000000,248650,8.89
14.48,0.900000000000,252516,10.00
14.94,0.912500000000,255634,11.43
15.73,0.925000000000,259066,13.33
17.17,0.937500000000,262784,16.00
18.09,0.943750000000,264491,17.78
19.27,0.950000000000,266105,20.00
21.36,0.956250000000,267839,22.86
24.38,0.962500000000,269585,26.67
28.18,0.968750000000,271303,32.00
30.67,0.971875000000,272151,35.56
33.82,0.975000000000,273111,40.00
36.96,0.978125000000,273954,45.71
40.11,0.981250000000,274805,53.33
44.30,0.984375000000,275662,64.00
46.92,0.985937500000,276115,71.11
49.55,0.987500000000,276539,80.00
52.43,0.989062500000,276982,91.43
55.84,0.990625000000,277413,106.67
59.77,0.992187500000,277841,128.00
62.39,0.992968750000,278077,142.22
64.75,0.993750000000,278286,160.00
67.11,0.994531250000,278500,182.86
70.25,0.995312500000,278743,213.33
72.88,0.996093750000,278938,256.00
74.97,0.996484375000,279071,284.44
76.55,0.996875000000,279168,320.00
78.12,0.997265625000,279263,365.71
80.22,0.997656250000,279375,426.67
83.36,0.998046875000,279487,512.00
84.93,0.998242187500,279564,568.89
85.46,0.998437500000,279590,640.00
87.56,0.998632812500,279653,731.43
89.13,0.998828125000,279705,853.33
91.23,0.999023437500,279753,1024.00
93.32,0.999121093750,279785,1137.78
94.37,0.999218750000,279818,1280.00
95.42,0.999316406250,279835,1462.86
98.04,0.999414062500,279876,1706.67
99.61,0.999511718750,279890,2048.00
101.71,0.999560546875,279905,2275.56
103.81,0.999609375000,279918,2560.00
105.38,0.999658203125,279931,2925.71
108.00,0.999707031250,279944,3413.33
112.20,0.999755859375,279958,4096.00
116.39,0.999780273438,279967,4551.11
121.63,0.999804687500,279972,5120.00
124.26,0.999829101563,279979,5851.43
127.93,0.999853515625,279986,6826.67
130.55,0.999877929688,279992,8192.00
133.17,0.999890136719,279996,9102.22
137.36,0.999902343750,280001,10240.00
139.46,0.999914550781,280007,11702.86
139.46,0.999926757813,280007,13653.33
142.61,0.999938964844,280009,16384.00
143.65,0.999945068359,280011,18204.44
146.80,0.999951171875,280013,20480.00
156.24,0.999957275391,280017,23405.71
156.24,0.999963378906,280017,27306.67
157.29,0.999969482422,280018,32768.00
158.33,0.999972534180,280021,36408.89
158.33,0.999975585938,280021,40960.00
158.33,0.999978637695,280021,46811.43
158.33,0.999981689453,280021,54613.33
159.38,0.999984741211,280026,65536.00
159.38,1.000000000000,280026,Infinity
