"Value","Percentile","TotalCount","1/(1-Percentile)"
0.50,0.000000000000,1,1.00
5.31,0.100000000000,24039,1.11
7.90,0.200000000000,48042,1.25
9.18,0.300000000000,72183,1.43
9.90,0.400000000000,95894,1.67
10.49,0.500000000000,120769,2.00
10.81,0.550000000000,132789,2.22
11.21,0.600000000000,144707,2.50
11.67,0.650000000000,155894,2.86
12.26,0.700000000000,167194,3.33
13.11,0.750000000000,179820,4.00
13.57,0.775000000000,185247,4.44
14.22,0.800000000000,191502,5.00
14.94,0.825000000000,197076,5.71
15.86,0.850000000000,203017,6.67
17.17,0.875000000000,209424,8.00
17.96,0.887500000000,212455,8.89
18.74,0.900000000000,215213,10.00
19.66,0.912500000000,217991,11.43
21.10,0.925000000000,221158,13.33
22.94,0.937500000000,224063,16.00
24.12,0.943750000000,225473,17.78
25.56,0.950000000000,226961,20.00
27.26,0.956250000000,228407,22.86
29.49,0.962500000000,229921,26.67
32.24,0.968750000000,231376,32.00
34.08,0.971875000000,232134,35.56
36.44,0.975000000000,232871,40.00
39.06,0.978125000000,233632,45.71
42.47,0.981250000000,234397,53.33
47.19,0.984375000000,235123,64.00
50.07,0.985937500000,235479,71.11
53.74,0.987500000000,235845,80.00
57.93,0.989062500000,236224,91.43
63.70,0.990625000000,236588,106.67
69.73,0.992187500000,236972,128.00
73.40,0.992968750000,237157,142.22
77.59,0.993750000000,237343,160.00
82.84,0.994531250000,237527,182.86
88.08,0.995312500000,237718,213.33
95.94,0.996093750000,237901,256.00
100.14,0.996484375000,237992,284.44
104.33,0.996875000000,238081,320.00
111.15,0.997265625000,238177,365.71
123.21,0.997656250000,238267,426.67
134.22,0.998046875000,238360,512.00
140.51,0.998242187500,238406,568.89
148.90,0.998437500000,238456,640.00
159.38,0.998632812500,238501,731.43
169.87,0.998828125000,238546,853.33
185.60,0.999023437500,238595,1024.00
189.79,0.999121093750,238618,1137.78
192.94,0.999218750000,238640,1280.00
199.23,0.999316406250,238665,1462.86
213.91,0.999414062500,238688,1706.67
231.74,0.999511718750,238709,2048.00
238.03,0.999560546875,238722,2275.56
242.22,0.999609375000,238734,2560.00
246.42,0.999658203125,238744,2925.71
260.05,0.999707031250,238756,3413.33
272.63,0.999755859375,238769,4096.00
274.73,0.999780273438,238775,4551.11
276.82,0.999804687500,238780,5120.00
283.12,0.999829101563,238785,5851.43
291.50,0.999853515625,238794,6826.67
293.60,0.999877929688,238797,8192.00
301.99,0.999890136719,238799,9102.22
308.28,0.999902343750,238806,10240.00
308.28,0.999914550781,238806,11702.86
310.38,0.999926757813,238808,13653.33
333.45,0.999938964844,238811,16384.00
341.84,0.999945068359,238812,18204.44
350.22,0.999951171875,238816,20480.00
350.22,0.999957275391,238816,23405.71
352.32,0.999963378906,238817,27306.67
356.52,0.999969482422,238819,32768.00
356.52,0.999972534180,238819,36408.89
369.10,0.999975585938,238820,40960.00
369.10,0.999978637695,238820,46811.43
381.68,0.999981689453,238821,54613.33
383.78,0.999984741211,238822,65536.00
383.78,0.999986267090,238822,72817.78
396.36,0.999987792969,238823,81920.00
396.36,0.999989318848,238823,93622.86
396.36,0.999990844727,238823,109226.67
415.24,0.999992370605,238824,131072.00
415.24,0.999993133545,238824,145635.56
415.24,0.999993896484,238824,163840.00
415.24,0.999994659424,238824,187245.71
415.24,0.999995422363,238824,218453.33
419.43,0.999996185303,238825,262144.00
419.43,1.000000000000,238825,Infinity
