"Value","Percentile","TotalCount","1/(1-Percentile)"
1.17,0.000000000000,1,1.00
4.59,0.100000000000,26954,1.11
10.94,0.200000000000,53913,1.25
18.87,0.300000000000,80790,1.43
26.08,0.400000000000,107525,1.67
32.51,0.500000000000,134571,2.00
35.91,0.550000000000,147956,2.22
39.85,0.600000000000,162048,2.50
44.04,0.650000000000,175173,2.86
49.28,0.700000000000,188343,3.33
56.10,0.750000000000,201784,4.00
60.29,0.775000000000,208626,4.44
65.27,0.800000000000,215263,5.00
71.30,0.825000000000,222248,5.71
78.12,0.850000000000,228655,6.67
86.51,0.875000000000,235189,8.00
92.27,0.887500000000,238691,8.89
98.57,0.900000000000,241962,10.00
105.91,0.912500000000,245409,11.43
113.77,0.925000000000,248586,13.33
123.73,0.937500000000,251927,16.00
130.02,0.943750000000,253666,17.78
136.31,0.950000000000,255301,20.00
143.65,0.956250000000,256981,22.86
152.04,0.962500000000,258682,26.67
161.48,0.968750000000,260361,32.00
167.77,0.971875000000,261271,35.56
173.02,0.975000000000,262009,40.00
180.36,0.978125000000,262943,45.71
187.70,0.981250000000,263765,53.33
196.08,0.984375000000,264565,64.00
201.33,0.985937500000,264973,71.11
207.62,0.987500000000,265392,80.00
214.96,0.989062500000,265841,91.43
222.30,0.990625000000,266226,106.67
231.74,0.992187500000,266647,128.00
238.03,0.992968750000,266862,142.22
243.27,0.993750000000,267051,160.00
250.61,0.994531250000,267257,182.86
260.05,0.995312500000,267490,213.33
270.53,0.996093750000,267701,256.00
276.82,0.996484375000,267796,284.44
285.21,0.996875000000,267910,320.00
293.60,0.997265625000,268003,365.71
304.09,0.997656250000,268106,426.67
316.67,0.998046875000,268201,512.00
327.16,0.998242187500,268254,568.89
337.64,0.998437500000,268312,640.00
348.13,0.998632812500,268366,731.43
360.71,0.998828125000,268414,853.33
375.39,0.999023437500,268462,1024.00
387.97,0.999121093750,268487,1137.78
408.94,0.999218750000,268513,1280.00
427.82,0.999316406250,268539,1462.86
448.79,0.999414062500,268565,1706.67
497.03,0.999511718750,268592,2048.00
515.90,0.999560546875,268607,2275.56
562.04,0.999609375000,268619,2560.00
880.80,0.999658203125,268646,2925.71
880.80,0.999707031250,268646,3413.33
889.19,0.999755859375,268663,4096.00
889.19,0.999780273438,268663,4551.11
905.97,0.999804687500,268670,5120.00
922.75,0.999829101563,268678,5851.43
939.52,0.999853515625,268685,6826.67
952.11,0.999877929688,268690,8192.00
956.30,0.999890136719,268694,9102.22
964.69,0.999902343750,268696,10240.00
977.27,0.999914550781,268701,11702.86
985.66,0.999926757813,268704,13653.33
994.05,0.999938964844,268707,16384.00
998.24,0.999945068359,268708,18204.44
1002.44,0.999951171875,268709,20480.00
1006.63,0.999957275391,268712,23405.71
1010.83,0.999963378906,268713,27306.67
1015.02,0.999969482422,268714,32768.00
1019.22,0.999972534180,268715,36408.89
1023.41,0.999975585938,268716,40960.00
1027.60,0.999978637695,268719,46811.43
1027.60,0.999981689453,268719,54613.33
1027.60,0.999984741211,268719,65536.00
1027.60,0.999986267090,268719,72817.78
1027.60,0.999987792969,268719,81920.00
1031.80,0.999989318848,268720,93622.86
1031.80,0.999990844727,268720,109226.67
1031.80,0.999992370605,268720,131072.00
1035.99,0.999993133545,268722,145635.56
1035.99,1.000000000000,268722,Infinity
