"Value","Percentile","TotalCount","1/(1-Percentile)"
1.11,0.000000000000,1,1.00
5.77,0.100000000000,9259,1.11
11.40,0.200000000000,18470,1.25
17.04,0.300000000000,27612,1.43
22.28,0.400000000000,36814,1.67
26.87,0.500000000000,46289,2.00
28.97,0.550000000000,50697,2.22
31.33,0.600000000000,55296,2.50
34.08,0.650000000000,60196,2.86
36.96,0.700000000000,64440,3.33
40.89,0.750000000000,69263,4.00
42.99,0.775000000000,71424,4.44
45.61,0.800000000000,73730,5.00
48.76,0.825000000000,76011,5.71
52.43,0.850000000000,78284,6.67
57.15,0.875000000000,80511,8.00
60.03,0.887500000000,81666,8.89
63.44,0.900000000000,82854,10.00
67.63,0.912500000000,84055,11.43
72.35,0.925000000000,85119,13.33
78.12,0.937500000000,86281,16.00
81.79,0.943750000000,86879,17.78
85.98,0.950000000000,87485,20.00
90.18,0.956250000000,87990,22.86
95.94,0.962500000000,88560,26.67
102.76,0.968750000000,89140,32.00
106.95,0.971875000000,89422,35.56
111.15,0.975000000000,89717,40.00
116.39,0.978125000000,89991,45.71
122.68,0.981250000000,90274,53.33
129.50,0.984375000000,90570,64.00
133.69,0.985937500000,90718,71.11
139.46,0.987500000000,90883,80.00
143.65,0.989062500000,90997,91.43
149.95,0.990625000000,91153,106.67
157.29,0.992187500000,91295,128.00
161.48,0.992968750000,91359,142.22
166.72,0.993750000000,91436,160.00
171.97,0.994531250000,91500,182.86
179.31,0.995312500000,91568,213.33
187.70,0.996093750000,91641,256.00
193.99,0.996484375000,91675,284.44
199.23,0.996875000000,91719,320.00
205.52,0.997265625000,91752,365.71
212.86,0.997656250000,91786,426.67
221.25,0.998046875000,91820,512.00
225.44,0.998242187500,91837,568.89
229.64,0.998437500000,91856,640.00
235.93,0.998632812500,91873,731.43
246.42,0.998828125000,91893,853.33
254.80,0.999023437500,91910,1024.00
261.10,0.999121093750,91920,1137.78
266.34,0.999218750000,91927,1280.00
272.63,0.999316406250,91939,1462.86
281.02,0.999414062500,91946,1706.67
293.60,0.999511718750,91955,2048.00
295.70,0.999560546875,91958,2275.56
310.38,0.999609375000,91963,2560.00
312.48,0.999658203125,91967,2925.71
331.35,0.999707031250,91972,3413.33
337.64,0.999755859375,91976,4096.00
339.74,0.999780273438,91980,4551.11
341.84,0.999804687500,91982,5120.00
343.93,0.999829101563,91984,5851.43
350.22,0.999853515625,91985,6826.67
356.52,0.999877929688,91987,8192.00
367.00,0.999890136719,91988,9102.22
375.39,0.999902343750,91990,10240.00
381.68,0.999914550781,91992,11702.86
381.68,0.999926757813,91992,13653.33
387.97,0.999938964844,91993,16384.00
387.97,0.999945068359,91993,18204.44
396.36,0.999951171875,91994,20480.00
400.56,0.999957275391,91995,23405.71
400.56,0.999963378906,91995,27306.67
419.43,0.999969482422,91996,32768.00
419.43,0.999972534180,91996,36408.89
419.43,0.999975585938,91996,40960.00
434.11,0.999978637695,91997,46811.43
434.11,0.999981689453,91997,54613.33
434.11,0.999984741211,91997,65536.00
434.11,0.999986267090,91997,72817.78
434.11,0.999987792969,91997,81920.00
444.60,0.999989318848,91998,93622.86
444.60,1.000000000000,91998,Infinity
