"Value","Percentile","TotalCount","1/(1-Percentile)"
1.16,0.000000000000,1,1.00
5.05,0.100000000000,28569,1.11
11.27,0.200000000000,56790,1.25
18.48,0.300000000000,85405,1.43
25.03,0.400000000000,114000,1.67
31.06,0.500000000000,142523,2.00
34.34,0.550000000000,156855,2.22
38.01,0.600000000000,171268,2.50
41.94,0.650000000000,184825,2.86
46.92,0.700000000000,199170,3.33
52.95,0.750000000000,213144,4.00
56.62,0.775000000000,220195,4.44
60.82,0.800000000000,227152,5.00
66.06,0.825000000000,234371,5.71
72.35,0.850000000000,241558,6.67
80.22,0.875000000000,248639,8.00
84.93,0.887500000000,252117,8.89
90.70,0.900000000000,255730,10.00
97.52,0.912500000000,259216,11.43
105.91,0.925000000000,262736,13.33
115.87,0.937500000000,266264,16.00
121.63,0.943750000000,267988,17.78
127.93,0.950000000000,269707,20.00
135.27,0.956250000000,271514,22.86
143.65,0.962500000000,273389,26.67
152.04,0.968750000000,275015,32.00
157.29,0.971875000000,275895,35.56
163.58,0.975000000000,276772,40.00
170.92,0.978125000000,277737,45.71
178.26,0.981250000000,278607,53.33
186.65,0.984375000000,279466,64.00
191.89,0.985937500000,279914,71.11
197.13,0.987500000000,280308,80.00
203.42,0.989062500000,280748,91.43
211.81,0.990625000000,281197,106.67
221.25,0.992187500000,281643,128.00
226.49,0.992968750000,281882,142.22
231.74,0.993750000000,282085,160.00
238.03,0.994531250000,282318,182.86
245.37,0.995312500000,282531,213.33
254.80,0.996093750000,282743,256.00
261.10,0.996484375000,282868,284.44
266.34,0.996875000000,282965,320.00
274.73,0.997265625000,283094,365.71
281.02,0.997656250000,283183,426.67
289.41,0.998046875000,283300,512.00
295.70,0.998242187500,283354,568.89
301.99,0.998437500000,283408,640.00
310.38,0.998632812500,283463,731.43
322.96,0.998828125000,283517,853.33
337.64,0.999023437500,283572,1024.00
343.93,0.999121093750,283605,1137.78
350.22,0.999218750000,283629,1280.00
362.81,0.999316406250,283654,1462.86
379.58,0.999414062500,283683,1706.67
400.56,0.999511718750,283710,2048.00
417.33,0.999560546875,283725,2275.56
448.79,0.999609375000,283738,2560.00
939.52,0.999658203125,283754,2925.71
943.72,0.999707031250,283768,3413.33
947.91,0.999755859375,283784,4096.00
952.11,0.999780273438,283791,4551.11
956.30,0.999804687500,283799,5120.00
960.50,0.999829101563,283800,5851.43
968.88,0.999853515625,283808,6826.67
977.27,0.999877929688,283814,8192.00
981.47,0.999890136719,283821,9102.22
981.47,0.999902343750,283821,10240.00
985.66,0.999914550781,283824,11702.86
994.05,0.999926757813,283830,13653.33
998.24,0.999938964844,283835,16384.00
998.24,0.999945068359,283835,18204.44
998.24,0.999951171875,283835,20480.00
1002.44,0.999957275391,283838,23405.71
1002.44,0.999963378906,283838,27306.67
1006.63,0.999969482422,283843,32768.00
1006.63,0.999972534180,283843,36408.89
1006.63,0.999975585938,283843,40960.00
1006.63,0.999978637695,283843,46811.43
1006.63,0.999981689453,283843,54613.33
1010.83,0.999984741211,283845,65536.00
1010.83,0.999986267090,283845,72817.78
1010.83,0.999987792969,283845,81920.00
1010.83,0.999989318848,283845,93622.86
1015.02,0.999990844727,283847,109226.67
1015.02,0.999992370605,283847,131072.00
1015.02,0.999993133545,283847,145635.56
1015.02,0.999993896484,283847,163840.00
1015.02,0.999994659424,283847,187245.71
1015.02,0.999995422363,283847,218453.33
1015.02,0.999996185303,283847,262144.00
1019.22,0.999996566772,283848,291271.11
1019.22,1.000000000000,283848,Infinity
