"Value","Percentile","TotalCount","1/(1-Percentile)"
1.05,0.000000000000,1,1.00
5.08,0.100000000000,30853,1.11
10.68,0.200000000000,61795,1.25
16.91,0.300000000000,93088,1.43
22.54,0.400000000000,124024,1.67
27.39,0.500000000000,154339,2.00
30.02,0.550000000000,169896,2.22
33.03,0.600000000000,185406,2.50
36.70,0.650000000000,201240,2.86
41.16,0.700000000000,216331,3.33
46.92,0.750000000000,231489,4.00
50.33,0.775000000000,238876,4.44
54.53,0.800000000000,246541,5.00
59.51,0.825000000000,254208,5.71
65.80,0.850000000000,261964,6.67
73.92,0.875000000000,269609,8.00
79.17,0.887500000000,273610,8.89
84.93,0.900000000000,277417,10.00
91.75,0.912500000000,281220,11.43
100.14,0.925000000000,285091,13.33
110.10,0.937500000000,288870,16.00
115.87,0.943750000000,290758,17.78
122.68,0.950000000000,292779,20.00
129.50,0.956250000000,294621,22.86
138.41,0.962500000000,296738,26.67
147.85,0.968750000000,298575,32.00
153.09,0.971875000000,299540,35.56
159.38,0.975000000000,300509,40.00
165.68,0.978125000000,301376,45.71
174.06,0.981250000000,302390,53.33
183.50,0.984375000000,303356,64.00
188.74,0.985937500000,303823,71.11
193.99,0.987500000000,304276,80.00
200.28,0.989062500000,304722,91.43
208.67,0.990625000000,305210,106.67
218.10,0.992187500000,305699,128.00
223.35,0.992968750000,305943,142.22
229.64,0.993750000000,306193,160.00
235.93,0.994531250000,306419,182.86
243.27,0.995312500000,306640,213.33
253.76,0.996093750000,306889,256.00
260.05,0.996484375000,307015,284.44
266.34,0.996875000000,307138,320.00
274.73,0.997265625000,307248,365.71
285.21,0.997656250000,307374,426.67
295.70,0.998046875000,307479,512.00
301.99,0.998242187500,307546,568.89
308.28,0.998437500000,307600,640.00
318.77,0.998632812500,307666,731.43
329.25,0.998828125000,307725,853.33
346.03,0.999023437500,307787,1024.00
354.42,0.999121093750,307813,1137.78
364.90,0.999218750000,307843,1280.00
379.58,0.999316406250,307870,1462.86
392.17,0.999414062500,307904,1706.67
423.62,0.999511718750,307931,2048.00
444.60,0.999560546875,307945,2275.56
478.15,0.999609375000,307961,2560.00
574.62,0.999658203125,307975,2925.71
838.86,0.999707031250,307990,3413.33
855.64,0.999755859375,308005,4096.00
872.42,0.999780273438,308019,4551.11
876.61,0.999804687500,308025,5120.00
880.80,0.999829101563,308034,5851.43
885.00,0.999853515625,308042,6826.67
889.19,0.999877929688,308051,8192.00
889.19,0.999890136719,308051,9102.22
889.19,0.999902343750,308051,10240.00
897.58,0.999914550781,308058,11702.86
897.58,0.999926757813,308058,13653.33
901.78,0.999938964844,308062,16384.00
905.97,0.999945068359,308064,18204.44
910.16,0.999951171875,308065,20480.00
918.55,0.999957275391,308067,23405.71
922.75,0.999963378906,308069,27306.67
931.14,0.999969482422,308072,32768.00
931.14,0.999972534180,308072,36408.89
935.33,0.999975585938,308073,40960.00
956.30,0.999978637695,308075,46811.43
956.30,0.999981689453,308075,54613.33
998.24,0.999984741211,308079,65536.00
998.24,0.999986267090,308079,72817.78
998.24,0.999987792969,308079,81920.00
998.24,0.999989318848,308079,93622.86
998.24,0.999990844727,308079,109226.67
998.24,0.999992370605,308079,131072.00
998.24,0.999993133545,308079,145635.56
998.24,0.999993896484,308079,163840.00
998.24,0.999994659424,308079,187245.71
998.24,0.999995422363,308079,218453.33
998.24,0.999996185303,308079,262144.00
998.24,0.999996566772,308079,291271.11
1002.44,0.999996948242,308080,327680.00
1002.44,1.000000000000,308080,Infinity
